MDTU,plaq,Re(det),Im(det),link
1,0.616656,0.93393,0.438861,0.0693694
2,0.569079,0.871359,0.431919,0.0645259
3,0.573713,0.860383,0.420965,0.0649165
4,0.570932,0.837732,0.413719,0.0650095
5,0.553227,0.779306,0.389995,0.0630257
6,0.545548,0.790553,0.398312,0.062094
7,0.549346,0.797972,0.39629,0.062364
8,0.524735,0.734532,0.376214,0.0604384
9,0.532773,0.725028,0.371164,0.0612665
10,0.520645,0.689479,0.355268,0.059909
11,0.545531,0.708574,0.360813,0.062763
12,0.516597,0.70141,0.362387,0.0593576
13,0.514347,0.65426,0.343328,0.0593664
14,0.512657,0.655959,0.344456,0.0590345
15,0.514402,0.641959,0.33449,0.0589954
16,0.527699,0.672401,0.33985,0.0602126
17,0.525593,0.652538,0.327429,0.0598328
18,0.502893,0.599104,0.309581,0.057653
19,0.504122,0.601872,0.310568,0.0580045
20,0.515174,0.597274,0.302512,0.0598197
21,0.511416,0.59913,0.308618,0.0592557
22,0.483291,0.550101,0.293251,0.0562649
23,0.461992,0.533432,0.297722,0.0538933
24,0.447415,0.510561,0.290453,0.0522402
25,0.440748,0.500813,0.286196,0.050816
26,0.429516,0.482169,0.283295,0.0495521
27,0.43263,0.489407,0.285798,0.0493728
28,0.441079,0.509818,0.290307,0.0506863
29,0.439594,0.502535,0.287575,0.0507156
30,0.448412,0.510013,0.286767,0.0520268
31,0.436772,0.502858,0.292303,0.0505487
32,0.445556,0.487003,0.276038,0.0518843
33,0.460012,0.524914,0.293431,0.0536367
34,0.455771,0.489785,0.273912,0.0538234
35,0.486311,0.511485,0.273458,0.0569968
36,0.47591,0.519083,0.284643,0.0556196
37,0.471639,0.498516,0.275259,0.0541878
38,0.47417,0.511411,0.27513,0.0544873
39,0.464565,0.504019,0.27787,0.0534754
40,0.456985,0.496671,0.274358,0.0527047
41,0.460842,0.502942,0.276214,0.0525933
42,0.469498,0.513173,0.276669,0.0539866
43,0.490879,0.517359,0.271341,0.0560213
44,0.478583,0.515269,0.274508,0.0548268
45,0.461288,0.482302,0.263259,0.0524075
46,0.465969,0.47432,0.259614,0.0532942
47,0.459104,0.465811,0.255264,0.0528673
48,0.471613,0.484871,0.259351,0.054381
49,0.481972,0.468771,0.248,0.0559442
50,0.481972,0.468771,0.248,0.0559442
51,0.479796,0.453486,0.240689,0.0563593
52,0.499294,0.476289,0.24634,0.0579971
53,0.499294,0.476289,0.24634,0.0579971
54,0.499294,0.476289,0.24634,0.0579971
55,0.46362,0.430919,0.236123,0.0540429
56,0.472403,0.451054,0.243431,0.0546585
57,0.459533,0.430786,0.235651,0.053516
58,0.459533,0.430786,0.235651,0.053516
59,0.473913,0.45633,0.243861,0.0550997
60,0.477127,0.444951,0.23587,0.0551545
61,0.477127,0.444951,0.23587,0.0551545
62,0.469831,0.429996,0.231451,0.0547959
63,0.469831,0.429996,0.231451,0.0547959
64,0.442261,0.394185,0.222212,0.0518461
65,0.443786,0.398929,0.224848,0.0523841
66,0.454384,0.394484,0.220994,0.0538654
67,0.467259,0.420495,0.226444,0.0545746
68,0.467259,0.420495,0.226444,0.0545746
69,0.443918,0.391627,0.220021,0.0525117
70,0.442642,0.391069,0.221976,0.05184
71,0.455044,0.392488,0.21666,0.05318
72,0.455044,0.392488,0.21666,0.05318
73,0.455044,0.392488,0.21666,0.05318
74,0.455044,0.392488,0.21666,0.05318
75,0.457553,0.412804,0.228273,0.0540648
76,0.457553,0.412804,0.228273,0.0540648
77,0.445264,0.403046,0.227179,0.0525329
78,0.434785,0.377467,0.216895,0.0518458
79,0.440922,0.396113,0.223686,0.0522832
80,0.4131,0.368441,0.220323,0.0484884
81,0.413871,0.384202,0.228335,0.0487076
82,0.413871,0.384202,0.228335,0.0487076
83,0.413871,0.384202,0.228335,0.0487076
84,0.408932,0.354565,0.214299,0.0486861
85,0.409504,0.356091,0.210883,0.0487414
86,0.428238,0.378834,0.220648,0.0501941
87,0.437223,0.395226,0.228603,0.0516345
88,0.425875,0.366806,0.216647,0.0506824
89,0.420097,0.361658,0.214773,0.0492264
90,0.421739,0.375333,0.220971,0.0489989
91,0.421739,0.375333,0.220971,0.0489989
92,0.418193,0.369664,0.216452,0.0481691
93,0.458619,0.409951,0.224088,0.0519144
94,0.433614,0.370845,0.212412,0.0495897
95,0.433614,0.370845,0.212412,0.0495897
96,0.433614,0.370845,0.212412,0.0495897
97,0.433614,0.370845,0.212412,0.0495897
98,0.433614,0.370845,0.212412,0.0495897
99,0.40068,0.343103,0.210812,0.0460111
100,0.399959,0.33597,0.206321,0.0463486
101,0.384227,0.325819,0.207718,0.0442432
102,0.384116,0.310647,0.196183,0.0447878
103,0.397255,0.335045,0.210563,0.0459999
104,0.397255,0.335045,0.210563,0.0459999
105,0.386759,0.33073,0.211202,0.0452473
106,0.396318,0.338567,0.211886,0.0461796
107,0.404976,0.350038,0.212419,0.0468859
108,0.413151,0.351184,0.208861,0.0484265
109,0.413151,0.351184,0.208861,0.0484265
110,0.429208,0.369519,0.215232,0.0503432
111,0.426554,0.367569,0.215064,0.0502264
112,0.426554,0.367569,0.215064,0.0502264
113,0.456253,0.392911,0.216904,0.0536709
114,0.454985,0.386612,0.21664,0.0535352
115,0.455746,0.38202,0.213511,0.0532441
116,0.455746,0.38202,0.213511,0.0532441
117,0.447019,0.375254,0.209103,0.0528139
118,0.447019,0.375254,0.209103,0.0528139
119,0.455586,0.37361,0.205608,0.053727
120,0.452921,0.380617,0.209506,0.0527806
121,0.452921,0.380617,0.209506,0.0527806
122,0.448848,0.379473,0.209822,0.0517192
123,0.472211,0.414191,0.219326,0.0538514
124,0.472211,0.414191,0.219326,0.0538514
125,0.454639,0.378352,0.20808,0.0518991
126,0.454639,0.378352,0.20808,0.0518991
127,0.422073,0.343357,0.201364,0.0476091
128,0.436027,0.36097,0.208087,0.0491522
129,0.436027,0.36097,0.208087,0.0491522
130,0.442523,0.374637,0.209656,0.0496559
131,0.429234,0.352492,0.203432,0.0485698
132,0.429234,0.352492,0.203432,0.0485698
133,0.429175,0.343512,0.199494,0.0485771
134,0.449158,0.348277,0.192299,0.0515834
135,0.418468,0.327213,0.189824,0.0483935
136,0.418468,0.327213,0.189824,0.0483935
137,0.411809,0.332616,0.199815,0.0472733
138,0.411809,0.332616,0.199815,0.0472733
139,0.404365,0.321214,0.196691,0.046674
140,0.404383,0.323508,0.195927,0.046045
141,0.40423,0.320783,0.196675,0.0458161
142,0.404407,0.325448,0.200841,0.0457033
143,0.417402,0.32373,0.196632,0.0460523
144,0.417402,0.32373,0.196632,0.0460523
145,0.42869,0.342854,0.200929,0.0464875
146,0.404613,0.311681,0.191794,0.0454401
147,0.40113,0.307188,0.189299,0.0450268
148,0.40113,0.307188,0.189299,0.0450268
149,0.416845,0.315409,0.187183,0.0476345
150,0.416845,0.315409,0.187183,0.0476345
151,0.42333,0.318657,0.186881,0.0476345
152,0.405131,0.304693,0.185963,0.0450478
153,0.405131,0.304693,0.185963,0.0450478
154,0.411991,0.307413,0.18467,0.045991
155,0.411991,0.307413,0.18467,0.045991
156,0.428998,0.324619,0.190066,0.0474146
157,0.412967,0.307393,0.185657,0.0462829
158,0.429969,0.310671,0.179818,0.0491957
159,0.429969,0.310671,0.179818,0.0491957
160,0.429744,0.315161,0.182926,0.048599
161,0.427047,0.307204,0.177728,0.0489016
162,0.428491,0.312126,0.180463,0.0490905
163,0.443161,0.322488,0.180964,0.0501261
164,0.42348,0.302043,0.177029,0.0478173
165,0.42348,0.302043,0.177029,0.0478173
166,0.42348,0.302043,0.177029,0.0478173
167,0.437028,0.306501,0.173801,0.0499045
168,0.439917,0.303177,0.171978,0.0511078
169,0.431442,0.297946,0.1703,0.0494258
170,0.436952,0.303796,0.171035,0.0505837
171,0.436952,0.303796,0.171035,0.0505837
172,0.427173,0.292458,0.169019,0.0493912
173,0.423684,0.286193,0.16672,0.0497051
174,0.414621,0.267819,0.159327,0.0499456
175,0.405949,0.268092,0.16189,0.0473986
176,0.395244,0.267388,0.165837,0.0460263
177,0.398179,0.278705,0.172903,0.0450494
178,0.397916,0.266364,0.162062,0.0459527
179,0.392031,0.266671,0.164415,0.0452272
180,0.405062,0.272774,0.166303,0.0453549
181,0.412198,0.287145,0.172518,0.0464453
182,0.408052,0.278976,0.17011,0.0467993
183,0.433472,0.307173,0.177099,0.0497012
184,0.433472,0.307173,0.177099,0.0497012
185,0.433472,0.307173,0.177099,0.0497012
186,0.446071,0.305453,0.169958,0.0521964
187,0.471796,0.32981,0.177827,0.0545029
188,0.454708,0.320997,0.176501,0.0522671
189,0.461168,0.32797,0.179655,0.0525783
190,0.448678,0.31973,0.178664,0.0509249
191,0.448678,0.31973,0.178664,0.0509249
192,0.445101,0.317368,0.178061,0.0496329
193,0.449859,0.320024,0.175978,0.051216
194,0.456266,0.311485,0.168958,0.0511798
195,0.476394,0.328726,0.173164,0.053151
196,0.476394,0.328726,0.173164,0.053151
197,0.476394,0.328726,0.173164,0.053151
198,0.454914,0.299835,0.164233,0.0506707
199,0.454914,0.299835,0.164233,0.0506707
200,0.44076,0.292404,0.16418,0.0489382
201,0.438719,0.290461,0.165291,0.0483903
202,0.42193,0.275202,0.162562,0.0470274
203,0.42193,0.275202,0.162562,0.0470274
204,0.403861,0.256292,0.155023,0.0457414
205,0.403861,0.256292,0.155023,0.0457414
206,0.403861,0.256292,0.155023,0.0457414
207,0.407788,0.265504,0.161169,0.0454339
208,0.411273,0.258444,0.15615,0.0452386
209,0.411273,0.258444,0.15615,0.0452386
210,0.411273,0.258444,0.15615,0.0452386
211,0.412917,0.263011,0.157043,0.0460122
212,0.412917,0.263011,0.157043,0.0460122
213,0.412917,0.263011,0.157043,0.0460122
214,0.412917,0.263011,0.157043,0.0460122
215,0.412917,0.263011,0.157043,0.0460122
216,0.398729,0.254417,0.154391,0.045836
217,0.398661,0.253831,0.156734,0.0443797
218,0.406814,0.257931,0.15717,0.0452888
219,0.405789,0.256311,0.15547,0.0460491
220,0.444253,0.282862,0.158707,0.0500847
221,0.421861,0.263722,0.155011,0.0472159
222,0.39669,0.241572,0.148741,0.0447903
223,0.410121,0.248871,0.149598,0.0463829
224,0.41077,0.25434,0.152087,0.0456355
225,0.422532,0.252373,0.148612,0.0457134
226,0.422532,0.252373,0.148612,0.0457134
227,0.449528,0.279613,0.156437,0.0475095
228,0.449528,0.279613,0.156437,0.0475095
229,0.433114,0.272061,0.156433,0.0476168
230,0.433114,0.272061,0.156433,0.0476168
231,0.433114,0.272061,0.156433,0.0476168
232,0.44207,0.278021,0.155087,0.0487034
233,0.44207,0.278021,0.155087,0.0487034
234,0.44284,0.27337,0.153231,0.0496606
235,0.427871,0.25696,0.147091,0.0484888
236,0.432474,0.271966,0.154184,0.048663
237,0.432474,0.271966,0.154184,0.048663
238,0.42238,0.264188,0.15149,0.0484325
239,0.422887,0.256439,0.150221,0.0475864
240,0.401651,0.237823,0.145309,0.0462208
241,0.399201,0.227325,0.140109,0.0452543
242,0.399201,0.227325,0.140109,0.0452543
243,0.405504,0.239643,0.144386,0.0460221
244,0.404398,0.229762,0.138895,0.046039
245,0.424746,0.23828,0.139181,0.0478119
246,0.425449,0.245794,0.143512,0.0473916
247,0.429912,0.246735,0.140643,0.048585
248,0.429912,0.246735,0.140643,0.048585
249,0.429912,0.246735,0.140643,0.048585
250,0.426783,0.252211,0.143145,0.0483172
251,0.420851,0.24225,0.13943,0.0479105
252,0.416883,0.24393,0.143722,0.0475395
253,0.414642,0.235339,0.139393,0.0476788
254,0.400668,0.228907,0.138676,0.0472997
255,0.396248,0.233299,0.141981,0.046134
256,0.385814,0.224958,0.141104,0.0433392
257,0.390243,0.228674,0.142676,0.0437322
258,0.403266,0.238735,0.146049,0.0441822
259,0.391116,0.227352,0.141381,0.0438337
260,0.391116,0.227352,0.141381,0.0438337
261,0.388696,0.227954,0.143158,0.0438222
262,0.388696,0.227954,0.143158,0.0438222
263,0.390331,0.229294,0.143765,0.0430057
264,0.390331,0.229294,0.143765,0.0430057
265,0.386573,0.223484,0.141457,0.0432389
266,0.386573,0.223484,0.141457,0.0432389
267,0.39505,0.230094,0.144632,0.0427444
268,0.383409,0.226309,0.14597,0.0426537
269,0.383409,0.226309,0.14597,0.0426537
270,0.383409,0.226309,0.14597,0.0426537
271,0.384988,0.230819,0.147989,0.0431267
272,0.381381,0.228864,0.148405,0.0425385
273,0.377991,0.234106,0.153093,0.0419064
274,0.380336,0.235756,0.151251,0.0429977
275,0.378426,0.237213,0.150901,0.0441689
276,0.384002,0.243986,0.152874,0.0447309
277,0.384002,0.243986,0.152874,0.0447309
278,0.384002,0.243986,0.152874,0.0447309
279,0.379454,0.246993,0.157962,0.0440205
280,0.379454,0.246993,0.157962,0.0440205
281,0.379311,0.245954,0.158689,0.0422593
282,0.38472,0.2615,0.167879,0.0425768
283,0.38472,0.2615,0.167879,0.0425768
