MDTU,|det-1|^2,1-Re(det),Im(det)
164,0.453869,0.620759,-0.000105593
165,0.453986,0.626734,-3.4222e-05
166,0.46737,0.639051,-4.67025e-05
167,0.46737,0.639051,-4.67025e-05
168,0.480034,0.654161,-0.000188782
169,0.480034,0.654161,-0.000188782
170,0.455715,0.634219,-0.000175676
171,0.448202,0.611406,-6.46294e-06
172,0.445218,0.616873,4.52604e-05
173,0.445218,0.616873,4.52604e-05
174,0.443423,0.614223,0.000333633
175,0.443423,0.614223,0.000333633
176,0.438213,0.600127,0.00024358
177,0.438213,0.600127,0.00024358
178,0.435375,0.599064,0.000299436
179,0.435375,0.599064,0.000299436
180,0.435375,0.599064,0.000299436
181,0.427454,0.593272,0.000254145
182,0.430702,0.584343,-5.10535e-05
183,0.441322,0.594232,-8.0791e-05
184,0.441312,0.592027,-0.000231304
185,0.441312,0.592027,-0.000231304
186,0.454194,0.603059,3.42568e-05
187,0.45003,0.597576,-0.000138787
188,0.45003,0.597576,-0.000138787
189,0.451247,0.593572,0.000245415
190,0.428928,0.5653,-0.000185368
191,0.437966,0.593257,-0.000111233
192,0.435569,0.593897,-0.000394983
193,0.435569,0.593897,-0.000394983
194,0.42072,0.573823,-1.40731e-05
195,0.416256,0.560486,-0.000102904
196,0.421571,0.562005,0.000182943
197,0.401881,0.549465,-0.000191396
198,0.395768,0.544089,-8.26669e-05
199,0.395768,0.544089,-8.26669e-05
200,0.378679,0.52899,-2.15559e-05
201,0.378679,0.52899,-2.1556e-05
202,0.384613,0.54361,7.24174e-05
203,0.384613,0.54361,7.24174e-05
204,0.384613,0.54361,7.24174e-05
205,0.374047,0.519209,9.66675e-05
206,0.365609,0.517153,-0.000380353
207,0.365609,0.517153,-0.000380353
208,0.365609,0.517153,-0.000380353
209,0.365609,0.517153,-0.000380353
210,0.375097,0.515159,-4.07316e-05
211,0.367428,0.528312,-0.000154877
212,0.352272,0.496255,-0.000110825
213,0.349435,0.482408,-0.000220077
214,0.381763,0.539382,0.000216912
215,0.381763,0.539382,0.000216912
216,0.387458,0.543285,6.39301e-05
217,0.387458,0.543285,6.39301e-05
218,0.36889,0.526276,-0.00014845
219,0.391876,0.547235,-0.000199565
220,0.376985,0.543543,0.00037286
221,0.368616,0.537206,0.000187503
222,0.374482,0.534809,-0.000291632
223,0.343769,0.500899,-5.29079e-05
224,0.343769,0.500899,-5.29079e-05
225,0.328584,0.481322,0.000208185
226,0.328584,0.481322,0.000208185
227,0.342869,0.499747,0.000227412
228,0.337886,0.495956,-0.000145275
229,0.334165,0.476828,0.000260998
230,0.334165,0.476828,0.000260998
231,0.334165,0.476828,0.000260998
232,0.334165,0.476828,0.000260998
233,0.340083,0.490586,0.000156258
234,0.340083,0.490586,0.000156258
235,0.332883,0.48548,-0.000155603
236,0.337364,0.493982,-0.000568615
237,0.350091,0.507328,0.000310224
238,0.350091,0.507328,0.000310224
239,0.346857,0.484155,7.52002e-05
240,0.355012,0.51241,8.88633e-05
241,0.376109,0.540695,0.000175291
242,0.369767,0.533139,8.95099e-05
243,0.359406,0.513254,1.81632e-05
244,0.335004,0.480115,0.000169159
245,0.335004,0.480115,0.000169159
246,0.354741,0.504152,0.000117861
247,0.375027,0.529708,-8.58953e-05
248,0.375027,0.529708,-8.58953e-05
249,0.348003,0.510288,9.38095e-05
250,0.360784,0.512248,-0.000298468
251,0.360784,0.512248,-0.000298468
252,0.366271,0.504953,0.000126879
253,0.365784,0.500301,3.84348e-05
254,0.365784,0.500301,3.84348e-05
255,0.365784,0.500301,3.84348e-05
256,0.368128,0.515848,0.000236873
257,0.368128,0.515848,0.000236873
258,0.361436,0.495849,0.000361797
259,0.377642,0.512619,4.99888e-05
260,0.386576,0.506255,0.000367687
261,0.374482,0.497036,-5.98431e-05
262,0.377694,0.485129,-0.000253425
263,0.36752,0.461702,0.000245212
264,0.36752,0.461702,0.000245212
265,0.349844,0.463785,2.55371e-06
266,0.349844,0.463785,2.55371e-06
267,0.341428,0.458034,-0.000191181
