MDTU,link
1,3.06361
2,2.32861
3,2.16675
4,2.03735
5,1.91318
6,1.84575
7,1.77394
8,1.71804
9,1.6636
10,1.62168
11,1.57906
12,1.54837
13,1.52405
14,1.49511
15,1.47119
16,1.45159
17,1.4328
18,1.4183
19,1.39958
20,1.38437
21,1.36392
22,1.34694
23,1.32719
24,1.31737
25,1.30224
26,1.29155
27,1.27684
28,1.26688
29,1.25955
30,1.24884
31,1.23977
32,1.23247
33,1.22451
34,1.21367
35,1.20684
36,1.20012
37,1.1937
38,1.18972
39,1.18199
40,1.17651
41,1.17118
42,1.16446
43,1.15948
44,1.15229
45,1.14561
46,1.14344
47,1.13976
48,1.13174
49,1.1254
50,1.12288
51,1.12089
52,1.11624
53,1.11879
54,1.11101
55,1.1091
56,1.10803
57,1.10091
58,1.097
59,1.09404
60,1.09193
61,1.08839
62,1.08565
63,1.08746
64,1.08468
65,1.08194
66,1.08011
67,1.0806
68,1.07997
69,1.07869
70,1.07896
71,1.07837
72,1.0742
73,1.07313
74,1.07052
75,1.07052
76,1.0717
77,1.07455
78,1.07092
79,1.06827
80,1.06817
81,1.06578
82,1.06409
83,1.06409
84,1.06248
85,1.06265
86,1.06165
87,1.06165
88,1.06165
89,1.06253
90,1.05996
91,1.06003
92,1.05807
93,1.05467
94,1.05467
95,1.05686
96,1.05761
97,1.05761
98,1.05761
99,1.05573
100,1.0595
101,1.05679
102,1.05638
103,1.05672
104,1.05647
105,1.05004
106,1.05166
107,1.05166
108,1.05267
109,1.0501
110,1.0528
111,1.05045
112,1.05045
113,1.04867
114,1.04612
115,1.04955
116,1.04878
117,1.04878
118,1.04909
119,1.04634
120,1.04411
121,1.04637
122,1.04393
123,1.04393
124,1.04683
125,1.04683
126,1.04668
127,1.04321
128,1.03634
129,1.03662
130,1.03541
131,1.03541
132,1.03541
133,1.03541
134,1.03715
135,1.03715
136,1.03716
137,1.03527
138,1.03524
139,1.03698
140,1.03624
141,1.03624
142,1.03514
143,1.03406
144,1.03391
145,1.03332
146,1.03276
147,1.03328
148,1.03437
149,1.03437
150,1.03606
151,1.03449
152,1.03504
153,1.03396
154,1.03396
155,1.0313
156,1.0333
157,1.0333
158,1.0333
159,1.03197
160,1.03046
161,1.02798
162,1.02856
163,1.02856
164,1.02678
165,1.02678
166,1.02516
167,1.02516
168,1.02336
169,1.02336
170,1.02794
171,1.02991
172,1.02993
173,1.02993
174,1.03051
175,1.02964
176,1.02866
177,1.02866
178,1.02636
179,1.02751
180,1.02751
181,1.02406
182,1.02689
183,1.02689
184,1.02689
185,1.02689
186,1.02689
187,1.02689
188,1.0307
189,1.0307
190,1.02866
191,1.02915
192,1.02922
193,1.02922
194,1.02922
195,1.02818
196,1.03255
197,1.03255
198,1.03255
199,1.03119
200,1.0286
201,1.0286
202,1.02868
203,1.02704
204,1.02246
205,1.02028
206,1.02028
207,1.02028
208,1.02028
209,1.02028
210,1.02389
211,1.02389
212,1.02389
213,1.02389
214,1.02307
215,1.02163
216,1.02163
217,1.02344
218,1.0219
219,1.02046
220,1.02046
221,1.02046
222,1.02056
223,1.02056
224,1.01904
225,1.01945
226,1.01945
227,1.01516
228,1.01429
229,1.01429
230,1.01455
231,1.01455
232,1.01565
233,1.01639
234,1.01708
235,1.01708
236,1.01893
237,1.01797
238,1.01797
239,1.01797
240,1.0211
241,1.0211
242,1.0179
243,1.0179
244,1.01438
245,1.01503
246,1.01503
247,1.01503
248,1.01503
249,1.01421
250,1.01635
251,1.01671
252,1.01374
253,1.01421
254,1.01421
255,1.01432
256,1.01404
257,1.01225
258,1.01485
259,1.0138
260,1.0138
261,1.0138
262,1.0138
263,1.01286
264,1.01286
265,1.01286
266,1.00995
267,1.01435
268,1.01435
269,1.01435
270,1.01419
271,1.01419
272,1.01453
273,1.01193
274,1.01158
275,1.01297
276,1.01188
277,1.01081
278,1.01161
279,1.00869
280,1.01113
281,1.01113
282,1.01077
283,1.01342
284,1.01486
285,1.01486
286,1.01486
287,1.01357
288,1.01242
289,1.01242
290,1.01242
291,1.01007
292,1.00961
293,1.01049
294,1.01009
295,1.01112
296,1.00974
297,1.01315
298,1.01254
299,1.00954
300,1.01245
301,1.01245
302,1.01512
303,1.01512
304,1.01603
305,1.01598
306,1.01598
307,1.01788
308,1.01784
309,1.01784
310,1.01355
311,1.01355
312,1.01555
313,1.01555
314,1.01555
315,1.01888
316,1.01831
317,1.01831
318,1.01831
319,1.01831
320,1.01831
321,1.01831
322,1.01594
323,1.01301
324,1.01292
325,1.01292
326,1.01292
327,1.01292
328,1.01292
329,1.01098
330,1.01098
331,1.01511
332,1.01199
333,1.01112
334,1.0125
335,1.01106
336,1.01205
337,1.01188
338,1.01389
339,1.01389
340,1.01389
341,1.0136
342,1.0136
343,1.01886
344,1.01684
345,1.01684
346,1.01684
347,1.01684
348,1.01684
349,1.01684
350,1.01687
351,1.01687
352,1.01687
353,1.01511
354,1.0143
355,1.0143
356,1.0143
357,1.01631
358,1.0155
359,1.0155
360,1.0155
361,1.01876
362,1.01588
363,1.01588
364,1.01787
365,1.01905
366,1.01979
367,1.01839
368,1.01839
369,1.01711
370,1.01711
371,1.01711
372,1.01732
373,1.01641
374,1.01641
375,1.01571
376,1.01571
377,1.01571
378,1.01571
379,1.01748
380,1.01748
381,1.0176
382,1.0176
383,1.01241
384,1.01608
385,1.01395
386,1.01395
387,1.01258
388,1.01265
389,1.01396
390,1.01286
391,1.01606
392,1.01967
393,1.01967
394,1.01674
395,1.01674
396,1.01426
397,1.01426
398,1.01246
399,1.01246
400,1.01246
401,1.01689
402,1.01689
403,1.01689
404,1.02011
405,1.01839
406,1.01798
407,1.0173
408,1.01749
409,1.01749
410,1.01468
411,1.01706
412,1.01706
413,1.01706
414,1.01706
415,1.01757
416,1.01764
417,1.01916
418,1.01916
419,1.01998
420,1.01998
421,1.02147
422,1.01977
423,1.01977
424,1.01922
425,1.02236
426,1.01698
427,1.01619
428,1.01636
429,1.01655
430,1.01785
431,1.01826
432,1.01826
433,1.01835
434,1.01797
435,1.01977
436,1.01977
437,1.02221
438,1.01871
439,1.01668
440,1.01668
441,1.01721
442,1.01763
443,1.01642
444,1.01554
445,1.01801
446,1.01801
447,1.0187
448,1.01706
449,1.01481
450,1.01484
451,1.01758
452,1.01758
453,1.01951
454,1.0168
455,1.01505
456,1.01691
457,1.01606
458,1.01424
459,1.01424
460,1.01617
461,1.01777
462,1.01325
463,1.01325
464,1.01273
465,1.01422
466,1.01422
467,1.0141
468,1.01287
469,1.01147
470,1.01206
471,1.01395
472,1.011
473,1.00879
474,1.00879
475,1.01299
476,1.01075
477,1.01227
478,1.00902
479,1.00902
480,1.00902
481,1.00654
482,1.00821
483,1.00599
484,1.00571
485,1.00456
486,1.00456
487,1.00504
488,1.00311
489,1.00311
490,1.00598
491,1.00598
492,1.00414
493,1.00827
494,1.0106
495,1.00995
496,1.00651
497,1.00967
498,1.01118
499,1.0072
500,1.0072
501,1.0072
502,1.00934
503,1.00681
504,1.00674
505,1.00621
506,1.00621
507,1.00566
508,1.00566
509,1.00566
510,1.00566
511,1.00566
512,1.00566
513,1.00566
514,1.00566
515,1.00566
516,1.00724
517,1.009
518,1.009
519,1.0093
520,1.00961
521,1.01184
522,1.01361
523,1.01391
524,1.01391
525,1.01163
526,1.01084
527,1.01242
528,1.01149
529,1.01103
530,1.01043
531,1.01279
532,1.01351
533,1.015
534,1.01529
535,1.01426
536,1.01549
537,1.01726
538,1.01726
539,1.01726
540,1.01726
541,1.01352
542,1.01641
543,1.01454
544,1.01538
545,1.01448
546,1.01344
547,1.01344
548,1.01548
549,1.01493
550,1.01493
551,1.01493
552,1.01556
553,1.01853
554,1.02079
555,1.02079
556,1.02018
557,1.01911
558,1.01972
559,1.02091
560,1.02091
561,1.01889
562,1.01808
563,1.01904
564,1.02122
565,1.02122
566,1.02142
567,1.01652
568,1.01979
569,1.01979
570,1.01996
571,1.01996
572,1.01996
573,1.01996
574,1.01974
575,1.01974
576,1.01916
577,1.02034
578,1.02034
579,1.02034
580,1.02076
581,1.02061
582,1.01903
583,1.01804
584,1.01549
585,1.01549
586,1.01549
587,1.01629
588,1.01784
589,1.01843
590,1.01504
591,1.01738
592,1.01331
593,1.01345
594,1.01345
595,1.01345
596,1.01345
597,1.01345
598,1.01345
599,1.01345
600,1.01345
601,1.01345
602,1.01432
603,1.01447
604,1.01591
605,1.01488
606,1.01488
607,1.01639
608,1.01598
609,1.01598
610,1.0168
611,1.0169
612,1.01776
613,1.01776
614,1.01522
615,1.01542
616,1.01542
617,1.01542
618,1.01542
619,1.01542
620,1.01571
621,1.01128
622,1.01128
623,1.01293
624,1.01293
625,1.01376
626,1.01351
627,1.01122
628,1.01122
629,1.01069
630,1.01069
631,1.01069
632,1.01233
633,1.01159
634,1.01159
635,1.01455
636,1.01603
637,1.01416
638,1.01092
639,1.01092
640,1.01292
641,1.01153
642,1.01352
643,1.01252
644,1.01252
645,1.01177
646,1.01177
647,1.01177
648,1.01053
649,1.0104
650,1.00914
651,1.00914
652,1.00914
653,1.00964
654,1.00964
655,1.00964
656,1.01368
657,1.01255
658,1.01255
659,1.01255
660,1.01257
661,1.01436
662,1.01419
663,1.01419
664,1.01583
665,1.01488
666,1.01152
667,1.01152
668,1.01287
669,1.01287
670,1.01287
671,1.01334
672,1.01334
673,1.01385
674,1.01257
675,1.01257
676,1.01257
677,1.01201
678,1.00851
679,1.00979
680,1.00979
681,1.00979
682,1.01113
683,1.00893
684,1.00893
685,1.00852
686,1.00556
687,1.00556
688,1.00555
689,1.00588
690,1.00549
691,1.00502
692,1.00836
693,1.0083
694,1.00751
695,1.00918
696,1.00918
697,1.01164
698,1.01164
699,1.01057
700,1.01057
701,1.01057
702,1.01057
703,1.01057
704,1.01057
705,1.0161
706,1.0123
707,1.0123
708,1.0123
709,1.01256
710,1.01256
711,1.01256
712,1.01256
713,1.01098
714,1.01046
715,1.01281
716,1.01326
717,1.01326
718,1.01628
719,1.01496
720,1.01496
721,1.01559
722,1.01632
723,1.0176
724,1.01166
725,1.01189
726,1.00811
727,1.00914
728,1.00914
729,1.00923
730,1.00923
731,1.00968
732,1.0087
733,1.0087
734,1.01009
735,1.01182
736,1.01182
737,1.01091
738,1.01091
739,1.01091
740,1.00892
741,1.00657
742,1.00657
743,1.00679
744,1.00675
745,1.00914
746,1.00878
747,1.00924
748,1.00924
749,1.00845
750,1.0102
751,1.0102
752,1.01409
753,1.01409
754,1.01337
755,1.01322
756,1.01322
757,1.01322
758,1.0103
759,1.00832
760,1.0103
761,1.01078
762,1.01303
763,1.01244
764,1.01355
765,1.01007
766,1.01044
767,1.00975
768,1.01269
769,1.00974
770,1.00843
771,1.00836
772,1.01192
773,1.01189
774,1.01386
775,1.01203
776,1.01203
777,1.01131
778,1.00951
779,1.00951
780,1.01072
781,1.01072
782,1.00648
783,1.00648
784,1.0074
785,1.00769
786,1.00769
787,1.00817
788,1.00817
789,1.00705
790,1.00581
791,1.00778
792,1.00778
793,1.00778
794,1.00778
795,1.01025
796,1.01025
797,1.00795
798,1.00795
799,1.00795
800,1.00795
801,1.00795
802,1.00795
803,1.0054
804,1.00307
805,1.00307
806,1.00307
807,1.00634
808,1.00653
809,1.00585
810,1.00869
811,1.00869
812,1.00821
813,1.00533
814,1.00574
815,1.00574
816,1.00487
817,1.00699
818,1.00927
819,1.00935
820,1.00805
821,1.00604
822,1.00604
823,1.00363
824,1.00363
825,1.00175
826,0.999552
827,0.999552
828,0.999552
829,0.999552
830,1.00368
831,1.00466
832,1.00619
833,1.00619
834,1.0052
835,1.00538
836,1.00796
837,1.00942
838,1.00942
839,1.00942
840,1.00706
841,1.00324
842,1.00324
843,1.00324
844,1.00593
845,1.00639
846,1.0089
847,1.0089
848,1.0089
849,1.00779
850,1.0086
851,1.0042
852,1.0042
853,1.0064
854,1.00999
855,1.01053
856,1.01053
857,1.01053
858,1.01105
859,1.01053
860,1.01053
861,1.01199
862,1.01279
863,1.01279
864,1.01018
865,1.01018
866,1.01172
867,1.01172
868,1.01276
869,1.01252
870,1.01267
871,1.01207
872,1.01353
873,1.01005
874,1.01069
875,1.01193
876,1.01149
877,1.01149
878,1.01149
879,1.01149
880,1.01149
881,1.01149
882,1.01149
883,1.01409
884,1.01597
885,1.01625
886,1.01644
887,1.01644
888,1.01644
889,1.01755
890,1.01795
891,1.01849
892,1.01718
893,1.01797
894,1.01797
895,1.01743
896,1.01654
897,1.01524
898,1.01688
899,1.01624
900,1.01854
901,1.01854
902,1.01854
903,1.01909
904,1.01419
905,1.01419
906,1.01345
907,1.01616
908,1.01989
909,1.01814
910,1.01672
911,1.01672
912,1.01672
913,1.01512
914,1.0171
915,1.01299
916,1.01226
917,1.01176
918,1.01368
919,1.01054
920,1.00797
921,1.01213
922,1.01223
923,1.01342
924,1.01547
925,1.01547
926,1.01722
927,1.01722
928,1.0208
929,1.01957
930,1.01695
931,1.01668
932,1.02079
933,1.02079
934,1.01888
