MDTU,min_ave,max_ave
1,0.407242,0.599037
2,0.263184,0.498115
3,0.218876,0.474761
4,0.180756,0.454185
5,0.142798,0.431246
6,0.118956,0.420331
7,0.0941639,0.40647
8,0.0725887,0.396291
9,0.0506143,0.386346
10,0.0337242,0.378294
11,0.0148394,0.370006
12,0.000853618,0.364134
13,-0.010297,0.359934
14,-0.0236867,0.353746
15,-0.034803,0.348555
16,-0.0456335,0.345005
17,-0.0550968,0.34108
18,-0.0628895,0.338268
19,-0.072499,0.33384
20,-0.0815624,0.330738
21,-0.0937223,0.32616
22,-0.104501,0.321908
23,-0.116523,0.317099
24,-0.122148,0.315339
25,-0.130206,0.311195
26,-0.137723,0.308556
27,-0.146602,0.304241
28,-0.153638,0.30264
29,-0.158817,0.30106
30,-0.164158,0.297429
31,-0.171138,0.295667
32,-0.175719,0.294219
33,-0.180593,0.291982
34,-0.188806,0.289601
35,-0.193859,0.288195
36,-0.198347,0.286607
37,-0.20372,0.284944
38,-0.207144,0.284513
39,-0.21209,0.281385
40,-0.217198,0.281204
41,-0.220716,0.280321
42,-0.225442,0.278181
43,-0.230077,0.277339
44,-0.23404,0.274131
45,-0.24005,0.273222
46,-0.242855,0.272956
47,-0.245488,0.272254
48,-0.251808,0.269682
49,-0.25828,0.268609
50,-0.258696,0.267298
51,-0.26163,0.266973
52,-0.26483,0.265979
53,-0.263111,0.267135
54,-0.267277,0.263943
55,-0.270268,0.263416
56,-0.272622,0.264384
57,-0.2775,0.261219
58,-0.280131,0.260204
59,-0.282458,0.259632
60,-0.285062,0.258983
61,-0.286727,0.257373
62,-0.289618,0.256794
63,-0.28848,0.257512
64,-0.290772,0.256914
65,-0.294153,0.256204
66,-0.295607,0.255842
67,-0.295877,0.256321
68,-0.2962,0.255723
69,-0.297075,0.255674
70,-0.297459,0.255779
71,-0.297355,0.255829
72,-0.300491,0.253952
73,-0.3025,0.254022
74,-0.303661,0.253154
75,-0.303661,0.253154
76,-0.304494,0.254143
77,-0.30049,0.254589
78,-0.303513,0.253928
79,-0.306335,0.253106
80,-0.305372,0.252427
81,-0.307977,0.251874
82,-0.30882,0.251087
83,-0.30882,0.251087
84,-0.309406,0.250146
85,-0.309778,0.250929
86,-0.31104,0.250622
87,-0.31104,0.250622
88,-0.31104,0.250622
89,-0.311331,0.251131
90,-0.31325,0.25015
91,-0.31278,0.249861
92,-0.314898,0.249677
93,-0.316973,0.2479
94,-0.316973,0.2479
95,-0.315883,0.249347
96,-0.315491,0.249507
97,-0.315491,0.249507
98,-0.315491,0.249507
99,-0.317426,0.24913
100,-0.31445,0.250331
101,-0.315596,0.2491
102,-0.317513,0.249207
103,-0.317081,0.249908
104,-0.318261,0.250469
105,-0.322239,0.24753
106,-0.320496,0.248137
107,-0.320496,0.248137
108,-0.320528,0.248725
109,-0.322127,0.247292
110,-0.320544,0.248934
111,-0.32234,0.247773
112,-0.32234,0.247773
113,-0.324504,0.247404
114,-0.327307,0.246735
115,-0.324831,0.247793
116,-0.326304,0.248185
117,-0.326304,0.248185
118,-0.323645,0.247599
119,-0.327673,0.247093
120,-0.328502,0.246207
121,-0.326796,0.247081
122,-0.328744,0.246229
123,-0.328744,0.246229
124,-0.327861,0.248208
125,-0.327861,0.248208
126,-0.327906,0.248143
127,-0.329083,0.246355
128,-0.334226,0.243226
129,-0.335032,0.244076
130,-0.336014,0.243425
131,-0.336014,0.243425
132,-0.336014,0.243425
133,-0.336014,0.243425
134,-0.335065,0.244658
135,-0.335065,0.244658
136,-0.333819,0.24427
137,-0.336638,0.243942
138,-0.339175,0.244723
139,-0.33702,0.244394
140,-0.336721,0.244428
141,-0.336721,0.244428
142,-0.336737,0.243842
143,-0.337935,0.243246
144,-0.337584,0.242987
145,-0.338558,0.243153
146,-0.338414,0.242628
147,-0.338593,0.243207
148,-0.336623,0.24353
149,-0.336623,0.24353
150,-0.335657,0.243849
151,-0.337456,0.243516
152,-0.337444,0.243765
153,-0.338397,0.244102
154,-0.338397,0.244102
155,-0.340713,0.242861
156,-0.338309,0.243441
157,-0.338309,0.243441
158,-0.338309,0.243441
159,-0.340049,0.242997
160,-0.341076,0.241794
161,-0.342104,0.240993
162,-0.340897,0.240781
163,-0.340897,0.240781
164,-0.344384,0.240887
165,-0.344384,0.240887
166,-0.346205,0.240657
167,-0.346205,0.240657
168,-0.34756,0.239767
169,-0.34756,0.239767
170,-0.343472,0.241399
171,-0.342614,0.242577
172,-0.341776,0.242196
173,-0.341776,0.242196
174,-0.342296,0.242364
175,-0.343114,0.242051
176,-0.343764,0.241762
177,-0.343764,0.241762
178,-0.344691,0.241082
179,-0.34503,0.241715
180,-0.34503,0.241715
181,-0.347535,0.240339
182,-0.345273,0.241499
183,-0.345273,0.241499
184,-0.345273,0.241499
185,-0.345273,0.241499
186,-0.345273,0.241499
187,-0.345273,0.241499
188,-0.342066,0.242315
189,-0.342066,0.242315
190,-0.342781,0.241465
191,-0.343276,0.242113
