t,walltime
4910,1759
4920,1955
4930,2048
4940,2001
4950,2038
4960,1978
4970,1952
4980,1919
4990,1979
5000,1924
5010,1836
5020,1857
5030,1872
5040,1927
5050,1843
5060,1828
5070,1835
5080,1868
5090,1769
5100,1797
5110,1777
5120,1801
5130,1751
5140,1780
5150,1816
5160,1862
5170,1928
5180,1878
5190,1772
5200,1742
5210,1783
5220,1851
5230,1841
5240,1928
5250,1997
5260,1973
5270,3243
5280,3357
5290,2066
5300,2314
5310,2275
5320,2387
5330,2078
5340,2054
5350,2028
5360,1997
5370,1969
5380,1898
5390,1936
5400,2009
5410,2036
5420,2037
5430,2035
5440,2071
5450,2119
5460,2044
5470,2106
5480,2065
5490,2085
5500,2108
5510,2023
5520,1963
5530,2840
5540,2767
5550,2639
5560,3707
5570,2467
5580,2528
5590,4113
5600,4147
5610,4166
5620,4207
5630,3732
5640,3364
5650,3469
5660,3456
5670,2734
5680,4121
5690,4147
5700,4831
5710,3433
5720,3010
5730,3018
5740,3176
5750,3091
5760,3211
5770,3365
5780,1910
5790,1934
5800,1906
5810,1859
5820,1771
5830,1743
5840,1840
5850,1835
5860,1862
5870,1906
5880,1942
5890,1918
5900,1889
5910,1883
5920,1797
5930,1802
5940,1923
5950,2019
5960,1869
5970,1800
5980,3591
5990,3774
6000,2417
6010,2988
6020,2923
6030,3766
6040,1949
6050,1905
6060,2575
6070,4260
6080,1933
6090,1835
6100,1749
6110,1882
6120,1921
6130,1960
6140,1833
6150,1887
6160,1722
6170,1815
6180,2150
6190,1943
6200,1786
6210,1784
6220,1743
6230,1721
6240,1811
6250,1780
6260,1834
6270,1776
6280,1814
6290,1837
6300,1868
6310,1855
6320,1839
6330,1849
6340,1846
6350,1844
6360,1878
6370,1867
6380,1775
6390,1723
6400,1792
6410,1870
6420,2197
6430,2222
6440,2333
6450,2422
6460,1778
6470,1723
6480,1856
6490,2023
6500,2412
6510,2504
6520,2430
6530,2496
6540,2360
6550,2358
6560,2299
6570,2322
6580,2364
6590,2209
6600,1675
6610,1686
6620,1684
6630,1702
6640,1789
6650,1886
6660,1735
6670,1715
6680,1785
6690,1742
6700,1788
6710,1765
6720,1829
6730,1652
6740,1648
6750,1662
6760,1683
6770,1707
6780,1671
6790,1710
6800,1686
6810,1747
6820,1717
6830,1747
6840,1778
6850,1693
6860,1721
6870,1803
6880,1848
6890,1847
6900,1859
6910,1867
6920,1846
6930,1822
6940,1834
6950,1737
6960,1737
6970,1869
6980,1849
6990,1693
7000,1771
7010,1830
7020,1853
7030,1857
7040,1832
7050,1809
7060,1755
7070,1760
7080,1842
7090,2056
7100,2060
7110,2205
7120,2137
7130,3225
7140,3379
7150,2404
7160,2352
7170,2268
7180,2284
7190,1894
7200,1915
7210,2017
7220,2028
7230,2273
7240,2238
7250,1799
7260,1824
7270,1819
7280,1804
7290,1802
7300,1822
7310,1865
7320,1862
7330,1827
7340,1832
7350,1865
7360,1885
7370,1842
7380,1890
7390,2024
7400,2045
7410,2342
7420,2227
7430,2464
7440,2556
7450,2541
7460,2584
7470,2465
7480,2482
7490,1804
7500,1855
7510,1907
7520,1994
7530,1875
7540,1970
7550,2047
7560,2041
7570,1857
7580,1805
7590,1797
7600,1761
7610,1761
7620,1852
7630,1805
7640,1849
7650,1972
7660,2006
7670,1997
7680,1977
7690,2008
7700,2025
7710,2132
7720,2035
7730,1997
7740,2015
7750,1922
7760,1997
7770,1907
7780,1893
7790,1868
7800,1827
7810,2004
7820,1990
7830,1987
7840,1914
7850,1920
7860,1933
7870,1927
7880,1924
7890,1738
7900,1825
7910,1839
7920,1882
7930,1883
7940,1759
7950,1663
7960,1594
7970,1594
7980,1569
7990,1558
8000,1600
8010,3513
8020,3700
8030,1724
8040,1727
8050,1727
8060,1706
8070,3073
8080,3067
8090,1731
8100,1725
8110,1888
8120,1922
8130,4620
8140,3745
8150,1698
8160,1741
8170,1680
8180,1681
8190,1692
8200,1699
8210,1715
8220,1750
8230,1752
8240,1660
8250,1643
8260,1660
8270,1785
8280,1688
8290,1696
8300,1727
8310,1748
8320,1757
8330,1740
8340,1734
8350,1711
8360,1712
8370,1672
8380,1715
8390,1700
8400,1721
8410,1709
8420,1738
8430,1904
8440,1936
8450,1729
8460,1762
8470,1949
8480,1754
8490,1746
8500,1772
8510,1762
8520,1723
8530,1681
8540,1647
8550,1727
8560,1689
8570,1754
8580,1825
8590,1794
8600,1746
8610,1721
8620,1803
8630,1896
8640,1915
8650,2043
8660,1948
8670,1887
8680,1824
8690,1828
8700,1780
8710,1809
8720,1848
8730,1917
8740,1902
8750,1858
8760,1878
8770,2094
8780,2381
8790,2322
8800,2173
8810,1744
8820,1761
8830,1833
8840,1841
8850,1855
8860,1793
8870,2118
8880,2262
8890,1977
8900,1908
8910,2104
8920,2123
8930,1780
8940,1751
8950,1801
8960,1777
8970,1853
8980,1872
8990,1891
9000,1847
9010,2237
9020,1898
9030,2378
9040,2431
9050,1861
9060,1973
9070,2226
9080,2114
9090,2022
9100,1810
9110,2066
9120,1955
9130,1944
9140,1945
9150,1805
9160,1919
9170,1949
9180,1974
9190,1914
9200,1970
9210,1927
9220,1959
9230,1877
9240,1953
9250,1911
9260,2026
9270,2110
9280,2348
9290,3526
9300,3231
9310,1842
9320,1888
9330,1898
9340,1864
9350,2255
9360,2250
9370,2412
9380,2763
9390,2421
9400,2437
9410,2379
9420,2212
9430,2021
9440,2009
9450,1758
9460,1742
9470,1830
9480,1831
9490,1807
9500,1889
9510,2070
9520,1825
9530,1774
9540,1640
9550,1674
9560,1769
9570,1801
9580,1767
9590,1804
9600,1783
9610,1804
9620,1881
9630,1859
9640,1841
9650,1822
9660,1859
9670,1820
9680,1796
9690,1687
9700,1746
9710,1650
9720,1675
9730,1674
9740,1696
9750,1681
9760,1615
9770,1664
9780,1737
9790,1837
9800,1692
9810,1856
9820,1866
9830,1792
9840,1808
9850,1891
9860,1857
9870,1783
9880,1788
9890,1811
9900,1749
9910,1771
9920,1792
9930,1836
9940,1848
9950,1843
9960,1816
9970,1796
9980,1767
9990,1802
10000,1904
10010,1802
10020,1777
10030,3669
10040,3516
10050,3720
10060,3536
10070,1764
10080,1791
10090,4584
10100,1831
10110,1779
10120,3199
10130,3150
10140,3153
10150,3185
10160,3332
10170,3511
10180,1824
10190,1794
10200,1807
10210,1773
10220,1755
10230,1847
10240,1780
10250,1794
10260,1752
10270,1725
10280,1660
10290,1583
10300,1619
10310,1704
10320,1791
10330,1691
10340,1589
10350,1579
10360,1594
10370,1649
10380,1693
10390,1762
10400,1771
10410,1827
10420,1820
10430,1828
10440,1797
10450,1771
10460,1762
10470,1729
10480,1775
10490,1781
10500,1797
10510,1727
10520,1791
10530,1924
10540,2095
10550,1999
10560,1868
10570,1790
10580,1772
10590,1774
10600,1834
10610,1831
10620,1898
10630,1903
10640,1949
10650,1932
10660,1927
10670,1875
10680,3371
10690,3283
10700,3146
10710,3262
10720,3313
10730,3207
10740,3202
10750,3167
10760,3095
10770,3297
10780,1878
10790,1909
10800,1857
10810,1830
10820,1802
10830,1765
10840,1785
10850,2399
10860,1807
10870,1993
10880,1868
10890,1797
10900,1804
10910,1781
10920,1795
10930,1821
10940,1841
10950,1903
10960,1885
10970,1826
10980,1829
10990,1760
11000,3073
11010,2943
11020,2928
11030,2860
11040,2847
11050,2786
11060,2866
11070,2927
11080,3236
11090,2977
11100,3065
11110,3154
11120,2313
11130,2792
11140,1739
11150,1744
11160,1741
11170,1751
11180,1769
11190,1780
11200,1766
11210,1754
11220,1775
11230,1811
11240,1783
11250,1778
11260,1775
11270,1781
11280,1783
11290,1761
11300,1703
11310,1693
11320,1656
11330,1663
11340,1722
11350,1720
11360,1683
11370,1643
11380,1621
11390,1644
11400,1658
11410,1690
11420,1719
11430,1690
11440,1592
11450,1643
11460,1643
11470,1667
11480,1671
11490,1740
11500,1741
11510,1724
11520,1706
11530,1704
11540,1648
11550,1687
11560,1750
11570,1782
11580,1782
11590,1771
11600,1793
11610,1801
11620,1784
11630,1784
11640,2268
11650,1940
11660,1907
11670,1897
11680,1917
11690,1869
11700,1887
11710,1866
11720,1832
11730,1815
11740,1823
11750,1887
11760,1885
11770,1833
11780,1851
11790,1775
11800,1813
11810,1864
11820,1852
11830,1858
11840,1877
11850,1838
11860,1780
11870,1817
11880,1780
11890,1838
11900,1832
11910,1852
11920,1840
11930,1844
11940,1921
11950,1915
11960,1914
11970,1950
11980,1946
11990,1941
12000,1958
12010,2962
12020,2894
12030,1905
12040,1884
12050,1877
12060,1886
12070,1906
12080,1922
12090,1938
12100,1954
12110,1887
12120,1920
12130,1885
12140,1899
12150,1916
12160,1867
12170,1863
12180,1909
12190,1903
12200,1839
12210,1942
12220,1966
12230,3104
12240,2971
12250,1860
12260,1826
12270,1865
12280,1953
12290,2036
12300,2110
12310,1843
12320,1884
12330,1900
12340,3360
12350,3318
12360,3313
12370,3360
12380,1979
12390,2033
12400,1993
12410,2022
12420,4028
12430,3931
12440,3116
12450,3127
12460,1968
12470,1958
12480,2910
12490,2473
12500,1847
12510,1835
12520,1816
12530,1817
12540,1857
12550,1856
12560,1845
12570,1891
12580,1896
12590,2165
12600,1967
12610,1928
12620,1849
12630,1844
12640,1811
12650,1828
12660,3496
12670,1827
12680,1872
12690,1878
12700,3666
12710,1887
12720,1867
12730,1898
12740,1905
12750,1908
12760,3033
12770,3041
12780,4925
12790,7090
12800,7124
12810,4891
12820,4824
12830,4808
12840,4963
12850,4920
12860,5015
12870,5038
12880,4940
12890,4941
12900,4942
12910,5017
12920,5181
12930,5050
12940,4979
12950,5018
12960,5142
12970,5056
12980,5062
12990,5070
13000,4972
13010,4940
13020,4947
13030,4947
13040,4946
13050,4840
13060,4797
13070,4836
13080,4870
13090,4848
13100,4558
13110,4475
13120,4557
13130,4520
13140,4655
13150,4915
13160,4916
13170,4955
13180,5012
13190,4949
13200,4937
13210,5394
13220,4861
13230,5053
13240,5198
13250,5214
13260,5187
13270,5048
13280,4964
13290,4829
13300,4861
13310,4791
13320,4943
13330,5101
13340,5030
13350,4891
13360,4876
13370,4949
13380,4745
13390,4665
13400,4870
13410,4921
13420,4990
13430,4933
13440,4963
13450,5000
13460,4948
13470,4878
13480,4895
13490,4821
13500,4776
13510,5140
13520,5067
13530,5022
13540,4743
13550,4666
13560,4713
13570,4998
13580,5126
13590,4948
13600,4690
13610,5078
13620,4748
13630,4884
13640,4896
13650,5216
13660,5355
13670,4914
13680,4817
13690,4911
13700,4889
13710,5016
13720,4955
13730,4861
13740,4961
13750,5147
13760,4790
13770,4873
13780,4763
13790,4755
13800,5240
13810,5176
13820,5351
13830,5077
13840,4945
13850,4901
13860,5142
13870,4901
13880,5235
13890,4816
13900,5069
13910,5050
13920,5112
13930,5195
13940,5010
13950,4911
13960,4839
13970,4737
13980,5147
13990,5062
14000,4878
14010,5157
14020,5164
14030,4913
14040,5120
14050,4746
14060,4882
14070,5207
14080,5232
14090,4861
14100,4745
14110,4715
14120,4942
14130,4992
14140,4855
14150,4943
