t,|deltaS|
470,1.521
471,1.154
472,0.2632
473,0.1838
474,0.8743
475,0.04529
476,0.2984
477,0.1726
478,0.03878
479,0.6507
480,0.08923
481,1.138
482,0.271
483,0.3419
484,0.3989
485,0.7585
486,0.6364
487,0.4737
488,0.5563
489,0.4851
490,1.081
491,0.5224
492,0.1533
493,1.021
494,0.2564
495,0.3509
496,0.7085
497,1.099
498,1.164
499,0.04897
500,0.502
501,0.413
502,0.2509
503,0.7667
504,0.4654
505,0.6006
506,0.1489
507,0.9102
508,0.5977
509,0.06472
510,0.6179
511,0.6979
512,0.09191
513,0.7398
514,0.3404
515,0.5868
516,0.59
517,0.1939
518,0.5213
519,0.604
520,0.002938
521,0.6116
522,0.1984
523,0.9338
524,0.2239
525,0.5246
526,0.2613
527,0.1587
528,0.05728
529,0.4986
530,0.5433
531,0.7232
532,0.6178
533,0.6667
534,0.2284
535,0.474
536,0.4427
537,2.152
538,1.138
539,0.9995
540,1.372
541,0.1783
542,0.4954
543,0.6857
544,0.3109
545,0.1912
546,0.5534
547,0.2158
548,0.8339
549,0.447
550,0.9203
551,1.119
552,1.262
553,1.037
554,0.7807
555,0.3507
556,0.02816
557,0.3855
558,0.5607
559,0.7965
560,0.1435
561,0.2577
562,0.05872
563,0.03449
564,0.6386
565,0.02169
566,0.05155
567,0.2815
568,0.1508
569,0.3763
570,0.6775
571,0.7375
572,0.2838
573,0.1602
574,0.4464
575,0.08789
576,0.08307
577,0.05855
578,0.08684
579,0.02942
580,0.364
581,1.301
582,1.441
583,0.7628
584,0.6039
585,0.5675
586,0.1511
587,0.3923
588,0.3576
589,0.8036
590,0.01913
591,0.9986
592,0.9179
593,1.13
594,1.371
595,0.7092
596,0.04376
597,0.03756
598,0.06553
599,0.7385
600,0.3209
601,0.1048
602,0.8059
603,0.09198
604,0.9078
605,0.3121
606,0.215
607,0.5799
608,0.6244
609,0.7544
610,0.2712
611,0.1675
612,0.1661
613,0.1734
614,0.1684
615,0.1178
616,0.2452
617,0.3916
618,1.137
619,0.1842
620,0.07598
621,1.149
622,0.4683
623,0.6474
624,0.1582
625,0.9764
626,0.2383
627,0.1736
628,1.611
629,0.6923
630,0.243
631,0.4009
632,0.2523
633,0.8309
634,0.8676
635,0.1333
636,0.1683
637,0.08131
638,0.5734
639,0.6621
640,0.1313
641,0.05884
642,0.3613
643,0.628
644,0.136
645,0.09007
646,0.08388
647,1.132
