MDTU,0,2,4,6,8,10
1010,42.4133,35.1125,31.1753,30.2788,29.7456,29.4259
1020,34.5071,34.013,33.4368,31.881,31.0817,30.0975
1030,32.8522,32.6977,31.4676,31.2827,30.5229,30.4916
1040,33.8565,31.0095,30.7858,30.6125,30.524,29.9179
1050,33.3785,32.1386,31.387,29.9189,29.4813,29.1359
1060,31.6938,31.2687,30.6156,30.2999,29.0429,28.8568
1070,32.4969,32.0105,30.7934,30.1887,30.1197,30.0761
1075,31.8113,31.1191,30.3467,30.1196,30.0246,30.0014
1080,35.7139,31.8324,31.8231,31.3771,30.7317,30.4092
1085,35.2483,31.7996,30.4329,30.4115,29.7662,29.6254
1090,30.7147,30.2341,29.6409,29.4394,29.4113,29.3665
1100,30.3982,30.3136,30.2944,29.8576,29.4064,29.1404
1110,49.0865,35.1762,34.7289,33.6327,32.968,31.8856
1120,32.0994,31.1493,29.4564,28.8888,28.6224,28.3895
1130,31.8594,30.2308,30.0973,29.9992,29.8392,29.6907
1140,36.9285,34.69,30.6374,30.5573,30.3734,29.6298
1150,36.672,31.3737,31.162,30.9599,30.5455,29.9458
1160,33.9543,30.8942,30.3487,30.2131,29.5851,29.3623
1170,32.112,30.9975,30.094,29.2977,29.2484,29.1616
1180,31.4325,30.0305,29.6878,29.6643,29.4666,29.2128
1190,33.5648,30.9471,30.603,29.9263,29.907,29.7841
1200,32.8541,32.1883,30.6535,30.5461,30.314,30.1773
1210,33.649,30.3529,29.6416,29.4796,29.0438,28.9369
1220,37.5416,32.3262,32.023,30.9274,30.1861,30.1681
1230,30.0447,29.843,29.4839,29.2884,29.0592,28.8916
1240,31.395,30.1328,30.0487,29.753,29.1741,29.1344
1250,31.126,30.881,30.6261,30.1414,30.0328,29.719
1255,32.6217,30.3959,29.8297,29.4163,29.0534,29.006
1260,31.4783,29.2245,29.0643,28.9395,28.8454,28.74
1265,37.1485,32.2175,31.8887,30.535,30.3165,30.0917
1270,32.9016,29.7502,29.3104,28.7465,28.6956,28.6919
1275,35.141,34.5212,34.0275,33.248,32.5803,31.0221
1280,33.2544,32.839,31.4329,30.6707,30.2153,29.7016
1285,32.7082,29.9716,29.4243,29.19,28.8853,28.7981
1290,38.0818,34.2145,30.4067,29.9855,29.9597,29.8262
1295,38.0483,30.2368,30.1563,29.8086,29.7667,29.7447
1300,38.9872,30.7999,30.1953,30.1583,29.8229,29.7872
1305,38.9872,30.7999,30.1953,30.1583,29.8229,29.7872
1310,35.7559,32.4231,32.171,31.7742,31.7247,29.9995
1315,32.7476,31.5844,30.1411,29.7357,29.4265,29.0977
1320,34.0744,32.9942,32.59,32.1353,30.6103,30.559
1325,29.3885,29.1996,28.8532,28.7626,28.7615,28.6958
1330,33.6036,31.0747,30.6444,30.0647,29.4916,29.3779
1335,30.0025,29.9767,29.5095,28.7741,28.7127,28.5194
1340,32.5851,32.0787,30.9783,30.5228,30.1102,29.9137
1345,34.8488,34.8407,30.8904,30.4109,30.1391,29.6808
1350,33.5382,32.3222,32.0832,31.272,30.9065,30.6223
1355,31.9845,31.3422,30.8874,30.8238,29.8599,29.6233
1360,30.7901,29.624,29.6239,29.611,29.1927,29.1328
1365,31.5361,30.3369,30.0536,29.4229,29.3108,29.2186
1370,35.2302,31.9083,29.5641,29.4119,29.3756,28.7604
1375,31.5797,31.2905,30.5122,30.3933,29.5243,29.4177
1380,36.4774,30.9662,30.4272,30.4082,30.338,30.2204
1385,32.8968,29.5582,29.3901,29.2944,29.2904,29.1812
1390,35.7504,31.7066,31.394,30.5761,30.1727,29.451
1395,34.6993,31.3167,31.0855,30.005,29.9389,29.9036
1400,36.5171,33.6906,32.0429,30.6474,29.7604,28.878
1405,32.7455,31.0451,30.0083,29.9415,29.0989,28.8207
1410,38.9886,34.3505,32.3057,30.3825,29.7932,29.7499
1415,44.7875,33.4859,32.3394,31.2108,30.8836,30.6127
1420,33.1609,31.6877,29.3731,29.1646,28.9296,28.706
1425,32.6337,30.261,29.7231,29.4776,29.3738,29.1929
1430,35.4392,32.9339,29.8744,29.7091,29.5576,29.4493
1435,37.3114,33.9764,30.7136,30.1155,29.4574,29.3115
1440,30.4032,30.0197,29.4427,29.0671,28.7858,28.7703
1445,40.9759,33.2713,31.1467,30.3114,30.0385,29.9012
1450,31.7468,31.5621,31.5423,30.456,30.3494,28.838
1455,31.265,31.0109,30.4702,29.085,28.8535,28.6358
1460,30.1774,29.978,29.8896,29.5156,28.5215,28.4951
1465,33.308,31.0499,30.4805,29.8433,29.1632,29.0958
1470,37.8255,33.3602,33.3441,33.1321,32.5017,32.2178
1475,34.065,32.8714,31.347,31.074,30.8571,30.3985
