ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.181961,null,null,null,-0.66688
0.932323,-0.36387,null,null,null
0.844357,null,-0.353758,null,null
0.73678,null,null,0.770435,null
0.157399,null,null,null,-0.68285
0.881493,-0.42463,null,null,null
0.85116,null,-0.32875,null,null
0.764983,null,null,0.806462,null
-0.0176121,null,null,null,-0.647255
0.902315,-0.418917,null,null,null
0.920545,null,-0.297998,null,null
0.77273,null,null,0.758328,null
0.250028,null,null,null,-0.923975
0.85066,-0.44808,null,null,null
0.906628,null,-0.29836,null,null
0.735918,null,null,0.75843,null
-0.0590178,null,null,null,-0.851472
0.85066,-0.44808,null,null,null
0.906628,null,-0.29836,null,null
0.735918,null,null,0.75843,null
-0.0590178,null,null,null,-0.851472
0.87982,-0.4869,null,null,null
0.882343,null,-0.340527,null,null
0.777655,null,null,0.754792,null
0.403002,null,null,null,-0.78332
0.87982,-0.4869,null,null,null
0.882343,null,-0.340527,null,null
0.777655,null,null,0.754792,null
0.403002,null,null,null,-0.78332
0.887765,-0.528027,null,null,null
0.877025,null,-0.339072,null,null
0.757833,null,null,0.772035,null
0.126097,null,null,null,-0.512058
0.887765,-0.528027,null,null,null
0.877025,null,-0.339072,null,null
0.757833,null,null,0.772035,null
0.126097,null,null,null,-0.512058
0.887765,-0.528027,null,null,null
0.877025,null,-0.339072,null,null
0.757833,null,null,0.772035,null
0.126097,null,null,null,-0.512058
0.887765,-0.528027,null,null,null
0.877025,null,-0.339072,null,null
0.757833,null,null,0.772035,null
0.126097,null,null,null,-0.512058
0.866857,-0.522038,null,null,null
0.923045,null,-0.352892,null,null
0.724705,null,null,0.80063,null
0.158439,null,null,null,-0.62214
0.866857,-0.522038,null,null,null
0.923045,null,-0.352892,null,null
0.724705,null,null,0.80063,null
0.158439,null,null,null,-0.62214
0.884018,-0.52157,null,null,null
0.955793,null,-0.30102,null,null
0.721368,null,null,0.765598,null
0.195211,null,null,null,-1.09425
0.884018,-0.52157,null,null,null
0.955793,null,-0.30102,null,null
0.721368,null,null,0.765598,null
0.195211,null,null,null,-1.09425
0.830032,-0.541305,null,null,null
0.924543,null,-0.338272,null,null
