t,eps_f,eps_g
2410,0.04,0.005
2420,0.04,0.005
2430,0.04,0.005
2440,0.04,0.005
2450,0.04,0.005
2460,0.04,0.005
2470,0.04,0.005
2480,0.04,0.005
2490,0.04,0.005
2500,0.04,0.005
2510,0.04,0.005
2520,0.04,0.005
2530,0.04,0.005
2540,0.04,0.005
2550,0.04,0.005
2560,0.04,0.005
2570,0.04,0.005
2580,0.04,0.005
2590,0.04,0.005
2600,0.04,0.005
2610,0.04,0.005
2620,0.04,0.005
2630,0.04,0.005
2640,0.04,0.005
2650,0.04,0.005
2660,0.04,0.005
2670,0.04,0.005
2680,0.04,0.005
2690,0.04,0.005
2700,0.04,0.005
2710,0.04,0.005
2720,0.04,0.005
2730,0.04,0.005
2740,0.04,0.005
2750,0.04,0.005
2760,0.04,0.005
2770,0.04,0.005
2780,0.04,0.005
2790,0.04,0.005
2800,0.04,0.005
2810,0.04,0.005
2820,0.04,0.005
2830,0.04,0.005
2840,0.04,0.005
2850,0.04,0.005
2860,0.04,0.005
2870,0.04,0.005
2880,0.04,0.005
2890,0.04,0.005
2900,0.04,0.005
2910,0.04,0.005
2920,0.04,0.005
2930,0.04,0.005
2940,0.04,0.005
2950,0.04,0.005
2960,0.04,0.005
2970,0.04,0.005
2980,0.04,0.005
2990,0.04,0.005
3000,0.04,0.005
3010,0.04,0.005
3020,0.04,0.005
3030,0.04,0.005
3040,0.04,0.005
3050,0.04,0.005
3060,0.04,0.005
3070,0.04,0.005
3080,0.04,0.005
3090,0.04,0.005
3100,0.04,0.005
3110,0.04,0.005
3120,0.04,0.005
3130,0.04,0.005
3140,0.04,0.005
3150,0.04,0.005
3160,0.04,0.005
3170,0.04,0.005
3180,0.04,0.005
3190,0.04,0.005
3200,0.04,0.005
3210,0.04,0.005
3220,0.04,0.005
3230,0.04,0.005
3240,0.04,0.005
3250,0.04,0.005
3260,0.04,0.005
3270,0.04,0.005
3280,0.04,0.005
3290,0.04,0.005
3300,0.04,0.005
3310,0.04,0.005
3320,0.04,0.005
3330,0.04,0.005
3340,0.04,0.005
3350,0.04,0.005
3360,0.04,0.005
3370,0.04,0.005
3380,0.04,0.005
3390,0.04,0.005
3400,0.04,0.005
3410,0.04,0.005
3420,0.04,0.005
3430,0.04,0.005
3440,0.04,0.005
3450,0.04,0.005
3460,0.04,0.005
3470,0.04,0.005
3480,0.04,0.005
3490,0.04,0.005
3500,0.04,0.005
3510,0.04,0.005
3520,0.04,0.005
3530,0.04,0.005
3540,0.04,0.005
3550,0.04,0.005
3560,0.04,0.005
3570,0.04,0.005
3580,0.04,0.005
3590,0.04,0.005
3600,0.04,0.005
3610,0.04,0.005
3620,0.04,0.005
3630,0.04,0.005
3640,0.04,0.005
3650,0.04,0.005
3660,0.04,0.005
3670,0.04,0.005
3680,0.04,0.005
3690,0.04,0.005
3700,0.04,0.005
3710,0.04,0.005
3720,0.04,0.005
3730,0.04,0.005
3740,0.04,0.005
3750,0.04,0.005
3760,0.04,0.005
3770,0.04,0.005
3780,0.04,0.005
3790,0.04,0.005
3800,0.04,0.005
3810,0.04,0.005
3820,0.04,0.005
3830,0.04,0.005
3840,0.04,0.005
3850,0.04,0.005
3860,0.04,0.005
3870,0.04,0.005
3880,0.04,0.005
3890,0.04,0.005
3900,0.04,0.005
3910,0.04,0.005
3920,0.04,0.005
3930,0.04,0.005
3940,0.04,0.005
3950,0.04,0.005
3960,0.04,0.005
3970,0.04,0.005
3980,0.04,0.005
3990,0.04,0.005
4000,0.04,0.005
4010,0.04,0.005
4020,0.04,0.005
4030,0.04,0.005
4040,0.04,0.005
4050,0.04,0.005
4060,0.04,0.005
4070,0.04,0.005
4080,0.04,0.005
4090,0.04,0.005
4100,0.04,0.005
4110,0.04,0.005
4120,0.04,0.005
4130,0.04,0.005
4140,0.04,0.005
4150,0.04,0.005
4160,0.04,0.005
4170,0.04,0.005
4180,0.04,0.005
4190,0.04,0.005
4200,0.04,0.005
4210,0.04,0.005
4220,0.04,0.005
4230,0.04,0.005
4240,0.04,0.005
4250,0.04,0.005
4260,0.04,0.005
4270,0.04,0.005
4280,0.04,0.005
4290,0.04,0.005
4300,0.04,0.005
4310,0.04,0.005
4320,0.04,0.005
4330,0.04,0.005
4340,0.04,0.005
4350,0.04,0.005
4360,0.04,0.005
4370,0.04,0.005
4380,0.04,0.005
4390,0.04,0.005
4400,0.04,0.005
4410,0.04,0.005
4420,0.04,0.005
4430,0.04,0.005
4440,0.04,0.005
4450,0.04,0.005
4460,0.04,0.005
4470,0.04,0.005
4480,0.04,0.005
4490,0.04,0.005
4500,0.04,0.005
4510,0.04,0.005
4520,0.04,0.005
4530,0.04,0.005
4540,0.04,0.005
4550,0.04,0.005
4560,0.04,0.005
4570,0.04,0.005
4580,0.04,0.005
4590,0.04,0.005
4600,0.04,0.005
4610,0.04,0.005
4620,0.04,0.005
4630,0.04,0.005
4640,0.04,0.005
4650,0.04,0.005
4660,0.04,0.005
4670,0.04,0.005
4680,0.04,0.005
4690,0.04,0.005
4700,0.04,0.005
4710,0.04,0.005
4720,0.04,0.005
4730,0.04,0.005
4740,0.04,0.005
4750,0.04,0.005
4760,0.04,0.005
4770,0.04,0.005
4780,0.04,0.005
4790,0.04,0.005
4800,0.04,0.005
4810,0.04,0.005
4820,0.04,0.005
4830,0.04,0.005
4840,0.04,0.005
4850,0.04,0.005
4860,0.04,0.005
4870,0.04,0.005
4880,0.04,0.005
4890,0.04,0.005
4900,0.04,0.005
4910,0.04,0.005
4920,0.04,0.005
4930,0.04,0.005
4940,0.04,0.005
4950,0.04,0.005
4960,0.04,0.005
4970,0.04,0.005
4980,0.04,0.005
4990,0.04,0.005
5000,0.04,0.005
5010,0.04,0.005
5020,0.04,0.005
5030,0.04,0.005
5040,0.04,0.005
5050,0.04,0.005
5060,0.04,0.005
5070,0.04,0.005
5080,0.04,0.005
5090,0.04,0.005
5100,0.04,0.005
5110,0.04,0.005
5120,0.04,0.005
5130,0.04,0.005
5140,0.04,0.005
5150,0.04,0.005
5160,0.04,0.005
5170,0.04,0.005
5180,0.04,0.005
5190,0.04,0.005
5200,0.04,0.005
5210,0.04,0.005
5220,0.04,0.005
5230,0.04,0.005
5240,0.04,0.005
5250,0.04,0.005
5260,0.04,0.005
5270,0.04,0.005
5280,0.04,0.005
5290,0.04,0.005
5300,0.04,0.005
5310,0.04,0.005
5320,0.04,0.005
5330,0.04,0.005
5340,0.04,0.005
5350,0.04,0.005
5360,0.04,0.005
5370,0.04,0.005
5380,0.04,0.005
5390,0.04,0.005
5400,0.04,0.005
5410,0.04,0.005
5420,0.04,0.005
5430,0.04,0.005
