t,N_f,N_g
4120,25,200
4130,25,200
4140,25,200
4150,25,200
4160,25,200
4170,25,200
4180,25,200
4190,25,200
4200,25,200
4210,25,200
4220,25,200
4230,25,200
4240,25,200
4250,25,200
4260,25,200
4270,25,200
4280,25,200
4290,25,200
4300,25,200
4310,25,200
4320,25,200
4330,25,200
4340,25,200
4350,25,200
4360,25,200
4370,25,200
4380,25,200
4390,25,200
4400,25,200
4410,25,200
4420,25,200
4430,25,200
4440,25,200
4450,25,200
4460,25,200
4470,25,200
4480,25,200
4490,25,200
4500,25,200
4510,25,200
4520,25,200
4530,25,200
4540,25,200
4550,25,200
4560,25,200
4570,25,200
4580,25,200
4590,25,200
4600,25,200
4610,25,200
4620,25,200
4630,25,200
4640,25,200
4650,25,200
4660,25,200
4670,25,200
4680,25,200
4690,25,200
4700,25,200
4710,25,200
4720,25,200
4730,25,200
4740,25,200
4750,25,200
4760,25,200
4770,25,200
4780,25,200
4790,25,200
4800,25,200
4810,25,200
4820,25,200
4830,25,200
4840,25,200
4850,25,200
4860,25,200
4870,25,200
4880,25,200
4890,25,200
4900,25,200
4910,25,200
4920,25,200
4930,25,200
4940,25,200
4950,25,200
4960,25,200
4970,25,200
4980,25,200
4990,25,200
5000,25,200
5010,25,200
5020,25,200
5030,25,200
5040,25,200
5050,25,200
5060,25,200
5070,25,200
5080,25,200
5090,25,200
5100,25,200
5110,25,200
5120,25,200
5130,25,200
5140,25,200
5150,25,200
5160,25,200
5170,25,200
5180,25,200
5190,25,200
5200,25,200
5210,25,200
5220,25,200
5230,25,200
5240,25,200
5250,25,200
5260,25,200
5270,25,200
5280,25,200
5290,25,200
5300,25,200
5310,25,200
5320,25,200
5330,25,200
5340,25,200
5350,25,200
5360,25,200
5370,25,200
5380,25,200
5390,25,200
5400,25,200
5410,25,200
5420,25,200
5430,25,200
5440,25,200
5450,25,200
5460,25,200
5470,25,200
5480,25,200
5490,25,200
5500,25,200
5510,25,200
5520,25,200
5530,25,200
5540,25,200
5550,25,200
5560,25,200
5570,25,200
5580,25,200
5590,25,200
5600,25,200
5610,25,200
5620,25,200
5630,25,200
5640,25,200
5650,25,200
5660,25,200
5670,25,200
5680,25,200
5690,25,200
5700,25,200
5710,25,200
5720,25,200
5730,25,200
5740,25,200
5750,25,200
5760,25,200
5770,25,200
5780,25,200
5790,25,200
5800,25,200
5810,25,200
5820,25,200
5830,25,200
5840,25,200
5850,25,200
5860,25,200
5870,25,200
5880,25,200
5890,25,200
5900,25,200
5910,25,200
5920,25,200
5930,25,200
5940,25,200
5950,25,200
5960,25,200
5970,25,200
5980,25,200
5990,25,200
6000,25,200
6010,25,200
6020,25,200
6030,25,200
6040,25,200
6050,25,200
6060,25,200
6070,25,200
6080,25,200
6090,25,200
6100,25,200
6110,25,200
6120,25,200
6130,25,200
6140,25,200
6150,25,200
6160,25,200
6170,25,200
6180,25,200
6190,25,200
6200,25,200
6210,25,200
6220,25,200
6230,25,200
6240,25,200
6250,25,200
6260,25,200
6270,25,200
6280,25,200
6290,25,200
6300,25,200
6310,25,200
6320,25,200
6330,25,200
6340,25,200
6350,25,200
6360,25,200
6370,25,200
6380,25,200
6390,25,200
6400,25,200
6410,25,200
6420,25,200
6430,25,200
6440,25,200
6450,25,200
6460,25,200
6470,25,200
6480,25,200
6490,25,200
6500,25,200
6510,25,200
6520,25,200
6530,25,200
6540,25,200
6550,25,200
6560,25,200
6570,25,200
6580,25,200
6590,25,200
6600,25,200
6610,25,200
6620,25,200
6630,25,200
6640,25,200
6650,25,200
6660,25,200
6670,25,200
6680,25,200
6690,25,200
6700,25,200
6710,25,200
6720,25,200
6730,25,200
6740,25,200
6750,25,200
6760,25,200
6770,25,200
6780,25,200
6790,25,200
6800,25,200
6810,25,200
6820,25,200
6830,25,200
6840,25,200
6850,25,200
6860,25,200
6870,25,200
6880,25,200
6890,25,200
6900,25,200
6910,25,200
6920,25,200
6930,25,200
6940,25,200
6950,25,200
6960,25,200
6970,25,200
6980,25,200
6990,25,200
7000,25,200
7010,25,200
7020,25,200
7030,25,200
7040,25,200
7050,25,200
7060,25,200
7070,25,200
7080,25,200
7090,25,200
7100,25,200
7110,25,200
7120,25,200
7130,25,200
7140,25,200
7150,25,200
7160,25,200
7170,25,200
7180,25,200
7190,25,200
7200,25,200
7210,25,200
7220,25,200
7230,25,200
7240,25,200
7250,25,200
7260,25,200
7270,25,200
7280,25,200
7290,25,200
7300,25,200
7310,25,200
7320,25,200
7330,25,200
7340,25,200
7350,25,200
7360,25,200
7370,25,200
7380,25,200
7390,25,200
7400,25,200
7410,25,200
7420,25,200
7430,25,200
7440,25,200
7450,25,200
7460,25,200
7470,25,200
7480,25,200
7490,25,200
7500,25,200
7510,25,200
7520,25,200
7530,25,200
7540,25,200
7550,25,200
7560,25,200
7570,25,200
7580,25,200
7590,25,200
7600,25,200
7610,25,200
7620,25,200
7630,25,200
7640,25,200
7650,25,200
7660,25,200
7670,25,200
7680,25,200
7690,25,200
7700,25,200
7710,25,200
7720,25,200
7730,25,200
7740,25,200
7750,25,200
7760,25,200
7770,25,200
7780,25,200
7790,25,200
7800,25,200
7810,25,200
7820,25,200
7830,25,200
7840,25,200
7850,25,200
7860,25,200
7870,25,200
7880,25,200
7890,25,200
7900,25,200
7910,25,200
7920,25,200
7930,25,200
7940,25,200
7950,25,200
7960,25,200
7970,25,200
7980,25,200
7990,25,200
8000,25,200
8010,25,200
8020,25,200
8030,25,200
8040,25,200
8050,25,200
8060,25,200
8070,25,200
8080,25,200
8090,25,200
8100,25,200
8110,25,200
8120,25,200
8130,25,200
8140,25,200
8150,25,200
8160,25,200
8170,25,200
8180,25,200
8190,25,200
8200,25,200
8210,25,200
8220,25,200
8230,25,200
8240,25,200
8250,25,200
8260,25,200
8270,25,200
8280,25,200
8290,25,200
8300,25,200
8310,25,200
8320,25,200
8330,25,200
8340,25,200
8350,25,200
8360,25,200
8370,25,200
8380,25,200
8390,25,200
8400,25,200
8410,25,200
8420,25,200
8430,25,200
8440,25,200
8450,25,200
8460,25,200
8470,25,200
8480,25,200
8490,25,200
8500,25,200
8510,25,200
8520,25,200
8530,25,200
8540,25,200
8550,25,200
8560,25,200
8570,25,200
8580,25,200
8590,25,200
8600,25,200
8610,25,200
8620,25,200
8630,25,200
8640,25,200
8650,25,200
8660,25,200
8670,25,200
8680,25,200
8690,25,200
8700,25,200
8710,25,200
8720,25,200
8730,25,200
8740,25,200
8750,25,200
8760,25,200
8770,25,200
8780,25,200
8790,25,200
8800,25,200
8810,25,200
8820,25,200
8830,25,200
8840,25,200
8850,25,200
8860,25,200
8870,25,200
8880,25,200
8890,25,200
8900,25,200
8910,25,200
8920,25,200
8930,25,200
8940,25,200
8950,25,200
8960,25,200
8970,25,200
8980,25,200
8990,25,200
9000,25,200
9010,25,200
9020,25,200
9030,25,200
9040,25,200
9050,25,200
9060,25,200
9070,25,200
9080,25,200
9090,25,200
9100,25,200
9110,25,200
9120,25,200
9130,25,200
9140,25,200
9150,25,200
9160,25,200
9170,25,200
9180,25,200
9190,25,200
9200,25,200
9210,25,200
9220,25,200
9230,25,200
9240,25,200
9250,25,200
9260,25,200
9270,25,200
9280,25,200
9290,25,200
9300,25,200
9310,25,200
9320,25,200
9330,25,200
9340,25,200
