t,e^(-dS)
455,0.522359
456,0.774065
457,0.354517
458,0.293171
459,1.22275
460,0.50409
461,0.521941
462,1.84356
463,0.945322
464,1.78247
465,1.16567
466,3.14559
467,0.78537
468,1.95404
469,2.51809
470,0.218493
471,0.315373
472,1.30109
473,1.20178
474,0.417154
475,0.95572
476,1.3477
477,0.841474
478,0.961962
479,0.52168
480,0.914635
481,0.320459
482,0.762616
483,0.710419
484,1.49018
485,2.13507
486,0.529194
487,0.622694
488,1.74421
489,1.62434
490,0.339256
491,0.593095
492,0.857872
493,0.360235
494,1.29227
495,0.704054
496,0.492382
497,3.00116
498,0.312235
499,0.95221
500,1.65202
501,0.661662
502,1.28518
503,0.464544
504,0.627884
505,0.548482
506,0.861655
507,0.402444
508,0.550075
509,0.93733
510,0.539075
511,2.00953
512,0.912187
513,0.477209
514,0.711486
515,1.79822
516,0.554327
517,0.82374
518,0.593748
519,1.82942
520,0.997066
521,0.542482
522,0.820042
523,0.393057
524,1.25095
525,0.591792
526,0.77005
527,1.17199
528,1.05895
529,1.64641
530,0.580828
531,0.485197
532,0.539129
533,1.9478
534,0.795806
535,0.622507
536,1.55691
537,0.116251
538,0.320459
539,2.71692
540,0.253599
541,0.836691
542,0.609327
543,0.503737
544,0.732787
545,1.2107
546,1.73916
547,1.24085
548,0.434352
549,1.56361
550,0.3984
551,3.06179
552,0.283087
553,0.354517
554,0.458085
555,0.704195
556,1.02856
557,0.68011
558,1.7519
559,0.450904
560,1.15431
561,0.772827
562,1.06048
563,1.03509
564,0.528031
565,0.978544
566,1.0529
567,0.754651
568,1.16276
569,0.686396
570,1.96895
571,0.478308
572,0.752917
573,1.17375
574,0.639928
575,1.09187
576,1.08662
577,1.0603
578,1.09072
579,1.02986
580,0.694891
581,3.67297
582,0.236691
583,2.14427
584,1.82924
585,0.566941
586,1.16311
587,1.48038
588,0.699353
589,0.447714
590,0.981052
591,2.71448
592,0.399357
593,3.09566
594,0.253853
595,0.492038
596,0.957184
597,0.963137
598,0.936571
599,2.09279
600,1.37837
601,0.900505
602,0.446686
603,0.912123
604,0.403411
605,1.36629
606,1.23986
607,1.78586
608,1.86713
609,0.470293
610,1.31154
611,0.845777
612,0.846962
613,0.840801
614,0.845016
615,1.12502
616,0.782548
617,1.47935
618,0.32078
619,1.20226
620,0.926835
621,0.316954
622,0.626066
623,0.523405
624,0.853679
625,2.65488
626,0.787966
627,1.18958
628,0.199688
629,0.500424
630,1.27507
631,0.669717
632,1.28698
633,2.29538
634,0.419958
635,1.14259
636,0.8451
637,1.08471
638,1.77429
639,0.515767
640,0.876955
641,1.06061
642,0.69677
643,0.533658
644,0.872843
645,1.09425
646,1.0875
647,0.322388
648,0.622756
649,0.576604
650,1.09085
651,0.273077
652,1.16404
653,1.92283
654,1.30304
655,0.803
656,0.68154
657,2.24948
658,0.731908
659,0.635273
660,1.17175
661,0.389769
662,0.704477
663,2.06411
664,0.616436
665,0.812938
666,0.720579
667,0.253599
668,1.29615
669,0.729132
670,1.29693
671,1.9605
672,0.681608
673,0.989753
674,0.82078
675,1.26617
676,0.872406
677,0.404138
678,1.06942
679,1.32498
680,3.05262
681,0.905706
682,0.223801
683,0.364219
684,0.664846
685,0.601938
686,0.722672
687,0.804769
688,1.2037
689,0.922673
690,0.662192
691,2.21887
692,1.70847
693,1.01309
694,1.1707
695,1.3473
696,0.207008
697,0.42639
698,1.19854
699,1.34245
700,1.15212
701,1.22875
702,0.693642
703,1.96934
704,0.470669
705,0.745276
706,0.799555
707,0.682836
708,1.3299
709,1.4792
710,0.242683
711,0.929406
712,0.176753
713,0.423289
714,0.303007
715,0.73764
716,0.25284
717,0.476637
718,1.01078
719,0.502128
720,2.45297
721,0.867621
722,1.0995
723,1.038
724,0.39412
725,1.02581
726,1.69503
727,0.983803
728,0.884883
729,0.535208
730,0.89682
731,2.33264
732,0.763303
733,1.3473
734,1.83639
735,0.434787
736,0.533231
737,0.567792
738,0.504595
739,1.30278
740,1.70523
741,0.782861
742,0.56836
743,0.671192
744,0.418073
745,0.750212
746,1.38334
747,1.28672
748,1.23899
749,0.990105
750,1.06731
751,0.899425
752,0.4487
753,4.88417
754,0.73374
755,0.750362
756,0.946788
757,0.334874
758,2.90084
759,0.687495
760,3.25437
761,0.99653
762,0.82037
763,0.741411
764,1.68405
765,1.58471
766,0.929982
767,0.759724
768,1.53419
769,1.11751
770,2.22087
771,1.14993
772,0.37385
773,0.513965
774,2.48482
775,1.02496
