t,cost
3740,31453.9
3750,31266.1
3760,31129.6
3770,31232
3780,31675.7
3790,32324.3
3800,31556.3
3810,38860.8
3820,33536
3830,31061.3
3840,31197.9
3850,31812.3
3860,33228.8
3870,40328.5
3880,38775.5
3890,35601.1
3900,35379.2
3910,34252.8
3920,34389.3
3930,32768
3940,31863.5
3950,29883.7
3960,30481.1
3970,30976
3980,29917.9
3990,29900.8
4000,29781.3
4010,56064
4020,55978.7
4030,56456.5
4040,55654.4
4050,30890.7
4060,31112.5
4070,31914.7
4080,31624.5
4090,32017.1
4100,30242.1
4110,53811.2
4120,54510.9
4130,54118.4
4140,55244.8
4150,55398.4
4160,55893.3
4170,53145.6
4180,55296
4190,30822.4
4200,32887.5
4210,31880.5
4220,31334.4
4230,33092.3
4240,31897.6
4250,32290.1
4260,31914.7
4270,86510.9
4280,38638.9
4290,39389.9
4300,31556.3
4310,30805.3
4320,32221.9
4330,31897.6
4340,30702.9
4350,29218.1
4360,28501.3
4370,28006.4
4380,28296.5
4390,28313.6
4400,29081.6
4410,28996.3
4420,30122.7
4430,30856.5
4440,28774.4
4450,28757.3
4460,31146.7
4470,32460.8
4480,31761.1
4490,30993.1
4500,31624.5
4510,33109.3
4520,31061.3
4530,32256
4540,32563.2
4550,32273.1
4560,31607.5
4570,33621.3
4580,33058.1
4590,31266.1
4600,32699.7
4610,33177.6
4620,30805.3
4630,31368.5
4640,32017.1
4650,31010.1
4660,56012.8
4670,55756.8
4680,30668.8
4690,30651.7
4700,31163.7
4710,31027.2
4720,31232
4730,31709.9
4740,30481.1
4750,31488
4760,32580.3
4770,32170.7
4780,31624.5
4790,31214.9
4800,31539.2
4810,31453.9
4820,33297.1
4830,33894.4
4840,32989.9
4850,32256
4860,32000
4870,31829.3
4880,30890.7
4890,30890.7
4900,30446.9
4910,30020.3
4920,33365.3
4930,34952.5
4940,34150.4
4950,34781.9
4960,33757.9
4970,33314.1
4980,32750.9
4990,33774.9
5000,32836.3
5010,31334.4
5020,31692.8
5030,31948.8
5040,32887.5
5050,31453.9
5060,31197.9
5070,31317.3
5080,31880.5
5090,30190.9
5100,30668.8
5110,30327.5
5120,30737.1
5130,29883.7
5140,30378.7
5150,30993.1
5160,31778.1
5170,32904.5
5180,32051.2
5190,30242.1
5200,29730.1
5210,30429.9
5220,31590.4
5230,31419.7
5240,32904.5
5250,34082.1
5260,33672.5
5270,55347.2
5280,57292.8
5290,35259.7
5300,39492.3
5310,38826.7
5320,40738.1
5330,35464.5
5340,35054.9
5350,34611.2
5360,34082.1
5370,33604.3
5380,32392.5
5390,33041.1
5400,34286.9
5410,34747.7
5420,34764.8
5430,34730.7
5440,35345.1
5450,36164.3
5460,34884.3
5470,35942.4
5480,35242.7
5490,35584
5500,35976.5
5510,34525.9
5520,33501.9
5530,48469.3
5540,47223.5
5550,45038.9
5560,63266.1
5570,42103.5
5580,43144.5
5590,70195.2
5600,70775.5
5610,71099.7
5620,71799.5
5630,63692.8
5640,57412.3
5650,59204.3
5660,58982.4
5670,46660.3
5680,70331.7
5690,70775.5
5700,82449.1
5710,58589.9
5720,51370.7
5730,51507.2
5740,54203.7
5750,52753.1
5760,54801.1
5770,57429.3
5780,32597.3
5790,33006.9
5800,32529.1
5810,31726.9
5820,30225.1
5830,29747.2
5840,31402.7
5850,31317.3
5860,31778.1
5870,32529.1
5880,33143.5
5890,32733.9
5900,32238.9
5910,32136.5
5920,30668.8
5930,30754.1
5940,32819.2
5950,34457.6
5960,31897.6
5970,30720
5980,61286.4
5990,64409.6
6000,41250.1
6010,50995.2
6020,49885.9
6030,64273.1
6040,33262.9
6050,32512
6060,43946.7
6070,72704
6080,32989.9
6090,31317.3
6100,29849.6
6110,32119.5
6120,32785.1
6130,33450.7
6140,31283.2
6150,32204.8
6160,29388.8
6170,30976
6180,36693.3
6190,33160.5
6200,30481.1
6210,30446.9
6220,29747.2
6230,29371.7
6240,30907.7
6250,30378.7
6260,31300.3
6270,30310.4
6280,30958.9
6290,31351.5
6300,31880.5
6310,31658.7
6320,31385.6
6330,31556.3
6340,31505.1
6350,31470.9
6360,32051.2
6370,31863.5
6380,30293.3
6390,29405.9
6400,30583.5
6410,31914.7
6420,37495.5
6430,37922.1
6440,39816.5
6450,41335.5
6460,30344.5
6470,29405.9
6480,31675.7
6490,34525.9
6500,41164.8
6510,42734.9
6520,41472
6530,42598.4
6540,40277.3
6550,40243.2
6560,39236.3
6570,39628.8
6580,40345.6
6590,37700.3
6600,28586.7
6610,28774.4
6620,28740.3
6630,29047.5
6640,30532.3
6650,32187.7
6660,29610.7
6670,29269.3
6680,30464
6690,29730.1
6700,30515.2
6710,30122.7
6720,31214.9
6730,28194.1
6740,28125.9
6750,28364.8
6760,28723.2
6770,29132.8
6780,28518.4
6790,29184
6800,28774.4
6810,29815.5
6820,29303.5
6830,29815.5
6840,30344.5
6850,28893.9
6860,29371.7
6870,30771.2
6880,31539.2
6890,31522.1
6900,31726.9
6910,31863.5
6920,31505.1
6930,31095.5
6940,31300.3
6950,29644.8
6960,29644.8
6970,31897.6
6980,31556.3
6990,28893.9
7000,30225.1
7010,31232
7020,31624.5
7030,31692.8
7040,31266.1
7050,30873.6
7060,29952
7070,30037.3
7080,31436.8
7090,35089.1
7100,35157.3
7110,37632
7120,36471.5
7130,55040
7140,57668.3
7150,41028.3
7160,40140.8
7170,38707.2
7180,38980.3
7190,32324.3
7200,32682.7
7210,34423.5
7220,34611.2
7230,38792.5
7240,38195.2
7250,30702.9
7260,31129.6
7270,31044.3
7280,30788.3
7290,30754.1
7300,31095.5
7310,31829.3
7320,31778.1
7330,31180.8
7340,31266.1
7350,31829.3
7360,32170.7
7370,31436.8
7380,32256
7390,34542.9
7400,34901.3
7410,39970.1
7420,38007.5
7430,42052.3
7440,43622.4
7450,43366.4
7460,44100.3
7470,42069.3
7480,42359.5
7490,30788.3
7500,31658.7
7510,32546.1
7520,34030.9
7530,32000
7540,33621.3
7550,34935.5
7560,34833.1
7570,31692.8
7580,30805.3
7590,30668.8
7600,30054.4
7610,30054.4
7620,31607.5
7630,30805.3
7640,31556.3
7650,33655.5
7660,34235.7
7670,34082.1
7680,33740.8
7690,34269.9
7700,34560
7710,36386.1
7720,34730.7
7730,34082.1
7740,34389.3
7750,32802.1
7760,34082.1
7770,32546.1
7780,32307.2
7790,31880.5
7800,31180.8
7810,34201.6
7820,33962.7
7830,33911.5
7840,32665.6
7850,32768
7860,32989.9
7870,32887.5
7880,32836.3
7890,29661.9
7900,31146.7
7910,31385.6
7920,32119.5
7930,32136.5
7940,30020.3
7950,28381.9
7960,27204.3
7970,27204.3
7980,26777.6
7990,26589.9
8000,27306.7
8010,59955.2
8020,63146.7
8030,29422.9
8040,29474.1
8050,29474.1
8060,29115.7
8070,52445.9
8080,52343.5
8090,29542.4
8100,29440
8110,32221.9
8120,32802.1
8130,78848
8140,63914.7
8150,28979.2
8160,29713.1
8170,28672
8180,28689.1
8190,28876.8
8200,28996.3
8210,29269.3
8220,29866.7
8230,29900.8
8240,28330.7
8250,28040.5
8260,28330.7
8270,30464
8280,28808.5
8290,28945.1
8300,29474.1
8310,29832.5
8320,29986.1
8330,29696
8340,29593.6
8350,29201.1
8360,29218.1
8370,28535.5
8380,29269.3
8390,29013.3
8400,29371.7
8410,29166.9
8420,29661.9
8430,32494.9
8440,33041.1
8450,29508.3
8460,30071.5
8470,33262.9
8480,29934.9
8490,29798.4
8500,30242.1
8510,30071.5
8520,29405.9
8530,28689.1
8540,28108.8
8550,29474.1
8560,28825.6
8570,29934.9
8580,31146.7
8590,30617.6
8600,29798.4
8610,29371.7
8620,30771.2
8630,32358.4
8640,32682.7
8650,34867.2
8660,33245.9
8670,32204.8
8680,31129.6
8690,31197.9
8700,30378.7
8710,30873.6
8720,31539.2
8730,32716.8
8740,32460.8
8750,31709.9
8760,32051.2
8770,35737.6
8780,40635.7
8790,39628.8
8800,37085.9
8810,29764.3
8820,30054.4
8830,31283.2
8840,31419.7
8850,31658.7
8860,30600.5
8870,36147.2
8880,38604.8
8890,33740.8
8900,32563.2
8910,35908.3
8920,36232.5
8930,30378.7
8940,29883.7
8950,30737.1
8960,30327.5
8970,31624.5
8980,31948.8
8990,32273.1
9000,31522.1
9010,38178.1
9020,32392.5
9030,40584.5
9040,41489.1
9050,31761.1
9060,33672.5
9070,37990.4
9080,36078.9
9090,34508.8
9100,30890.7
9110,35259.7
9120,33365.3
9130,33177.6
9140,33194.7
9150,30805.3
9160,32750.9
9170,33262.9
9180,33689.6
9190,32665.6
9200,33621.3
9210,32887.5
9220,33433.6
9230,32034.1
9240,33331.2
9250,32614.4
9260,34577.1
9270,36010.7
9280,40072.5
9290,60177.1
9300,55142.4
9310,31436.8
9320,32221.9
9330,32392.5
9340,31812.3
9350,38485.3
9360,38400
9370,41164.8
9380,47155.2
9390,41318.4
9400,41591.5
9410,40601.6
9420,37751.5
9430,34491.7
9440,34286.9
9450,30003.2
9460,29730.1
9470,31232
9480,31249.1
9490,30839.5
9500,32238.9
9510,35328
9520,31146.7
9530,30276.3
9540,27989.3
9550,28569.6
9560,30190.9
9570,30737.1
9580,30156.8
9590,30788.3
9600,30429.9
9610,30788.3
9620,32102.4
9630,31726.9
9640,31419.7
9650,31095.5
9660,31726.9
9670,31061.3
9680,30651.7
9690,28791.5
9700,29798.4
9710,28160
9720,28586.7
9730,28569.6
9740,28945.1
9750,28689.1
9760,27562.7
9770,28398.9
9780,29644.8
9790,31351.5
9800,28876.8
9810,31675.7
9820,31846.4
9830,30583.5
9840,30856.5
9850,32273.1
9860,31692.8
9870,30429.9
9880,30515.2
9890,30907.7
9900,29849.6
9910,30225.1
9920,30583.5
9930,31334.4
9940,31539.2
9950,31453.9
9960,30993.1
9970,30651.7
9980,30156.8
9990,30754.1
10000,32494.9
10010,30754.1
10020,30327.5
10030,62617.6
10040,60006.4
10050,63488
10060,60347.7
10070,30105.6
10080,30566.4
10090,78233.6
10100,31249.1
10110,30361.6
10120,54596.3
10130,53760
10140,53811.2
10150,54357.3
10160,56866.1
10170,59921.1
10180,31129.6
10190,30617.6
10200,30839.5
10210,30259.2
10220,29952
10230,31522.1
10240,30378.7
10250,30617.6
10260,29900.8
10270,29440
10280,28330.7
10290,27016.5
10300,27630.9
10310,29081.6
10320,30566.4
10330,28859.7
10340,27118.9
10350,26948.3
10360,27204.3
10370,28142.9
10380,28893.9
10390,30071.5
10400,30225.1
10410,31180.8
10420,31061.3
10430,31197.9
10440,30668.8
10450,30225.1
10460,30071.5
10470,29508.3
10480,30293.3
10490,30395.7
10500,30668.8
10510,29474.1
10520,30566.4
10530,32836.3
10540,35754.7
10550,34116.3
10560,31880.5
10570,30549.3
10580,30242.1
10590,30276.3
10600,31300.3
10610,31249.1
10620,32392.5
10630,32477.9
10640,33262.9
10650,32972.8
10660,32887.5
10670,32000
10680,57531.7
10690,56029.9
10700,53691.7
10710,55671.5
10720,56541.9
10730,54732.8
10740,54647.5
10750,54050.1
10760,52821.3
10770,56268.8
10780,32051.2
10790,32580.3
10800,31692.8
10810,31232
10820,30754.1
10830,30122.7
10840,30464
10850,40942.9
10860,30839.5
10870,34013.9
10880,31880.5
10890,30668.8
10900,30788.3
10910,30395.7
10920,30634.7
10930,31078.4
10940,31419.7
10950,32477.9
10960,32170.7
10970,31163.7
10980,31214.9
10990,30037.3
11000,52445.9
11010,50227.2
11020,49971.2
11030,48810.7
11040,48588.8
11050,47547.7
11060,48913.1
11070,49954.1
11080,55227.7
11090,50807.5
11100,52309.3
11110,53828.3
11120,39475.2
11130,47650.1
11140,29678.9
11150,29764.3
11160,29713.1
11170,29883.7
11180,30190.9
11190,30378.7
11200,30139.7
11210,29934.9
11220,30293.3
11230,30907.7
11240,30429.9
11250,30344.5
11260,30293.3
11270,30395.7
11280,30429.9
11290,30054.4
11300,29064.5
11310,28893.9
11320,28262.4
11330,28381.9
11340,29388.8
11350,29354.7
11360,28723.2
11370,28040.5
11380,27665.1
11390,28057.6
11400,28296.5
11410,28842.7
11420,29337.6
11430,28842.7
11440,27170.1
11450,28040.5
11460,28040.5
11470,28450.1
11480,28518.4
11490,29696
11500,29713.1
11510,29422.9
11520,29115.7
11530,29081.6
11540,28125.9
11550,28791.5
11560,29866.7
11570,30412.8
11580,30412.8
11590,30225.1
11600,30600.5
11610,30737.1
11620,30446.9
11630,30446.9
11640,38707.2
11650,33109.3
11660,32546.1
11670,32375.5
11680,32716.8
11690,31897.6
11700,32204.8
11710,31846.4
11720,31266.1
11730,30976
11740,31112.5
11750,32204.8
11760,32170.7
11770,31283.2
11780,31590.4
11790,30293.3
11800,30941.9
11810,31812.3
11820,31607.5
11830,31709.9
11840,32034.1
11850,31368.5
11860,30378.7
11870,31010.1
11880,30378.7
11890,31368.5
11900,31266.1
11910,31607.5
11920,31402.7
11930,31470.9
11940,32785.1
11950,32682.7
11960,32665.6
11970,33280
11980,33211.7
11990,33126.4
12000,33416.5
12010,50551.5
12020,49390.9
12030,32512
12040,32153.6
12050,32034.1
12060,32187.7
12070,32529.1
12080,32802.1
12090,33075.2
12100,33348.3
12110,32204.8
12120,32768
12130,32170.7
12140,32409.6
12150,32699.7
12160,31863.5
12170,31795.2
12180,32580.3
12190,32477.9
12200,31385.6
12210,33143.5
12220,33553.1
12230,52974.9
12240,50705.1
12250,31744
12260,31163.7
12270,31829.3
12280,33331.2
12290,34747.7
12300,36010.7
12310,31453.9
12320,32153.6
12330,32426.7
12340,57344
12350,56627.2
12360,56541.9
12370,57344
12380,33774.9
12390,34696.5
12400,34013.9
12410,34508.8
12420,68744.5
12430,67089.1
12440,53179.7
12450,53367.5
12460,33587.2
12470,33416.5
12480,49664
12490,42205.9
12500,31522.1
12510,31317.3
12520,30993.1
12530,31010.1
12540,31692.8
12550,31675.7
12560,31488
12570,32273.1
12580,32358.4
12590,36949.3
12600,33570.1
12610,32904.5
12620,31556.3
12630,31470.9
12640,30907.7
12650,31197.9
12660,59665.1
12670,31180.8
12680,31948.8
12690,32051.2
12700,62566.4
12710,32204.8
12720,31863.5
12730,32392.5
12740,32512
12750,32563.2
12760,51763.2
12770,51899.7
12780,42026.7
12790,60501.3
12800,60791.5
12810,41736.5
12820,41164.8
12830,41028.3
12840,42350.9
12850,41984
12860,42794.7
12870,42990.9
12880,42154.7
12890,42163.2
12900,42171.7
12910,42811.7
12920,44211.2
12930,43093.3
12940,42487.5
12950,42820.3
12960,43878.4
12970,43144.5
12980,43195.7
12990,43264
13000,42427.7
13010,42154.7
13020,42214.4
13030,42214.4
13040,42205.9
13050,41301.3
13060,40934.4
13070,41267.2
13080,41557.3
13090,41369.6
13100,38894.9
13110,38186.7
13120,38886.4
13130,38570.7
13140,39722.7
13150,41941.3
13160,41949.9
13170,42282.7
13180,42769.1
13190,42231.5
13200,42129.1
13210,46028.8
13220,41480.5
13230,43118.9
13240,44356.3
13250,44492.8
13260,44262.4
13270,43076.3
13280,42359.5
13290,41207.5
13300,41480.5
13310,40883.2
13320,42180.3
13330,43528.5
13340,42922.7
13350,41736.5
13360,41608.5
13370,42231.5
13380,40490.7
13390,39808
13400,41557.3
13410,41992.5
13420,42581.3
13430,42094.9
13440,42350.9
13450,42666.7
13460,42222.9
13470,41625.6
13480,41770.7
13490,41139.2
13500,40755.2
13510,43861.3
13520,43238.4
13530,42854.4
13540,40473.6
13550,39816.5
13560,40217.6
13570,42649.6
13580,43741.9
13590,42222.9
13600,40021.3
13610,43332.3
13620,40516.3
13630,41676.8
13640,41779.2
13650,44509.9
13660,45696
13670,41932.8
13680,41105.1
13690,41907.2
13700,41719.5
13710,42803.2
13720,42282.7
13730,41480.5
13740,42333.9
13750,43921.1
13760,40874.7
13770,41582.9
13780,40644.3
13790,40576
13800,44714.7
13810,44168.5
13820,45661.9
13830,43323.7
13840,42197.3
13850,41821.9
13860,43878.4
13870,41821.9
13880,44672
13890,41096.5
13900,43255.5
13910,43093.3
13920,43622.4
13930,44330.7
13940,42752
13950,41907.2
13960,41292.8
13970,40422.4
13980,43921.1
13990,43195.7
14000,41625.6
14010,44006.4
14020,44066.1
14030,41924.3
14040,43690.7
14050,40499.2
14060,41659.7
14070,44433.1
14080,44646.4
14090,41480.5
14100,40490.7
14110,40234.7
14120,42171.7
14130,42598.4
14140,41429.3
14150,42180.3
14160,40004.3
14170,43750.4
14180,44168.5
14190,44134.4
14200,44057.6
14210,45132.8
14220,45073.1
14230,43707.7
14240,41710.9
14250,43195.7
14260,42811.7
14270,39509.3
14280,41915.7
14290,42214.4
14300,44177.1
14310,42410.7
14320,38024.5
14330,38732.8
14340,39296
14350,39782.4
14360,39808
14370,41361.1
14380,41139.2
14390,42615.5
14400,45090.1
14410,43537.1
14420,42666.7
14430,39790.9
14440,40541.9
14450,40149.3
14460,43272.5
14470,42453.3
14480,41779.2
14490,39765.3
14500,41198.9
14510,41395.2
14520,43750.4
14530,42129.1
14540,44168.5
14550,41301.3
14560,42828.8
14570,42240
14580,41659.7
14590,44049.1
14600,44356.3
14610,42461.9
14620,43537.1
14630,43093.3
14640,42905.6
14650,41233.1
14660,41847.5
14670,42043.7
14680,41540.3
14690,43545.6
14700,43554.1
14710,41190.4
14720,42794.7
14730,42240
14740,42624
14750,44757.3
14760,44731.7
14770,43622.4
14780,46062.9
14790,42658.1
14800,41079.5
14810,40994.1
14820,39833.6
14830,38954.7
14840,39270.4
14850,38144
14860,38818.1
14870,37845.3
14880,38553.6
14890,42265.6
14900,43869.9
14910,42419.2
14920,41241.6
14930,44535.5
14940,44987.7
14950,41779.2
14960,41497.6
14970,44672
14980,43810.1
14990,42350.9
15000,42368
15010,43426.1
15020,42530.1
15030,42086.4
15040,41514.7
15050,42658.1
15060,40891.7
15070,39995.7
15080,40652.8
15090,42675.2
15100,42914.1
15110,40951.5
15120,44416
15130,41847.5
15140,41361.1
15150,41514.7
15160,42197.3
15170,42333.9
15180,44288
15190,40567.5
15200,43605.3
15210,41557.3
15220,43272.5
15230,42188.8
15240,44586.7
15250,43093.3
15260,39654.4
15270,40320
15280,44279.5
15290,43229.9
15300,41463.5
15310,41275.7
15320,43008
15330,42487.5
15340,41557.3
15350,40448
15360,40874.7
15370,40089.6
15380,42564.3
15390,41096.5
15400,42248.5
15410,43349.3
15420,41147.7
15430,41804.8
15440,43264
15450,41403.7
15460,44706.1
15470,44219.7
15480,42018.1
15490,44672
15500,42265.6
15510,45678.9
15520,45329.1
15530,42658.1
15540,59972.3
15550,34816
15560,35874.1
15570,35148.8
15580,34884.3
15590,38894.9
15600,39739.7
15610,42308.3
15620,36676.3
15630,35584
15640,39381.3
15650,39739.7
15660,37785.6
15670,37905.1
15680,37563.7
15690,37683.2
15700,37358.9
15710,35822.9
15720,36019.2
15730,34030.9
15740,34022.4
15750,32716.8
15760,32750.9
15770,36778.7
15780,36753.1
15790,31650.1
15800,32128
15810,31923.2
15820,32051.2
15830,32588.8
15840,33698.1
15850,34790.4
15860,34884.3
15870,33433.6
15880,34005.3
15890,33510.4
15900,34841.6
15910,35200
15920,36608
15930,36659.2
15940,34730.7
15950,35020.8
15960,34312.5
15970,33245.9
15980,33988.3
15990,34005.3
16000,33732.3
16010,33186.1
16020,33450.7
16030,34278.4
16040,35592.5
16050,34875.7
16060,36821.3
16070,37657.6
16080,37026.1
16090,36275.2
16100,32947.2
16110,33971.2
16120,30114.1
16130,30353.1
16140,32290.1
16150,30233.6
16160,31445.3
16170,33382.4
16180,33868.8
16190,32827.7
16200,37120
16210,37555.2
16220,35200
16230,37956.3
16240,35968
16250,35481.6
16260,34653.9
16270,37239.5
16280,33365.3
16290,33894.4
16300,38007.5
16310,35780.3
16320,32887.5
16330,33911.5
16340,37265.1
16350,35490.1
16360,32358.4
16370,34449.1
16380,35165.9
16390,35234.1
16400,35507.2
16410,35370.7
16420,35592.5
16430,35293.9
16440,35456
16450,35123.2
16460,33160.5
16470,35208.5
16480,33809.1
16490,32349.9
16500,33015.5
16510,33544.5
16520,34517.3
16530,34747.7
16540,32238.9
16550,33262.9
16560,32981.3
16570,33902.9
16580,32230.4
16590,34534.4
16600,33373.9
16610,35686.4
16620,37154.1
16630,35029.3
16640,36317.9
16650,35575.5
16660,35771.7
16670,34892.8
16680,33092.3
16690,33126.4
16700,34466.1
16710,36206.9
16720,37683.2
16730,36932.3
16740,36445.9
16750,37341.9
16760,36488.5
16770,38937.6
16780,35797.3
16790,35438.9
16800,35985.1
16810,35037.9
16820,35643.7
16830,36352
16840,37435.7
16850,36932.3
16860,33817.6
16870,33365.3
16880,32384
16890,31906.1
16900,32622.9
16910,34457.6
16920,36121.6
16930,34952.5
16940,36360.5
16950,34841.6
16960,34508.8
16970,37802.7
16980,35421.9
16990,32366.9
17000,33416.5
17010,34525.9
17020,34722.1
17030,34833.1
17040,35882.7
17050,34542.9
17060,35293.9
17070,34867.2
17080,34500.3
17090,34525.9
17100,36616.5
17110,34730.7
17120,33493.3
17130,35242.7
17140,35498.7
17150,35089.1
17160,34645.3
17170,37162.7
17180,36846.9
17190,35003.7
17200,35131.7
17210,36283.7
17220,36241.1
17230,34517.3
17240,34722.1
17250,34867.2
17260,37120
17270,36744.5
17280,35814.4
17290,35558.4
17300,34218.7
17310,34030.9
17320,33774.9
17330,32238.9
17340,31820.8
17350,32452.3
17360,31761.1
17370,35840
17380,34875.7
17390,34986.7
17400,35447.5
17410,35020.8
17420,34073.6
17430,32503.5
17440,33169.1
