t,cg_iters
639,69509
640,67588
641,66292
642,67668
643,66953
644,66744
645,67679
646,68081
647,68154
648,68842
649,69454
650,69017
651,68967
652,69851
653,68995
654,68606
655,67719
656,68943
657,69535
658,70772
659,72842
660,71410
661,70932
662,70877
663,70480
664,70925
665,70469
666,69834
667,68690
668,67955
669,67065
670,65175
671,64262
672,64293
673,63574
674,62508
675,62299
676,62174
677,62792
678,61561
679,62155
680,60879
681,61643
682,62610
683,62138
684,62264
685,62881
686,62377
687,63638
688,64010
689,64323
690,64694
691,64779
692,65343
693,66620
694,70560
695,71001
696,71123
697,69277
698,72015
699,70937
700,71998
701,73024
702,74057
703,73242
704,74631
705,74710
706,72542
707,72851
708,73318
709,72669
710,71117
711,71950
712,71887
713,71068
714,71214
715,71321
716,71503
717,70978
718,70944
719,72288
720,72825
721,72040
722,72963
723,75952
724,75542
725,76578
726,78547
727,79587
728,79759
729,78050
730,77969
731,78862
732,77202
733,76504
734,76238
735,75759
736,77337
737,77380
738,76853
739,75922
740,77247
741,78445
742,77285
743,80337
744,81191
745,81752
746,85786
747,86805
748,85588
749,84656
750,85226
751,84531
752,83742
753,84535
754,81972
755,76884
756,78752
757,79129
758,79750
759,81705
760,80500
761,80907
762,81575
763,80821
764,82038
765,80787
766,78137
767,78288
768,76601
769,77028
770,76590
771,75480
772,75098
773,77791
774,78731
775,78435
776,77015
777,77869
778,79540
779,79398
780,77288
781,75254
782,72439
783,71250
784,69486
785,68280
786,68152
787,68195
788,69039
789,68608
790,70161
791,68721
792,70505
793,68673
794,68694
795,67489
796,68174
797,67039
798,65627
799,66487
800,64901
801,64975
802,66334
803,66628
804,67553
805,67164
806,65008
807,65860
808,66405
809,66487
810,66645
811,66933
812,68055
813,70677
814,72144
815,71872
816,73593
817,73426
818,72343
819,69899
820,68644
821,70594
822,70950
823,72493
824,71193
825,72470
826,73096
827,72169
828,72610
829,71231
830,70678
831,68870
832,70762
833,71071
834,70611
835,69531
836,68442
837,66277
838,65123
839,65795
840,65217
841,64605
842,64667
843,64685
844,64883
845,63755
846,62572
847,60738
848,61894
849,61529
850,61174
851,62104
852,64421
853,64210
854,63668
855,64509
856,64838
857,63766
858,62404
859,61627
860,63197
861,64106
862,63030
863,62343
864,63086
865,62463
866,62629
867,61780
868,61503
869,60168
870,59216
871,58031
872,58298
873,58164
874,58426
875,58588
876,58927
877,58450
878,58229
879,58357
880,59344
881,59751
882,60370
883,61175
884,63054
885,63413
886,62304
887,62030
888,61949
889,61602
890,61781
891,62705
892,63540
893,62708
894,62017
895,62992
896,64395
897,64980
898,63550
899,63015
900,61738
901,60693
902,61416
903,61510
904,60502
905,60337
906,60051
907,60096
908,61139
909,61357
910,59851
911,60438
912,60448
913,59871
914,58941
915,58368
916,59458
917,61312
918,59839
919,60791
920,60105
921,59005
922,58476
923,58493
924,58604
925,58337
926,59196
927,59963
928,60403
929,61678
930,62065
931,61754
932,61927
933,61242
934,62591
935,63205
936,61625
937,60574
938,62029
939,63141
940,63055
941,63102
942,63115
943,63191
944,63405
945,62086
946,62071
947,62675
948,61527
949,60673
950,60432
951,59514
952,59328
953,59627
954,60087
955,59972
956,60665
957,61524
958,59696
959,59283
960,59621
961,59756
962,60632
963,61241
964,60734
965,60631
966,60942
967,60727
968,61452
969,60952
970,60572
971,59143
972,59476
973,61456
974,62253
975,63711
976,62385
977,62644
978,63922
979,63710
980,64042
981,63996
982,63610
983,63447
984,63907
985,64222
986,64873
987,64352
988,64449
989,64680
990,64842
991,65618
992,66491
993,66908
994,66322
995,66849
996,67910
997,65691
998,68824
999,66402
1000,66015
1001,65487
1002,65891
1003,65223
1004,65006
1005,63824
1006,65974
1007,66404
1008,67056
1009,67710
1010,69462
1011,72003
1012,70172
1013,71067
1014,72584
1015,72230
1016,71525
1017,69734
1018,72467
1019,73147
1020,71314
1021,71691
1022,71665
1023,70262
1024,68919
1025,66584
1026,69562
1027,69457
1028,70515
1029,71505
1030,69384
1031,70224
1032,69040
1033,69242
1034,67296
1035,68023
1036,69499
1037,70942
1038,70660
1039,72976
1040,71739
1041,73964
1042,71451
1043,72638
1044,72014
1045,70416
1046,71191
1047,68999
1048,68310
1049,69229
1050,68854
1051,66952
1052,67226
1053,67733
1054,67109
1055,68771
1056,70701
1057,70249
1058,68967
1059,67931
1060,66325
1061,66274
1062,64877
1063,66627
1064,68847
1065,66877
1066,67841
1067,65657
1068,64046
1069,66213
1070,67219
1071,70055
1072,68627
1073,70020
1074,69107
1075,69000
1076,66787
1077,66374
1078,67869
1079,67859
1080,67732
1081,69386
1082,68528
1083,69355
