ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.179653,null,null,0.149008,null
0.0235606,null,null,null,-0.0486357
0.222552,-0.105315,null,null,null
0.205138,null,-0.096178,null,null
0.174843,null,null,0.151936,null
0.0194187,null,null,null,-0.048384
0.21883,-0.110113,null,null,null
0.205587,null,-0.0966127,null,null
0.172648,null,null,0.155251,null
0.0184191,null,null,null,-0.0483317
0.216419,-0.116207,null,null,null
0.208907,null,-0.0900865,null,null
0.18021,null,null,0.159332,null
0.0146001,null,null,null,-0.0530137
0.215981,-0.117945,null,null,null
0.212116,null,-0.0872975,null,null
0.18036,null,null,0.155418,null
0.0192214,null,null,null,-0.045906
0.210909,-0.124289,null,null,null
0.210692,null,-0.0841983,null,null
0.177077,null,null,0.157235,null
0.0182455,null,null,null,-0.0469207
0.210909,-0.124289,null,null,null
0.210692,null,-0.0841983,null,null
0.177077,null,null,0.157235,null
0.0182455,null,null,null,-0.0469207
0.214247,-0.124909,null,null,null
0.208492,null,-0.0908175,null,null
0.175521,null,null,0.152082,null
0.0178051,null,null,null,-0.0439625
0.214247,-0.124909,null,null,null
0.208492,null,-0.0908175,null,null
0.175521,null,null,0.152082,null
0.0178051,null,null,null,-0.0439625
0.20903,-0.127971,null,null,null
0.20892,null,-0.0888127,null,null
0.175768,null,null,0.153871,null
0.0213272,null,null,null,-0.0488212
0.20903,-0.127971,null,null,null
0.20892,null,-0.0888127,null,null
0.175768,null,null,0.153871,null
0.0213272,null,null,null,-0.0488212
0.20903,-0.127971,null,null,null
0.20892,null,-0.0888127,null,null
0.175768,null,null,0.153871,null
0.0213272,null,null,null,-0.0488212
0.20903,-0.127971,null,null,null
0.20892,null,-0.0888127,null,null
0.175768,null,null,0.153871,null
0.0213272,null,null,null,-0.0488212
0.208773,-0.136473,null,null,null
0.215959,null,-0.092731,null,null
0.170833,null,null,0.160029,null
0.0201038,null,null,null,-0.0443368
0.208773,-0.136473,null,null,null
0.215959,null,-0.092731,null,null
0.170833,null,null,0.160029,null
0.0201038,null,null,null,-0.0443368
0.213847,-0.138966,null,null,null
0.216052,null,-0.087277,null,null
0.168991,null,null,0.157953,null
0.0185642,null,null,null,-0.051897
0.213847,-0.138966,null,null,null
0.216052,null,-0.087277,null,null
0.168991,null,null,0.157953,null
0.0185642,null,null,null,-0.051897
0.207034,-0.135233,null,null,null
0.211482,null,-0.0928315,null,null
0.169093,null,null,0.155103,null
0.0129713,null,null,null,-0.049511
0.204519,-0.132926,null,null,null
0.214281,null,-0.0920045,null,null
0.161259,null,null,0.155509,null
0.0174192,null,null,null,-0.046166
0.204519,-0.132926,null,null,null
0.214281,null,-0.0920045,null,null
0.161259,null,null,0.155509,null
0.0174192,null,null,null,-0.046166
0.213954,-0.135386,null,null,null
0.212582,null,-0.091896,null,null
0.161883,null,null,0.155395,null
0.015126,null,null,null,-0.0435027
0.210799,-0.130717,null,null,null
0.215831,null,-0.0905985,null,null
0.169964,null,null,0.155424,null
0.0118426,null,null,null,-0.046291
0.210799,-0.130717,null,null,null
0.215831,null,-0.0905985,null,null
0.169964,null,null,0.155424,null
0.0118426,null,null,null,-0.046291
0.20863,-0.130811,null,null,null
0.215938,null,-0.0910575,null,null
0.173394,null,null,0.152602,null
0.0199036,null,null,null,-0.05129
0.20863,-0.130811,null,null,null
0.215938,null,-0.0910575,null,null
0.173394,null,null,0.152602,null
