MDTU,0,2,4,6,8,10
760,2.78187e-06,9.82752e-06,0.00129513,0.00151478,0.00168077,0.0018513
770,2.14433e-06,1.69659e-05,0.00146778,0.00163508,0.0019221,0.00208243
780,4.71612e-06,1.08146e-05,0.00136696,0.00157891,0.00182834,0.00193909
790,6.57614e-06,1.24696e-05,0.00168028,0.00187389,0.00209484,0.00221209
800,8.69756e-06,1.49121e-05,0.00197612,0.00220684,0.00230133,0.00233252
810,5.74473e-06,1.72362e-05,0.0018414,0.00209389,0.00225217,0.0023279
820,5.63359e-06,1.22297e-05,0.00171599,0.00194514,0.0021123,0.00230988
830,4.68574e-06,1.3384e-05,0.00164506,0.00188033,0.00206231,0.00226337
840,3.94823e-06,1.40371e-05,0.00215193,0.00228134,0.00240544,0.00252913
850,7.84446e-06,1.80227e-05,0.00206545,0.00242875,0.00251291,0.0025669
860,1.87214e-06,1.20085e-05,0.00239376,0.00244904,0.00268614,0.00277343
870,1.23297e-05,2.90823e-05,0.00227672,0.00247671,0.00251688,0.00261554
880,1.00007e-05,1.4431e-05,0.00242516,0.00246879,0.00259991,0.00273518
890,1.07583e-05,1.48169e-05,0.00224339,0.00240439,0.00245075,0.00255557
900,6.17025e-06,2.11931e-05,0.00226443,0.00239292,0.0025404,0.00271757
910,5.16698e-06,1.67345e-05,0.00241936,0.00251044,0.00270638,0.00285662
920,8.82174e-06,1.84862e-05,0.00244894,0.00251158,0.00255393,0.00265928
930,5.65732e-06,1.26385e-05,0.00231722,0.00249766,0.00268062,0.00284503
940,3.13519e-06,1.0999e-05,0.00249678,0.00254326,0.00269486,0.0027951
950,9.68604e-06,1.78535e-05,0.00229032,0.00246369,0.0025335,0.00258896
960,1.19556e-05,1.66743e-05,0.00239828,0.00252359,0.00256871,0.00268584
970,1.06337e-05,2.12358e-05,0.00227996,0.00242506,0.00250419,0.00252779
980,7.15297e-06,1.40344e-05,0.00210562,0.00234318,0.00246231,0.00267389
990,3.34797e-06,1.55265e-05,0.0021937,0.00244703,0.00250393,0.00256597
