MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
144,1.09184,0.921904,0.920937,0.577667
145,1.05956,0.901704,0.940883,0.580329
146,1.05247,0.906935,0.941541,0.607655
147,1.07968,0.965943,0.947301,0.637098
148,1.04304,0.964104,0.920669,0.815707
149,1.07195,0.943029,0.925787,0.826031
150,1.0461,0.909895,0.9669,0.550858
151,1.0461,0.909895,0.9669,0.550858
152,1.10574,0.91574,0.923923,0.482148
153,1.06794,0.946493,0.896487,0.446203
154,1.08567,0.95732,0.899635,0.249266
155,1.08567,0.95732,0.899635,0.249266
156,1.08567,0.95732,0.899635,0.249266
157,1.04847,0.958154,0.879672,0.448745
158,1.07547,0.914464,0.952838,0.236799
159,1.11005,0.915503,0.901022,0.295078
160,1.12131,0.911077,0.933712,0.71401
161,1.03921,0.927374,0.931151,0.785703
162,1.03907,0.892806,0.935427,0.855916
163,1.06476,0.855963,0.930214,0.661509
164,1.06081,0.879442,0.937451,0.739713
165,1.06081,0.879442,0.937451,0.739713
166,1.06081,0.879442,0.937451,0.739713
167,1.06081,0.879442,0.937451,0.739713
168,1.06081,0.879442,0.937451,0.739713
169,1.04713,0.900341,0.952951,0.735679
170,1.02409,0.896905,0.903775,0.580769
171,0.993015,0.880013,0.891027,0.692048
172,0.981581,0.876536,0.886729,0.704112
173,0.977403,0.911585,0.865363,0.296473
174,0.977403,0.911585,0.865363,0.296473
175,0.959216,0.891932,0.913423,0.344813
176,0.976891,0.90216,0.888677,0.622038
177,1.00279,0.930437,0.897693,0.384253
178,1.00279,0.930437,0.897693,0.384253
179,0.978783,0.949429,0.880031,0.46507
180,0.984957,0.901156,0.869095,0.389187
181,0.998756,0.877242,0.908634,0.410489
182,0.954221,0.884681,0.911166,0.58874
183,0.974147,0.901715,0.900123,1.00644
184,0.937439,0.868029,0.919277,0.498225
185,0.942508,0.871853,0.92981,0.626229
186,0.924647,0.893637,0.894232,0.782516
187,0.91907,0.908955,0.90432,0.711337
188,0.91907,0.908955,0.90432,0.711337
189,0.91907,0.908955,0.90432,0.711337
190,0.894299,0.912768,0.915718,0.626719
191,0.876863,0.887936,0.922192,0.198614
192,0.876863,0.887936,0.922192,0.198614
193,0.876863,0.887936,0.922192,0.198614
194,0.927152,0.835663,0.924325,0.800759
195,0.873309,0.89446,0.893304,0.30669
196,0.874345,0.936291,0.881707,0.667581
197,0.874345,0.936291,0.881707,0.667581
198,0.867118,0.883187,0.841341,0.666119
199,0.887979,0.857859,0.912753,0.49702
200,0.871949,0.856211,0.911116,0.501195
201,0.871949,0.856211,0.911116,0.501195
202,0.850445,0.882849,0.903284,0.565171
203,0.850445,0.882849,0.903284,0.565171
204,0.850445,0.882849,0.903284,0.565171
205,0.881509,0.880435,0.906493,0.964291
206,0.872985,0.829358,0.924057,0.424211
207,0.872985,0.829358,0.924057,0.424211
208,0.872985,0.829358,0.924057,0.424211
209,0.905167,0.840284,0.94821,0.742858
210,0.919022,0.834253,0.977275,0.611923
211,0.919022,0.834253,0.977275,0.611923
212,0.934918,0.786997,0.961135,0.424587
213,0.947114,0.820212,0.964527,0.866181
214,0.96631,0.836222,0.955599,0.521994
215,1.01182,0.89949,0.928676,0.730046
216,1.01182,0.89949,0.928676,0.730046
217,0.963916,0.864691,0.932409,0.578166
218,0.963916,0.864691,0.932409,0.578166
219,0.939922,0.898311,0.966152,0.5243
220,0.939922,0.898311,0.966152,0.5243
221,0.960454,0.889644,0.906173,0.553164
222,0.973006,0.845094,0.925753,0.299553
223,0.967898,0.870347,0.910767,0.558966
224,0.947954,0.897707,0.952972,0.280158
225,0.939303,0.861269,0.948183,0.342674
226,0.939303,0.861269,0.948183,0.342674
227,0.961262,0.890903,0.944661,0.698026
228,0.961262,0.890903,0.944661,0.698026
229,0.981486,0.862205,0.898419,0.6386
230,0.981486,0.862205,0.898419,0.6386
231,0.928425,0.864631,0.905354,0.982067
232,0.929485,0.918773,0.900398,0.785237
233,0.951026,0.927117,0.864603,0.809121
234,0.959639,0.894111,0.887578,0.951881
235,0.939513,0.948056,0.888647,0.976985
