t,Norder
2500,18
2510,18
2520,18
2530,18
2540,18
2550,18
2560,18
2570,18
2580,18
2590,18
2600,18
2610,18
2620,18
2630,18
2640,18
2650,18
2660,18
2670,18
2680,18
2690,18
2700,18
2710,18
2720,18
2730,18
2740,18
2750,18
2760,18
2770,18
2780,18
2790,18
2800,18
2810,18
2820,18
2830,18
2840,18
2850,18
2860,18
2870,18
2880,18
2890,18
2900,18
2910,18
2920,18
2930,18
2940,18
2950,18
2960,18
2970,18
2980,18
2990,18
3000,18
3010,18
3020,18
3030,18
3040,18
3050,18
3060,18
3070,18
3080,18
3090,18
3100,18
3110,18
3120,18
3130,18
3140,18
3150,18
3160,18
3170,18
3180,18
3190,18
3200,18
3210,18
3220,18
3230,18
3240,18
3250,18
3260,18
3270,18
3280,18
3290,18
3300,18
3310,18
3320,18
3330,18
3340,18
3350,18
3360,18
3370,18
3380,18
3390,18
3400,18
3410,18
3420,18
3430,18
3440,18
3450,18
3460,18
3470,18
3480,18
3490,18
3500,18
3510,18
3520,18
3530,18
3540,18
3550,18
3560,18
3570,18
3580,18
3590,18
3600,18
3610,18
3620,18
3630,18
3640,18
3650,18
3660,18
3670,18
3680,18
3690,18
3700,18
3710,18
3720,18
3730,18
3740,18
3750,18
3760,18
3770,18
3780,18
3790,18
3800,18
3810,18
3820,18
3830,18
3840,18
3850,18
3860,18
3870,18
3880,18
3890,18
3900,18
3910,18
3920,18
3930,18
3940,18
3950,18
3960,18
3970,18
3980,18
3990,18
4000,18
4010,18
4020,18
4030,18
4040,18
4050,18
4060,18
4070,18
4080,18
4090,18
4100,18
4110,18
4120,18
4130,18
4140,18
4150,18
4160,18
4170,18
4180,18
4190,18
4200,18
4210,18
4220,18
4230,18
4240,18
4250,18
4260,18
4270,18
4280,18
4290,18
4300,18
4310,18
4320,18
4330,18
4340,18
4350,18
4360,18
4370,18
4380,18
4390,18
4400,18
4410,18
4420,18
4430,18
4440,18
4450,18
4460,18
4470,18
4480,18
4490,18
4500,18
4510,18
4520,18
4530,18
4540,18
4550,18
4560,18
4570,18
4580,18
4590,18
4600,18
4610,18
4620,18
4630,18
4640,18
4650,18
4660,18
4670,18
4680,18
4690,18
4700,18
4710,18
4720,18
4730,18
4740,18
4750,18
4760,18
4770,18
4780,18
4790,18
4800,18
4810,18
4820,18
4830,18
4840,18
4850,18
4860,18
4870,18
4880,18
4890,18
4900,18
4910,18
4920,18
4930,18
4940,18
4950,18
4960,18
4970,18
4980,18
4990,18
5000,18
5010,18
5020,18
5030,18
5040,18
5050,18
5060,18
5070,18
5080,18
5090,18
5100,18
5110,18
5120,18
5130,18
5140,18
5150,18
5160,18
5170,18
5180,18
5190,18
5200,18
5210,18
5220,18
5230,18
5240,18
5250,18
5260,18
5270,18
5280,18
5290,18
5300,18
5310,18
5320,18
5330,18
5340,18
5350,18
5360,18
5370,18
5380,18
5390,18
5400,18
5410,18
5420,18
5430,18
5440,18
5450,18
5460,18
5470,18
5480,18
5490,18
5500,18
5510,18
5520,18
5530,18
5540,18
5550,18
5560,18
5570,18
5580,18
5590,18
5600,18
5610,18
5620,18
5630,18
5640,18
5650,18
5660,18
5670,18
5680,18
5690,18
5700,18
5710,18
5720,18
5730,18
5740,18
5750,18
5760,18
5770,18
5780,18
5790,18
5800,18
5810,18
5820,18
5830,18
5840,18
5850,18
5860,18
5870,18
5880,18
5890,18
5900,18
5910,18
5920,18
5930,18
5940,18
5950,18
5960,18
5970,18
5980,18
5990,18
6000,18
6010,18
6020,18
6030,18
6040,18
6050,18
6060,18
6070,18
6080,18
6090,18
6100,18
6110,18
6120,18
6130,18
6140,18
6150,18
6160,18
6170,18
6180,18
6190,18
6200,18
6210,18
6220,18
6230,18
6240,18
6250,18
6260,18
6270,18
6280,18
6290,18
6300,18
6310,18
6320,18
6330,18
6340,18
6350,18
6360,18
6370,18
6380,18
6390,18
6400,18
6410,18
6420,18
6430,18
6440,18
6450,18
6460,18
6470,18
6480,18
6490,18
6500,18
6510,18
6520,18
6530,18
6540,18
6550,18
6560,18
6570,18
6580,18
6590,18
6600,18
6610,18
6620,18
6630,18
6640,18
6650,18
6660,18
6670,18
6680,18
6690,18
6700,18
6710,18
6720,18
6730,18
6740,18
6750,18
6760,18
6770,18
6780,18
6790,18
6800,18
6810,18
6820,18
6830,18
6840,18
6850,18
6860,18
6870,18
6880,18
6890,18
6900,18
6910,18
6920,18
6930,18
6940,18
6950,18
6960,18
6970,18
6980,18
6990,18
7000,18
7010,18
7020,18
7030,18
7040,18
7050,18
7060,18
7070,18
7080,18
7090,18
7100,18
7110,18
7120,18
7130,18
7140,18
7150,18
7160,18
7170,18
7180,18
7190,18
7200,18
7210,18
7220,18
7230,18
7240,18
7250,18
7260,18
7270,18
7280,18
7290,18
7300,18
7310,18
7320,18
7330,18
7340,18
7350,18
7360,18
7370,18
7380,18
7390,18
7400,18
7410,18
7420,18
7430,18
7440,18
7450,18
7460,18
7470,18
7480,18
7490,18
7500,18
7510,18
7520,18
7530,18
7540,18
7550,18
7560,18
7570,18
7580,18
7590,18
7600,18
7610,18
7620,18
7630,18
7640,18
7650,18
7660,18
7670,18
7680,18
7690,18
7700,18
7710,18
7720,18
7730,18
7740,18
7750,18
7760,18
7770,18
7780,18
7790,18
7800,18
7810,18
7820,18
7830,18
7840,18
7850,18
7860,18
7870,18
7880,18
7890,18
7900,18
7910,18
7920,18
7930,18
7940,18
7950,18
7960,18
7970,18
7980,18
7990,18
8000,18
8010,18
8020,18
8030,18
8040,18
8050,18
8060,18
8070,18
8080,18
8090,18
8100,18
8110,18
8120,18
8130,18
8140,18
8150,18
8160,18
8170,18
8180,18
8190,18
8200,18
8210,18
8220,18
8230,18
8240,18
8250,18
8260,18
8270,18
8280,18
8290,18
8300,18
8310,18
8320,18
8330,18
8340,18
8350,18
8360,18
8370,18
8380,18
8390,18
8400,18
8410,18
8420,18
8430,18
8440,18
8450,18
8460,18
8470,18
8480,18
8490,18
8500,18
8510,18
8520,18
8530,18
8540,18
8550,18
8560,18
8570,18
8580,18
8590,18
8600,18
8610,18
8620,18
8630,18
8640,18
8650,18
8660,18
8670,18
8680,18
8690,18
8700,18
8710,18
8720,18
8730,18
8740,18
8750,18
8760,18
8770,18
8780,18
8790,18
8800,18
8810,18
8820,18
8830,18
8840,18
8850,18
8860,18
8870,18
8880,18
8890,18
8900,18
8910,18
8920,18
8930,18
8940,18
8950,18
8960,18
8970,18
8980,18
8990,18
9000,18
9010,18
9020,18
9030,18
9040,18
9050,18
9060,18
9070,18
9080,18
9090,18
9100,18
9110,18
9120,18
9130,18
9140,18
9150,18
9160,18
9170,18
9180,18
9190,18
9200,18
9210,18
9220,18
9230,18
9240,18
9250,18
9260,18
9270,18
9280,18
9290,18
9300,18
9310,18
9320,18
9330,18
9340,18
9350,18
9360,18
9370,18
9380,18
9390,18
9400,18
9410,18
9420,18
9430,18
9440,18
9450,18
9460,18
9470,18
9480,18
9490,18
9500,18
9510,18
9520,18
9530,18
9540,18
9550,18
9560,18
9570,18
9580,18
9590,18
9600,18
9610,18
9620,18
9630,18
9640,18
9650,18
9660,18
9670,18
9680,18
9690,18
9700,18
9710,18
9720,18
9730,18
9740,18
9750,18
9760,18
9770,18
9780,18
9790,18
9800,18
9810,18
9820,18
9830,18
9840,18
9850,18
9860,18
9870,18
9880,18
9890,18
9900,18
9910,18
9920,18
9930,18
9940,18
9950,18
9960,18
9970,18
9980,18
9990,18
10000,18
10010,18
10020,18
10030,18
10040,18
10050,18
10060,18
10070,18
10080,18
10090,18
10100,18
10110,18
10120,18
10130,18
10140,18
10150,18
10160,18
10170,18
10180,18
10190,18
10200,18
10210,18
10220,18
10230,18
10240,18
10250,18
10260,18
10270,18
10280,18
10290,18
10300,18
10310,18
10320,18
10330,18
10340,18
10350,18
10360,18
10370,18
10380,18
10390,18
10400,18
10410,18
10420,18
10430,18
10440,18
10450,18
10460,18
10470,18
10480,18
10490,18
10500,18
10510,18
10520,18
10530,18
10540,18
10550,18
10560,18
10570,18
10580,18
10590,18
10600,18
10610,18
10620,18
10630,18
10640,18
10650,18
10660,18
10670,18
10680,18
10690,18
10700,18
10710,18
10720,18
10730,18
10740,18
10750,18
10760,18
10770,18
10780,18
10790,18
10800,18
10810,18
10820,18
10830,18
10840,18
10850,18
10860,18
10870,18
10880,18
10890,18
10900,18
10910,18
10920,18
10930,18
10940,18
10950,18
10960,18
10970,18
10980,18
10990,18
11000,18
11010,18
11020,18
11030,18
11040,18
11050,18
11060,18
11070,18
11080,18
11090,18
11100,18
11110,18
11120,18
11130,18
11140,18
11150,18
11160,18
11170,18
11180,18
11190,18
11200,18
11210,18
11220,18
11230,18
11240,18
11250,18
11260,18
11270,18
11280,18
11290,18
11300,18
11310,18
11320,18
11330,18
11340,18
11350,18
11360,18
11370,18
11380,18
11390,18
11400,18
11410,18
11420,18
11430,18
11440,18
11450,18
11460,18
11470,18
11480,18
11490,18
11500,18
11510,18
11520,18
11530,18
11540,18
11550,18
11560,18
11570,18
11580,18
11590,18
11600,18
11610,18
11620,18
11630,18
11640,18
11650,18
11660,18
11670,18
11680,18
11690,18
11700,18
11710,18
11720,18
11730,18
11740,18
11750,18
11760,18
11770,18
11780,18
11790,18
11800,18
11810,18
11820,18
11830,18
11840,18
11850,18
11860,18
11870,18
11880,18
11890,18
11900,18
11910,18
11920,18
11930,18
11940,18
11950,18
11960,18
11970,18
11980,18
11990,18
12000,18
12010,18
12020,18
12030,18
12040,18
12050,18
12060,18
12070,18
12080,18
12090,18
12100,18
12110,18
12120,18
12130,18
12140,18
12150,18
12160,18
12170,18
12180,18
12190,18
12200,18
12210,18
12220,18
12230,18
12240,18
12250,18
12260,18
12270,18
12280,18
12290,18
12300,18
12310,18
12320,18
12330,18
12340,18
12350,18
12360,18
12370,18
12380,18
12390,18
12400,18
12410,18
12420,18
12430,18
12440,18
12450,18
12460,18
12470,18
12480,18
12490,18
12500,18
12510,18
12520,18
12530,18
12540,18
12550,18
12560,18
12570,18
12580,18
12590,18
12600,18
12610,18
12620,18
12630,18
12640,18
12650,18
12660,18
12670,18
12680,18
12690,18
12700,18
12710,18
12720,18
12730,18
12740,18
12750,18
12760,18
12770,18
12780,18
12790,18
12800,18
12810,18
12820,18
12830,18
12840,18
12850,18
12860,18
12870,18
12880,18
12890,18
12900,18
12910,18
12920,18
12930,18
12940,18
12950,18
12960,18
12970,18
12980,18
12990,18
13000,18
13010,18
13020,18
13030,18
13040,18
13050,18
