MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.785947,0.815099,-2.55343e-05
2,0.789549,0.820958,5.31967e-05
3,0.799988,0.802887,-6.73139e-05
4,0.801986,0.801207,-5.02496e-05
5,0.807837,0.788777,-0.000114558
6,0.812504,0.782906,-9.58161e-05
7,0.817019,0.775536,4.43215e-05
8,0.833124,0.760129,4.69241e-05
9,0.835302,0.761304,-9.61395e-05
10,0.835302,0.761304,-9.61395e-05
11,0.844309,0.748004,8.97104e-06
12,0.868689,0.726499,3.24215e-05
13,0.843219,0.738851,7.44542e-05
14,0.855145,0.726036,-0.000102276
15,0.858126,0.725032,-2.3036e-05
16,0.93546,0.690101,-8.84552e-05
17,0.896824,0.701299,-1.17155e-05
18,0.896824,0.701299,-1.17155e-05
19,0.888744,0.701433,-1.74267e-05
20,0.953181,0.669038,-2.39486e-05
21,0.953181,0.669038,-2.39487e-05
22,0.953181,0.669038,-2.39487e-05
23,0.991145,0.654376,9.05701e-05
24,0.963998,0.662257,-4.97302e-05
25,1.02831,0.637708,1.19472e-05
26,1.02831,0.637708,1.19472e-05
27,1.02831,0.637708,1.19472e-05
28,1.001,0.64792,-3.4684e-05
29,0.967614,0.654112,-7.67807e-05
30,0.928182,0.668834,5.58437e-05
31,0.928182,0.668834,5.58437e-05
32,1.05593,0.626215,8.7296e-06
33,1.04536,0.624057,-2.62698e-05
34,1.04536,0.624057,-2.62698e-05
35,1.11143,0.601956,0.000125164
36,1.42122,0.525934,0.000114631
37,1.42122,0.525934,0.000114631
38,1.49095,0.514387,6.06364e-05
39,1.32605,0.546629,-9.91204e-05
40,1.32605,0.546629,-9.91204e-05
41,1.37725,0.529435,0.000107026
42,1.19441,0.563273,-7.76675e-05
43,1.42503,0.510153,-0.000118593
44,1.42668,0.504273,0.000239998
45,1.42668,0.504273,0.000239998
46,1.18352,0.557715,-3.32758e-05
47,1.07086,0.591377,-0.000128627
48,1.07086,0.591377,-0.000128627
49,1.07086,0.591377,-0.000128627
50,1.07086,0.591377,-0.000128627
51,1.04941,0.59537,-8.36134e-05
52,1.21106,0.556498,-0.000138648
53,1.24615,0.542188,-9.96465e-05
54,1.21856,0.554758,-4.9098e-05
55,1.21856,0.554758,-4.9098e-05
56,1.1635,0.567808,1.11508e-05
57,1.12197,0.574026,-4.54349e-05
58,1.27397,0.538018,-0.000120172
59,1.27397,0.538018,-0.000120172
60,1.35039,0.520919,-0.000320672
61,1.35039,0.520919,-0.000320672
62,1.20792,0.563044,-0.000286939
63,1.37328,0.524095,-0.000173219
64,1.36351,0.522007,2.2524e-06
65,1.36351,0.522007,2.2524e-06
66,1.41912,0.509008,-5.77512e-05
67,1.41912,0.509008,-5.77512e-05
68,1.35824,0.525291,-0.000376447
69,1.35824,0.525291,-0.000376447
70,1.53424,0.488815,0.000163259
71,1.273,0.546221,-0.000243348
72,1.38308,0.517111,6.8263e-05
73,1.27087,0.546108,-0.000109237
74,1.31812,0.519474,-0.000213014
75,1.32616,0.513321,-0.000261552
76,1.32616,0.513321,-0.000261552
