ReTr(L),ImTr(L)
1.67548,1.36763
1.58668,1.33789
1.54713,1.42016
1.42936,1.40544
1.42936,1.40544
1.44516,1.40681
1.44516,1.40681
1.49496,1.39099
1.52794,1.39739
1.51841,1.41324
1.66347,1.41935
1.75095,1.28921
1.74721,1.29592
1.74721,1.29592
1.74721,1.29592
1.74447,1.28532
1.74447,1.28532
1.76511,1.30034
1.71263,1.26489
1.79597,1.29192
1.83502,1.35055
1.86027,1.41059
1.82413,1.37186
1.84821,1.36869
1.83881,1.38037
1.83881,1.38037
1.91828,1.31769
1.91828,1.31769
1.70917,1.3747
1.70917,1.3747
1.75849,1.4401
1.72275,1.37816
1.69298,1.26605
1.63156,1.28175
1.6578,1.28888
1.62578,1.21091
1.62578,1.21091
1.62578,1.21091
1.62578,1.21091
1.68895,1.25018
1.68895,1.25018
1.72007,1.25813
1.72007,1.25813
1.72007,1.25813
1.617,1.27059
1.6999,1.28798
1.6999,1.28798
1.73706,1.26733
1.62305,1.35601
1.64507,1.33784
1.62314,1.37543
1.6032,1.35325
1.61724,1.31675
1.62424,1.3741
1.60543,1.37103
1.51845,1.37025
1.51845,1.37025
1.54757,1.36638
1.5897,1.38326
1.55338,1.38926
1.51984,1.39932
1.50982,1.3997
1.58584,1.38908
1.62562,1.30836
1.62562,1.30836
1.5441,1.29043
1.55637,1.24293
1.6174,1.14117
1.65718,1.09954
1.65004,1.05082
1.65004,1.05082
1.65004,1.05082
1.66948,1.07771
1.64035,1.06635
1.64947,1.05441
1.67831,1.00092
1.67831,1.00092
1.67831,1.00092
1.67991,0.991134
1.67991,0.991134
1.67991,0.991134
1.60685,0.926023
1.62019,0.947157
1.57706,0.870254
1.68225,0.846551
1.60387,0.87456
1.58104,0.949177
1.62943,1.06626
1.64589,1.07493
1.69653,0.988647
1.74489,0.996429
1.68024,0.986898
1.76323,0.96529
1.77095,0.949405
1.74141,0.862745
1.74141,0.862745
1.79597,0.846667
1.79597,0.846667
1.77472,0.8976
1.66332,0.993274
1.66332,0.993274
1.69316,1.04321
1.75005,0.955377
1.78359,0.8438
1.73722,0.787365
1.77801,0.718981
1.75935,0.764439
1.81269,0.774312
1.81269,0.774312
1.82236,0.782933
1.94047,0.738109
1.93348,0.713776
1.93348,0.713776
1.96028,0.647993
1.95426,0.69135
1.97053,0.598873
1.94889,0.745384
1.98997,0.759808
1.92055,0.741857
1.97973,0.726231
1.92627,0.768705
1.88201,0.760805
1.83887,0.78807
1.80217,0.82282
1.80217,0.82282
1.80217,0.82282
1.81866,0.806744
1.82178,0.887118
1.82178,0.887118
1.82178,0.887118
1.89457,0.947167
1.85703,0.927876
1.84661,0.868111
1.84661,0.868111
1.80529,0.957366
1.80529,0.957366
1.80529,0.957366
1.80529,0.957366
1.80529,0.957366
1.86362,1.02754
1.8677,0.993976
1.8677,0.993976
