t,G,F1,F2,F3
1,0.0006654,0.001108,null,null
2,0.0006779,0.000592,null,null
3,0.0006247,0.0006094,null,null
4,0.0006002,0.0006221,null,null
5,0.0005848,0.0006318,null,null
6,0.000574,0.0006461,null,null
7,0.0005622,0.0006571,null,null
8,0.0005524,0.0006675,null,null
9,0.0005431,0.000679,null,null
10,0.0005344,0.0006884,null,null
11,0.001214,0.001395,null,null
12,0.001199,0.001412,null,null
13,0.001183,0.00143,null,null
14,0.001169,0.001446,null,null
15,0.001155,0.00146,null,null
16,0.001142,0.001472,null,null
17,0.001133,0.001486,null,null
18,0.001123,0.0015,null,null
19,0.001113,0.001511,null,null
20,0.001103,0.001521,null,null
21,0.002378,0.002557,null,null
22,0.002355,0.002574,null,null
23,0.002339,0.002589,null,null
24,0.002325,0.002607,null,null
25,0.002309,0.002624,null,null
26,0.002295,0.002642,null,null
27,0.002279,0.002657,null,null
28,0.002266,0.002671,null,null
29,0.002253,0.002684,null,null
30,0.002244,0.002698,null,null
31,0.003717,0.004067,null,null
32,0.0037,0.004086,null,null
33,0.003681,0.004102,null,null
34,0.003668,0.004123,null,null
35,0.003652,0.004138,null,null
36,0.003638,0.004156,null,null
37,0.00362,0.004172,null,null
38,0.003608,0.004188,null,null
39,0.003593,0.004206,null,null
40,0.003577,0.004223,null,null
41,0.004814,0.00509,null,null
42,0.004788,0.005108,null,null
43,0.004771,0.005134,null,null
44,0.004746,0.005144,null,null
45,0.004738,0.005167,null,null
46,0.00472,0.005191,null,null
47,0.004694,0.005202,null,null
48,0.004685,0.005214,null,null
49,0.004675,0.005232,null,null
50,0.004661,0.005255,null,null
51,0.00495,0.005266,null,null
52,0.00494,0.005282,null,null
53,0.004927,0.005293,null,null
54,0.004914,0.005306,null,null
55,0.0049,0.005323,null,null
56,0.004884,0.00534,null,null
57,0.00487,0.005344,null,null
58,0.004866,0.005366,null,null
59,0.004851,0.00538,null,null
60,0.004834,0.005385,null,null
61,0.005624,0.005878,null,null
62,0.005602,0.005881,null,null
63,0.005596,0.005901,null,null
64,0.005584,0.005912,null,null
65,0.00557,0.00593,null,null
66,0.005556,0.005943,null,null
67,0.005543,0.005955,null,null
68,0.005532,0.005957,null,null
69,0.005523,0.005976,null,null
70,0.005514,0.005991,null,null
71,0.006703,0.006271,null,null
72,0.006696,0.006282,null,null
73,0.006694,0.00628,null,null
74,0.006689,0.006305,null,null
75,0.006663,0.006308,null,null
76,0.006654,0.00632,null,null
77,0.006643,0.00633,null,null
78,0.006638,0.006346,null,null
79,0.00662,0.006353,null,null
80,0.00661,0.006355,null,null
81,0.006613,0.006374,null,null
82,0.006591,0.006375,null,null
83,0.006588,0.006399,null,null
84,0.006563,0.006396,null,null
85,0.006566,0.006404,null,null
86,0.006558,0.006409,null,null
87,0.006553,0.006409,null,null
88,0.006551,0.006418,null,null
89,0.006547,0.00643,null,null
90,0.006539,0.006442,null,null
91,0.006526,0.006453,null,null
92,0.006511,0.006456,null,null
93,0.006502,0.006463,null,null
94,0.006502,0.006477,null,null
95,0.006485,0.00648,null,null
96,0.006485,0.006492,null,null
97,0.006473,0.006494,null,null
98,0.006466,0.006509,null,null
99,0.006459,0.006521,null,null
100,0.00644,0.006528,null,null
101,0.006739,0.006842,null,null
102,0.006742,0.006856,null,null
103,0.00673,0.006869,null,null
104,0.006714,0.006879,null,null
105,0.006701,0.00688,null,null
106,0.006702,0.006895,null,null
107,0.00669,0.006899,null,null
108,0.006687,0.006912,null,null
109,0.006679,0.006917,null,null
110,0.00667,0.006932,null,null
111,0.006657,0.006937,null,null
112,0.00665,0.006947,null,null
113,0.006639,0.00695,null,null
114,0.006639,0.006965,null,null
115,0.006628,0.006975,null,null
116,0.006618,0.006984,null,null
117,0.006608,0.006993,null,null
118,0.006599,0.006996,null,null
119,0.006596,0.007006,null,null
120,0.006588,0.007024,null,null
121,0.006572,0.007026,null,null
122,0.006568,0.007038,null,null
123,0.006557,0.007041,null,null
124,0.006548,0.00705,null,null
125,0.006553,0.007053,null,null
126,0.006539,0.007052,null,null
127,0.006544,0.007067,null,null
128,0.006536,0.007069,null,null
129,0.006538,0.007075,null,null
130,0.006525,0.007082,null,null
131,0.006519,0.007093,null,null
132,0.006507,0.007097,null,null
133,0.006503,0.007102,null,null
134,0.0065,0.007112,null,null
135,0.006489,0.007119,null,null
136,0.006485,0.007125,null,null
137,0.006476,0.007131,null,null
138,0.006476,0.007135,null,null
139,0.00647,0.007141,null,null
140,0.006466,0.007147,null,null
141,0.006459,0.00716,null,null
142,0.00645,0.007152,null,null
143,0.006454,0.007156,null,null
144,0.006447,0.007168,null,null
145,0.006445,0.007168,null,null
146,0.006441,0.007182,null,null
147,0.006436,0.007186,null,null
148,0.006429,0.007181,null,null
149,0.00643,0.007194,null,null
150,0.00642,0.007201,null,null
151,0.008079,0.007561,null,null
152,0.008079,0.007567,null,null
153,0.008071,0.007579,null,null
154,0.008063,0.007584,null,null
155,0.008053,0.007596,null,null
156,0.008051,0.007592,null,null
157,0.008046,0.007601,null,null
158,0.008039,0.007601,null,null
159,0.008038,0.007598,null,null
160,0.008036,0.007608,null,null
161,0.00846,0.008026,null,null
162,0.008437,0.008025,null,null
163,0.008437,0.008027,null,null
164,0.008432,0.008042,null,null
165,0.00842,0.008043,null,null
166,0.008415,0.008046,null,null
167,0.008414,0.008054,null,null
168,0.008417,0.008052,null,null
169,0.008405,0.008053,null,null
170,0.008405,0.008074,null,null
171,0.008859,0.008525,null,null
172,0.008871,0.008512,null,null
173,0.008859,0.008518,null,null
174,0.008861,0.008533,null,null
175,0.008849,0.008527,null,null
176,0.008848,0.008543,null,null
177,0.008838,0.008557,null,null
178,0.008833,0.008556,null,null
179,0.008822,0.008552,null,null
180,0.008823,0.008561,null,null
181,0.009333,0.009069,null,null
182,0.009333,0.009074,null,null
183,0.009337,0.00908,null,null
184,0.009325,0.009075,null,null
185,0.009325,0.009094,null,null
186,0.009309,0.009082,null,null
187,0.009311,0.009091,null,null
188,0.009306,0.009089,null,null
189,0.009306,0.009099,null,null
190,0.009296,0.009107,null,null
191,0.009874,0.009674,null,null
192,0.009875,0.00969,null,null
193,0.009879,0.009689,null,null
194,0.009863,0.009684,null,null
195,0.009865,0.009687,null,null
196,0.009853,0.009697,null,null
197,0.009867,0.009693,null,null
198,0.009859,0.009681,null,null
199,0.009865,0.009685,null,null
200,0.009868,0.009713,null,null
201,0.0105,0.01035,null,null
202,0.0105,0.01035,null,null
203,0.0105,0.01036,null,null
204,0.01049,0.01037,null,null
205,0.0105,0.01037,null,null
206,0.01049,0.01037,null,null
207,0.01048,0.01038,null,null
208,0.01047,0.01038,null,null
209,0.01048,0.01038,null,null
210,0.01047,0.01039,null,null
211,0.01047,0.01039,null,null
212,0.01046,0.0104,null,null
213,0.01046,0.01041,null,null
214,0.01046,0.01041,null,null
215,0.01044,0.01041,null,null
216,0.01045,0.01041,null,null
217,0.01044,0.01043,null,null
218,0.01043,0.01043,null,null
219,0.01042,0.01043,null,null
220,0.01043,0.01043,null,null
221,0.01043,0.01044,null,null
222,0.01043,0.01044,null,null
223,0.01042,0.01045,null,null
224,0.01042,0.01045,null,null
225,0.01041,0.01045,null,null
226,0.01041,0.01046,null,null
227,0.0104,0.01047,null,null
228,0.01039,0.01047,null,null
229,0.01038,0.01048,null,null
230,0.01038,0.01047,null,null
231,0.01038,0.01048,null,null
232,0.01037,0.01049,null,null
233,0.01037,0.01049,null,null
234,0.01038,0.0105,null,null
235,0.01036,0.0105,null,null
236,0.01036,0.0105,null,null
237,0.01035,0.01051,null,null
238,0.01035,0.01051,null,null
239,0.01036,0.0105,null,null
240,0.01035,0.01051,null,null
241,0.01036,0.0105,null,null
242,0.01035,0.01052,null,null
243,0.01035,0.01052,null,null
244,0.01034,0.01051,null,null
245,0.01034,0.01052,null,null
246,0.01034,0.01052,null,null
247,0.01033,0.01052,null,null
248,0.01034,0.01052,null,null
249,0.01033,0.01053,null,null
250,0.01034,0.01053,null,null
251,0.01034,0.01052,null,null
252,0.01034,0.01053,null,null
253,0.01032,0.01053,null,null
254,0.01032,0.01053,null,null
255,0.01032,0.01053,null,null
256,0.01034,0.01054,null,null
257,0.01033,0.01054,null,null
258,0.01032,0.01055,null,null
259,0.01032,0.01054,null,null
260,0.01033,0.01054,null,null
261,0.01032,0.01054,null,null
262,0.01031,0.01055,null,null
263,0.01031,0.01055,null,null
264,0.01033,0.01055,null,null
265,0.01032,0.01053,null,null
266,0.01033,0.01054,null,null
267,0.01033,0.01054,null,null
268,0.01032,0.01054,null,null
269,0.01032,0.01055,null,null
270,0.01032,0.01055,null,null
271,0.01031,0.01055,null,null
272,0.01031,0.01055,null,null
273,0.0103,0.01056,null,null
274,0.0103,0.01057,null,null
275,0.01031,0.01056,null,null
276,0.0103,0.01056,null,null
277,0.0103,0.01057,null,null
278,0.0103,0.01057,null,null
279,0.01031,0.01057,null,null
280,0.01029,0.01056,null,null
281,0.0103,0.01057,null,null
282,0.0103,0.01057,null,null
283,0.0103,0.01057,null,null
284,0.01029,0.01056,null,null
285,0.01029,0.01058,null,null
286,0.01029,0.01057,null,null
287,0.0103,0.01057,null,null
288,0.01029,0.01058,null,null
289,0.01029,0.01058,null,null
290,0.01029,0.01057,null,null
291,0.01029,0.01058,null,null
292,0.01028,0.01057,null,null
293,0.01031,0.01058,null,null
294,0.0103,0.01058,null,null
295,0.01029,0.01057,null,null
296,0.01029,0.01056,null,null
297,0.0103,0.01057,null,null
298,0.01031,0.01056,null,null
299,0.0103,0.01058,null,null
300,0.01029,0.01057,null,null
301,0.00965,0.009908,null,null
302,0.009654,0.009909,null,null
303,0.009646,0.009909,null,null
304,0.009648,0.009904,null,null
305,0.009659,0.009907,null,null
306,0.009645,0.009907,null,null
307,0.009647,0.009917,null,null
308,0.009644,0.009919,null,null
309,0.009637,0.00993,null,null
310,0.009648,0.00993,null,null
311,0.009642,0.009922,null,null
312,0.009629,0.009924,null,null
313,0.009629,0.009926,null,null
314,0.009633,0.009926,null,null
315,0.009635,0.009925,null,null
316,0.009634,0.009922,null,null
317,0.009637,0.009923,null,null
318,0.009628,0.009925,null,null
319,0.009626,0.009942,null,null
320,0.009612,0.009944,null,null
321,0.009622,0.009942,null,null
322,0.009612,0.009941,null,null
323,0.00961,0.009945,null,null
324,0.009613,0.009954,null,null
325,0.009607,0.009949,null,null
326,0.009607,0.009961,null,null
327,0.009609,0.009959,null,null
328,0.009604,0.00996,null,null
329,0.009605,0.009957,null,null
330,0.009608,0.009955,null,null
331,0.009611,0.009951,null,null
332,0.0096,0.009957,null,null
333,0.00961,0.009965,null,null
334,0.009601,0.009956,null,null
335,0.009609,0.009963,null,null
336,0.009597,0.009969,null,null
337,0.009587,0.009968,null,null
338,0.009588,0.009979,null,null
339,0.009581,0.009979,null,null
340,0.009586,0.009979,null,null
341,0.00958,0.009985,null,null
342,0.009578,0.009983,null,null
343,0.009569,0.009986,null,null
344,0.00957,0.009996,null,null
345,0.009567,0.009996,null,null
346,0.009564,0.009999,null,null
347,0.009564,0.009999,null,null
348,0.009561,0.01,null,null
349,0.009567,0.01,null,null
350,0.009561,0.01,null,null
