t,|deltaS|
1,0.4742
2,0.08763
3,0.11
4,0.07812
5,0.09531
6,0.07465
7,0.06603
8,0.09737
9,0.1007
10,0.08943
11,0.336
12,0.3241
13,0.3766
14,0.3495
15,0.2097
16,0.2469
17,0.2333
18,0.218
19,0.2525
20,0.1017
21,0.4567
22,0.5935
23,0.4767
24,0.4375
25,0.2613
26,0.6956
27,0.3478
28,0.1909
29,0.6002
30,0.3018
31,0.9338
32,1.197
33,0.8011
34,0.8284
35,0.3702
36,0.7778
37,0.5033
38,0.3486
39,0.5916
40,0.5363
41,0.6651
42,1.145
43,1.701
44,0.7513
45,1.476
46,1.311
47,0.2122
48,0.8771
49,1.268
50,0.8961
51,0.05698
52,0.4336
53,0.8374
54,0.993
55,1.205
56,0.3041
57,0.5564
58,0.2365
59,1.354
60,0.174
61,0.744
62,0.8236
63,1.196
64,0.8022
65,0.2524
66,0.7334
67,0.6393
68,1.04
69,0.845
70,1.246
71,0.7679
72,0.0998
73,1.529
74,1.133
75,0.7982
76,1.018
77,1.243
78,0.2847
79,0.7348
80,0.2641
81,0.4986
82,0.8057
83,0.7504
84,0.468
85,0.7495
86,0.08943
87,0.2067
88,0.8512
89,0.2014
90,0.5391
91,1.127
92,0.9289
93,0.05302
94,1.184
95,0.7821
96,0.9007
97,0.7332
98,0.4839
99,0.5095
100,0.2633
101,0.2055
102,0.2137
103,0.5582
104,1.765
105,0.08644
106,0.2892
107,0.5005
108,1.714
109,0.0106
110,1.426
111,0.1909
112,1.15
113,0.912
114,1.385
115,1.286
116,0.4739
117,1.152
118,0.197
119,0.418
120,1.448
121,0.3723
122,0.6382
123,0.5072
124,0.3155
125,0.1548
126,1.551
127,0.9997
128,0.5547
129,0.2494
130,0.5312
131,0.3848
132,0.1999
133,1.01
134,1.125
135,0.4334
136,1.003
137,0.1635
138,0.5002
139,0.5085
140,0.03065
141,0.9902
142,0.3744
143,0.9997
144,0.8442
145,0.7497
146,0.2789
147,0.7804
148,0.1141
149,0.2155
150,0.1931
151,1.159
152,0.8687
153,0.3136
154,0.7199
155,0.9944
156,0.2604
157,0.9422
158,0.9079
159,0.7666
160,0.1702
161,0.1491
162,1.483
163,0.3414
164,0.1355
165,0.2511
166,0.5655
167,0.2477
168,0.7314
169,0.3662
170,0.4148
171,0.5726
172,1.047
173,0.604
174,0.5643
175,0.5174
176,1.158
177,0.03629
178,0.9922
179,1.1
180,1.035
181,1.141
182,0.9322
183,0.6977
184,0.8402
185,0.01535
186,1.071
187,0.2881
188,0.2682
189,0.1962
190,0.8345
191,0.6246
192,0.6098
193,0.295
194,1.449
195,0.6368
196,0.6731
197,0.5987
198,0.2478
199,1.472
200,0.3406
201,1.243
202,1.775
203,0.3276
204,0.4285
205,0.145
206,1.183
207,0.4616
208,1.197
209,0.1077
210,0.1535
211,0.1692
212,1.74
213,0.881
214,0.7867
215,1.08
216,0.09682
217,1.272
218,0.7128
219,1.659
220,0.5773
221,0.1862
222,0.2992
223,0.4224
224,0.9906
225,0.8337
226,2.368
227,1.275
228,0.1588
229,2.5
230,0.2668
231,1.674
232,1.456
233,0.5823
234,1.874
235,1.308
236,0.3484
237,3.757
238,0.6545
239,3.272
240,1.495
241,0.8533
242,0.3772
243,1.749
244,0.2514
245,0.3561
246,2.097
247,1.995
248,1.803
249,1.11
250,1.449
251,1.063
252,1.508
253,0.762
254,0.6096
255,0.6205
256,0.4395
257,1.534
258,2.172
259,0.1328
260,0.7789
261,0.3271
262,1.155
263,1.968
264,0.3996
265,0.2415
266,1.204
267,1.222
268,0.177
269,0.3721
270,0.1937
271,1.708
272,0.9062
273,1.143
274,1.58
275,0.8767
276,0.2472
277,1.335
278,0.1218
279,1.985
280,0.9673
281,2.538
282,0.8847
283,0.1032
284,3.654
285,1.768
286,0.9711
287,1.88
288,0.7998
289,2.039
290,0.5323
291,1.279
292,0.292
293,2.332
294,0.6945
295,2.631
296,0.05254
297,1.73
298,1.109
299,0.9058
300,0.5156
301,0.294
302,0.05616
303,1.297
304,0.8712
305,2.257
306,1.149
307,1.509
308,0.5236
309,1.158
310,0.8222
311,1.027
