MDTU,min_width,max_width
1,0.295313,0.267727
2,0.273769,0.245047
3,0.25906,0.230292
4,0.248699,0.222571
5,0.241982,0.214727
6,0.234432,0.207713
7,0.227557,0.201519
8,0.220844,0.195939
9,0.214066,0.18983
10,0.208726,0.185051
11,0.204945,0.179888
12,0.199147,0.176057
13,0.197218,0.172715
14,0.193012,0.169832
15,0.184796,0.164623
16,0.182795,0.160395
17,0.178253,0.155982
18,0.172714,0.151365
19,0.168789,0.147071
20,0.166324,0.144195
21,0.164023,0.142123
22,0.161108,0.139099
23,0.157942,0.13591
24,0.15465,0.133162
25,0.151524,0.129548
26,0.150111,0.128894
27,0.146094,0.126753
28,0.144989,0.12437
29,0.143064,0.123626
30,0.143588,0.122089
31,0.138822,0.117975
32,0.135509,0.114784
33,0.133283,0.113972
34,0.133799,0.113669
35,0.132389,0.112277
36,0.129703,0.110271
37,0.126078,0.108232
38,0.123403,0.106758
39,0.122008,0.103872
40,0.122319,0.103001
41,0.119105,0.100172
42,0.118323,0.0983957
43,0.115923,0.0973314
44,0.114614,0.0977844
45,0.112409,0.0959415
46,0.111422,0.093682
47,0.108532,0.0919551
48,0.109001,0.0910431
49,0.106834,0.0911449
50,0.106198,0.0908855
51,0.10596,0.0902099
52,0.104641,0.0888367
53,0.101269,0.086362
54,0.100706,0.0861206
55,0.101306,0.0854152
56,0.0994275,0.083632
57,0.098435,0.0825091
58,0.0973863,0.0804599
59,0.0969502,0.0801913
60,0.0953628,0.0797551
61,0.0932066,0.0796574
62,0.0925554,0.0785048
63,0.0909821,0.0769403
64,0.0909344,0.0756334
65,0.0908152,0.0750256
66,0.0887104,0.0734357
67,0.0880172,0.0727654
68,0.0897851,0.0742414
69,0.0886035,0.073988
70,0.0871955,0.0731328
71,0.0887646,0.0732732
72,0.0887646,0.0732732
73,0.0865861,0.0734983
74,0.0834435,0.0712404
75,0.0851899,0.0718011
76,0.0836,0.0706211
77,0.0840069,0.0710715
78,0.0829872,0.0696026
79,0.0836336,0.0703686
80,0.0835483,0.0697163
81,0.0825387,0.0687582
82,0.08179,0.0697318
83,0.0802348,0.0676056
84,0.0802348,0.0676056
85,0.0820844,0.069337
86,0.0823001,0.0695659
87,0.0825979,0.0697424
88,0.0794464,0.0665628
89,0.0787603,0.0659776
90,0.080105,0.0672468
91,0.0803903,0.0669319
92,0.0795112,0.0651549
93,0.0779385,0.063946
94,0.0762012,0.0634843
95,0.0775082,0.0651165
96,0.0775237,0.0642822
97,0.0776066,0.0643417
98,0.0750973,0.063196
99,0.0744484,0.0615138
100,0.0730484,0.060086
101,0.0729258,0.0596646
102,0.0708451,0.059351
103,0.070194,0.0587595
104,0.0693234,0.0580583
105,0.0713759,0.0589266
106,0.0714627,0.058887
107,0.0701254,0.0582713
108,0.0705018,0.0590211
109,0.0705413,0.0583531
110,0.070753,0.0575212
111,0.0699486,0.0574188
112,0.0700395,0.0579637
113,0.0708774,0.0589476
114,0.0717882,0.0588736
115,0.0713859,0.0583643
116,0.0711604,0.0584892
117,0.069812,0.057437
118,0.0681353,0.0560781
119,0.0695837,0.0565155
120,0.0696476,0.0559109
121,0.0693192,0.0561
122,0.0686617,0.0559155
123,0.0665259,0.0545668
124,0.0663873,0.0547661
125,0.06408,0.0515984
126,0.06408,0.0515984
127,0.0629695,0.0512542
128,0.0622757,0.0515809
129,0.0620878,0.0513827
