MDTU,S_F
1,8.1436e-07
2,9.02622e-07
3,9.88396e-07
4,9.55613e-07
5,9.94653e-07
6,1.00287e-06
7,1.01699e-06
8,1.05859e-06
9,1.06949e-06
10,1.15159e-06
11,1.19437e-06
12,1.21381e-06
13,1.30551e-06
14,1.29783e-06
15,1.22154e-06
16,1.23756e-06
17,1.33264e-06
18,1.26659e-06
19,1.28922e-06
20,1.28954e-06
21,1.30434e-06
22,1.35977e-06
23,1.35832e-06
24,1.3905e-06
25,1.47256e-06
26,1.43197e-06
27,1.37954e-06
28,1.52155e-06
29,1.50364e-06
30,1.53079e-06
31,1.52052e-06
32,1.53303e-06
33,1.49021e-06
34,1.55823e-06
35,1.58998e-06
36,1.55851e-06
37,1.54231e-06
38,1.47926e-06
39,1.53425e-06
40,1.60443e-06
41,1.58554e-06
42,1.62819e-06
43,1.63687e-06
44,1.60028e-06
45,1.58792e-06
46,1.59976e-06
47,1.61166e-06
48,1.64883e-06
49,1.61858e-06
50,1.62761e-06
51,1.65295e-06
52,1.67577e-06
53,1.69453e-06
54,1.69688e-06
55,1.73867e-06
56,1.82081e-06
57,1.81429e-06
58,1.7717e-06
59,1.8009e-06
60,1.7562e-06
61,1.7516e-06
62,1.7945e-06
63,1.83657e-06
64,1.86606e-06
65,1.9639e-06
66,1.94363e-06
67,1.89734e-06
68,1.84993e-06
69,1.82824e-06
70,1.82743e-06
71,1.94849e-06
72,1.94849e-06
73,1.96485e-06
74,1.94544e-06
75,2.01291e-06
76,2.04993e-06
77,2.01069e-06
78,2.03416e-06
79,2.01755e-06
80,2.06736e-06
81,2.02133e-06
82,2.01699e-06
83,1.98093e-06
84,1.98093e-06
85,2.0274e-06
86,1.99725e-06
87,2.02067e-06
88,2.0174e-06
89,2.01015e-06
90,2.07727e-06
91,2.07025e-06
92,2.14433e-06
93,2.10111e-06
94,2.06362e-06
95,2.03308e-06
96,2.06471e-06
97,2.0724e-06
98,2.12308e-06
99,2.13759e-06
100,2.09419e-06
101,2.08094e-06
102,2.04955e-06
103,2.12047e-06
104,2.07863e-06
105,2.17716e-06
106,2.22482e-06
107,2.21718e-06
108,2.21467e-06
109,2.2812e-06
110,2.23733e-06
111,2.27372e-06
112,2.27245e-06
113,2.34807e-06
114,2.4035e-06
115,2.32936e-06
116,2.36036e-06
117,2.3768e-06
118,2.36852e-06
119,2.40937e-06
120,2.3877e-06
121,2.38533e-06
122,2.29907e-06
123,2.26395e-06
124,2.25768e-06
125,2.30494e-06
126,2.30494e-06
127,2.32072e-06
128,2.29188e-06
129,2.27305e-06
130,2.28116e-06
131,2.28079e-06
132,2.32444e-06
133,2.36169e-06
134,2.31173e-06
135,2.24549e-06
136,2.23558e-06
137,2.21977e-06
138,2.20409e-06
139,2.198e-06
140,2.19876e-06
141,2.20827e-06
142,2.20827e-06
143,2.17686e-06
144,2.17732e-06
145,2.21497e-06
146,2.15352e-06
147,2.16406e-06
148,2.18928e-06
149,2.14341e-06
150,2.14986e-06
151,2.17518e-06
152,2.14694e-06
153,2.15776e-06
154,2.11256e-06
155,2.11256e-06
156,2.16457e-06
157,2.16491e-06
158,2.17255e-06
159,2.1796e-06
160,2.20858e-06
161,2.20249e-06
162,2.20249e-06
163,2.17538e-06
164,2.21656e-06
165,2.22712e-06
166,2.26827e-06
167,2.21652e-06
168,2.22037e-06
169,2.22237e-06
170,2.26201e-06
171,2.22984e-06
172,2.22984e-06
173,2.19565e-06
174,2.16541e-06
175,2.17983e-06
176,2.16309e-06
177,2.1345e-06
178,2.14002e-06
179,2.13744e-06
180,2.13744e-06
181,2.15272e-06
182,2.15272e-06
183,2.18888e-06
184,2.16092e-06
185,2.21977e-06
186,2.19839e-06
187,2.2433e-06
188,2.23936e-06
189,2.22636e-06
190,2.22636e-06
191,2.21795e-06
192,2.21795e-06
193,2.24579e-06
194,2.22227e-06
195,2.22227e-06
196,2.22227e-06
197,2.22227e-06
198,2.23986e-06
199,2.23298e-06
200,2.24892e-06
201,2.24892e-06
202,2.23956e-06
203,2.27786e-06
204,2.27786e-06
205,2.27462e-06
206,2.27286e-06
207,2.30397e-06
208,2.30397e-06
209,2.34452e-06
210,2.34452e-06
211,2.37206e-06
212,2.33097e-06
213,2.33097e-06
214,2.32499e-06
215,2.32499e-06
216,2.36672e-06
217,2.30704e-06
218,2.30704e-06
219,2.30704e-06
220,2.33736e-06
221,2.36517e-06
222,2.38605e-06
223,2.395e-06
224,2.395e-06
225,2.37973e-06
226,2.40439e-06
227,2.49479e-06
228,2.45861e-06
229,2.45861e-06
230,2.42012e-06
231,2.41033e-06
232,2.41033e-06
233,2.39975e-06
234,2.38612e-06
235,2.38612e-06
236,2.35252e-06
237,2.35252e-06
238,2.33807e-06
239,2.33807e-06
240,2.29649e-06
241,2.32398e-06
242,2.32398e-06
243,2.32462e-06
244,2.30693e-06
245,2.3086e-06
246,2.3086e-06
247,2.3086e-06
248,2.3086e-06
249,2.3086e-06
250,2.3396e-06
251,2.3396e-06
252,2.34802e-06
253,2.34802e-06
254,2.36836e-06
255,2.31875e-06
256,2.31875e-06
257,2.34995e-06
258,2.34995e-06
259,2.32622e-06
260,2.32622e-06
261,2.36005e-06
262,2.34814e-06
263,2.34814e-06
264,2.32483e-06
265,2.32483e-06
266,2.32483e-06
267,2.32483e-06
268,2.31307e-06
269,2.40318e-06
270,2.39411e-06
271,2.41033e-06
272,2.4492e-06
273,2.42049e-06
274,2.42049e-06
275,2.42049e-06
276,2.4437e-06
277,2.49974e-06
278,2.47605e-06
279,2.47605e-06
280,2.40935e-06
281,2.40935e-06
282,2.4233e-06
283,2.44462e-06
284,2.44462e-06
285,2.44462e-06
286,2.47747e-06
287,2.47747e-06
288,2.42625e-06
289,2.42625e-06
290,2.47537e-06
291,2.47537e-06
292,2.50453e-06
293,2.50453e-06
294,2.484e-06
295,2.484e-06
296,2.4642e-06
297,2.4642e-06
298,2.4642e-06
299,2.48266e-06
300,2.48266e-06
301,2.49018e-06
302,2.54549e-06
303,2.49533e-06
304,2.49533e-06
305,2.49533e-06
306,2.50218e-06
307,2.48585e-06
308,2.44802e-06
309,2.4274e-06
310,2.43592e-06
311,2.42052e-06
312,2.43091e-06
313,2.41072e-06
314,2.41717e-06
315,2.43785e-06
316,2.43785e-06
317,2.41303e-06
318,2.37888e-06
319,2.40627e-06
320,2.40627e-06
321,2.40627e-06
322,2.43918e-06
323,2.38233e-06
324,2.40596e-06
325,2.41369e-06
326,2.46236e-06
327,2.45391e-06
328,2.46888e-06
329,2.4422e-06
330,2.40476e-06
331,2.41999e-06
332,2.3914e-06
333,2.3914e-06
334,2.3914e-06
335,2.40687e-06
336,2.40034e-06
337,2.39076e-06
338,2.4694e-06
339,2.43675e-06
340,2.43675e-06
341,2.36831e-06
342,2.40425e-06
343,2.40425e-06
344,2.36954e-06
345,2.47219e-06
346,2.47219e-06
347,2.46628e-06
348,2.46628e-06
349,2.38116e-06
350,2.42915e-06
351,2.42915e-06
352,2.38604e-06
353,2.38604e-06
354,2.35857e-06
355,2.35857e-06
356,2.4071e-06
357,2.4071e-06
358,2.44052e-06
359,2.44788e-06
360,2.41997e-06
361,2.41997e-06
362,2.44618e-06
