MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.875912,-0.855248,-0.189137
2,0.871667,-0.84648,-0.208025
3,0.86766,-0.825585,-0.266914
4,0.868123,-0.818761,-0.28856
5,0.869167,-0.812806,-0.307893
6,0.877753,-0.80477,-0.350421
7,0.871946,-0.811068,-0.320094
8,0.875027,-0.816175,-0.315484
9,0.871922,-0.823793,-0.285683
10,0.866477,-0.817142,-0.288202
11,0.872443,-0.819616,-0.298974
12,0.877442,-0.839645,-0.254756
13,0.880387,-0.84543,-0.245619
14,0.867484,-0.831553,-0.247083
15,0.871977,-0.842916,-0.223241
16,0.864771,-0.832139,-0.235316
17,0.868267,-0.838874,-0.224006
18,0.871917,-0.839009,-0.237284
19,0.868339,-0.842289,-0.211096
20,0.870512,-0.833796,-0.25015
21,0.871776,-0.837838,-0.240877
22,0.868794,-0.841404,-0.216434
23,0.861155,-0.820761,-0.26065
24,0.866602,-0.834335,-0.234274
25,0.869516,-0.836759,-0.236415
26,0.871817,-0.831244,-0.262865
27,0.861036,-0.82776,-0.237058
28,0.865897,-0.833451,-0.234811
29,0.863121,-0.813098,-0.28957
30,0.864475,-0.823641,-0.262549
31,0.867192,-0.822022,-0.276228
32,0.861792,-0.81332,-0.284949
33,0.864052,-0.808316,-0.305305
34,0.861355,-0.815159,-0.278295
35,0.863681,-0.819769,-0.271891
36,0.86439,-0.81714,-0.281874
37,0.858704,-0.811488,-0.280822
38,0.860663,-0.80138,-0.313896
39,0.866016,-0.813028,-0.298277
40,0.863238,-0.80773,-0.304551
41,0.867303,-0.80939,-0.311614
42,0.869973,-0.81374,-0.307702
43,0.863907,-0.814098,-0.289102
44,0.863801,-0.817604,-0.278704
45,0.861034,-0.815109,-0.277446
46,0.865316,-0.826036,-0.25775
47,0.865316,-0.826036,-0.25775
48,0.865316,-0.826036,-0.25775
49,0.863199,-0.821816,-0.264065
50,0.864297,-0.825631,-0.255622
51,0.859396,-0.824251,-0.243253
52,0.8608,-0.837075,-0.200704
53,0.8608,-0.837075,-0.200704
54,0.858973,-0.834529,-0.203461
55,0.864662,-0.83746,-0.215177
56,0.857853,-0.835882,-0.192903
57,0.857853,-0.835882,-0.192903
58,0.856306,-0.829594,-0.212214
59,0.856306,-0.829594,-0.212214
60,0.857579,-0.827261,-0.22601
61,0.857128,-0.830801,-0.210803
62,0.863911,-0.83308,-0.228736
63,0.857654,-0.826043,-0.230705
64,0.854205,-0.824416,-0.223616
65,0.862465,-0.834213,-0.21894
66,0.864712,-0.83508,-0.224428
67,0.861635,-0.83642,-0.206921
68,0.861635,-0.83642,-0.206921
69,0.859604,-0.834529,-0.206109
70,0.86202,-0.833611,-0.219479
71,0.861459,-0.833816,-0.216475
72,0.856071,-0.829233,-0.212675
73,0.859755,-0.83261,-0.214333
74,0.86492,-0.838844,-0.210778
75,0.857791,-0.836908,-0.188128
76,0.855299,-0.836735,-0.177231
77,0.853578,-0.83924,-0.155794
78,0.853578,-0.83924,-0.155794
79,0.851877,-0.836019,-0.163605
80,0.853469,-0.835106,-0.176089
81,0.858187,-0.833324,-0.205079
82,0.862424,-0.836172,-0.211165
83,0.856474,-0.83007,-0.211026
84,0.856474,-0.83007,-0.211026
85,0.863306,-0.842889,-0.186641
86,0.859101,-0.84752,-0.140588
87,0.859023,-0.846994,-0.143258
88,0.859043,-0.835626,-0.199208
89,0.860486,-0.836164,-0.203141
90,0.860906,-0.842782,-0.175719
91,0.860906,-0.842782,-0.175719
92,0.858255,-0.838284,-0.184069
93,0.862385,-0.845711,-0.16876
94,0.862345,-0.845135,-0.171423
95,0.858405,-0.84404,-0.156381
96,0.858972,-0.834919,-0.201849
97,0.856693,-0.834424,-0.194064
98,0.855476,-0.821456,-0.23885
99,0.850293,-0.806806,-0.268444
100,0.840255,-0.796556,-0.267444
101,0.840255,-0.796556,-0.267444
102,0.840255,-0.796556,-0.267444
103,0.840255,-0.796556,-0.267444
104,0.840255,-0.796556,-0.267444
105,0.840255,-0.796556,-0.267444
106,0.846126,-0.800104,-0.275253
107,0.851131,-0.797895,-0.29629
108,0.853956,-0.78716,-0.33109
109,0.85104,-0.781499,-0.336941
110,0.852411,-0.78357,-0.335593
111,0.852043,-0.781899,-0.338543
112,0.852043,-0.781899,-0.338543
113,0.852043,-0.781899,-0.338543
114,0.859792,-0.798022,-0.320003
115,0.859792,-0.798022,-0.320003
116,0.861412,-0.811667,-0.28849
117,0.853387,-0.804934,-0.283463
118,0.855314,-0.795491,-0.314254
119,0.855314,-0.795491,-0.314254
120,0.855314,-0.795491,-0.314254
121,0.853052,-0.789074,-0.324131
122,0.857901,-0.804652,-0.297539
123,0.857901,-0.804652,-0.297539
124,0.860468,-0.80809,-0.295629
125,0.860468,-0.80809,-0.295629
126,0.860468,-0.80809,-0.295629
127,0.860468,-0.80809,-0.295629
128,0.851237,-0.793183,-0.308976
129,0.853668,-0.80087,-0.29556
130,0.853668,-0.80087,-0.29556
131,0.849325,-0.797192,-0.29298
132,0.849344,-0.806339,-0.266839
133,0.847488,-0.809037,-0.252379
134,0.847488,-0.809037,-0.252379
135,0.846538,-0.798411,-0.281364
136,0.846538,-0.798411,-0.281364
137,0.854445,-0.79392,-0.315859
138,0.854445,-0.79392,-0.315859
139,0.84672,-0.77656,-0.337475
140,0.842343,-0.779709,-0.318741
141,0.850288,-0.809084,-0.261481
142,0.851177,-0.802124,-0.28478
143,0.851177,-0.802124,-0.28478
144,0.851035,-0.797185,-0.29792
145,0.850787,-0.800729,-0.287527
146,0.854384,-0.798055,-0.30509
147,0.855015,-0.795316,-0.313883
148,0.852073,-0.796741,-0.302045
149,0.851988,-0.789168,-0.32109
150,0.852912,-0.791323,-0.318225
151,0.852912,-0.791323,-0.318225
152,0.852912,-0.791323,-0.318225
153,0.852912,-0.791323,-0.318225
154,0.859565,-0.811141,-0.284431
155,0.859565,-0.811141,-0.284431
156,0.85948,-0.819774,-0.25822
157,0.855081,-0.812285,-0.267125
158,0.859833,-0.819254,-0.26103
159,0.85253,-0.800305,-0.293803
160,0.852416,-0.796872,-0.302666
161,0.852416,-0.796872,-0.302666
162,0.848552,-0.795566,-0.295152
163,0.853604,-0.797597,-0.304101
164,0.850491,-0.794061,-0.304635
165,0.850491,-0.794061,-0.304635
166,0.854381,-0.79204,-0.320374
167,0.854381,-0.79204,-0.320374
168,0.854298,-0.794198,-0.314761
169,0.85432,-0.803541,-0.290145
170,0.85432,-0.803541,-0.290145
171,0.85432,-0.803541,-0.290145
172,0.85432,-0.803541,-0.290145
173,0.853372,-0.807035,-0.277379
174,0.852517,-0.794053,-0.310267
175,0.856279,-0.79017,-0.329917
176,0.856279,-0.79017,-0.329917
177,0.852377,-0.78415,-0.334147
178,0.852377,-0.78415,-0.334147
179,0.853592,-0.790625,-0.321764
