t,deltaS
1,1.751
2,-0.1069
3,-0.02133
4,-0.03248
5,-0.02079
6,-0.05599
7,0.1178
8,-0.04485
9,-0.04648
10,-0.008351
11,0.09202
12,-0.6259
13,-0.4003
14,-0.1362
15,0.0928
16,-0.2263
17,-0.005063
18,-0.1674
19,0.3816
20,-0.6541
21,-0.2318
22,0.534
23,0.8314
24,0.06212
25,-0.2689
26,-0.1989
27,-1.046
28,-1.018
29,-0.8904
30,-0.1043
31,-0.5906
32,-0.7667
33,-0.01556
34,-1.697
35,0.04641
36,0.3496
37,-2.089
38,-1.137
39,-0.2505
40,0.5062
41,-1.613
42,0.2265
43,0.008954
44,0.6204
45,0.6164
46,-0.1954
47,1.833
48,1.693
49,0.03313
50,0.5261
51,0.06647
52,-0.04548
53,0.6703
54,-1.039
55,-0.3041
56,0.5144
57,1.072
58,-0.08814
59,0.7442
60,-0.3478
61,-0.4235
62,0.6292
63,-0.4606
64,-0.1783
65,-1.754
66,-0.2774
67,-0.9287
68,1.112
69,-0.1711
70,0.2318
71,-0.3406
72,0.5799
73,0.7224
74,-0.6515
75,-2.132
76,-0.9309
77,-0.1076
78,1.458
79,-0.4977
80,-0.3553
81,0.06916
82,-0.8183
83,0.803
84,1.057
85,-0.6887
86,-1.414
87,0.5941
88,-0.4175
89,-0.8341
90,0.3001
91,1.313
92,-0.09609
93,-0.4807
94,0.8202
95,-1.732
96,-1.516
97,1.012
98,0.5971
99,-1.084
100,-0.2791
101,0.8002
102,1.288
103,1.225
104,2.573
105,0.796
106,0.8802
107,0.05909
108,-0.3454
109,-0.5488
110,0.7726
111,-0.6055
112,0.2986
113,0.1307
114,1.137
115,2.268
116,0.05786
117,-0.1178
118,-0.2948
119,0.8283
120,0.2478
121,-0.3889
122,-1.413
123,1.709
124,-0.1852
125,1.51
126,0.9452
127,1.135
128,-0.2203
129,1.592
130,0.6996
131,-1.624
132,0.8264
133,0.3872
134,0.8368
135,-0.4983
136,1.136
137,-1.252
138,1.269
139,-0.6889
140,-0.05589
141,-0.2665
142,-1.308
143,1.22
144,0.2059
145,-1.815
146,0.01805
147,-0.7045
148,0.2323
149,-2.282
150,-1.146
151,2.094
152,0.4856
153,0.5354
154,-0.3079
155,1.233
156,-0.3473
157,0.799
158,-1.196
159,1.647
160,-2.259
161,0.1455
162,0.5927
163,0.5905
164,0.3183
165,1.062
166,0.1955
167,0.8455
168,-0.6839
169,1.539
170,0.7186
171,0.5033
172,0.5934
173,0.2209
174,-0.2003
175,0.4681
176,2.297
177,-0.6557
178,0.4568
179,-0.6655
180,-0.466
181,-1.132
182,1.052
183,0.652
184,-0.9636
185,-0.8992
186,0.5125
187,0.6782
188,-0.6455
189,-0.01752
190,0.2383
191,0.04196
192,0.3129
193,0.2987
194,0.223
195,-0.2477
196,0.1665
197,0.4067
198,1.483
199,-0.009948
200,-0.261
201,-0.288
202,-2.138
203,1.996
204,-0.03641
205,0.2141
206,0.7139
207,-0.4459
208,-1.604
209,1.529
210,0.5924
211,-1.8
212,-0.5787
213,0.7919
214,1.452
215,1.227
216,2.303
217,2.265
218,0.2719
219,3.194
220,1.79
221,-1.534
222,-0.002095
223,-0.5829
224,2.248
225,2.038
226,-0.0866
227,0.3354
228,-0.8577
229,-0.5188
230,0.2931
231,1.908
232,1.125
233,-0.1844
234,-1.9
235,1.605
236,-0.3798
237,-0.2859
238,-1.217
239,2.238
240,-0.08877
241,2.408
242,1.159
243,0.09089
244,2.963
245,-1.303
246,-0.09176
247,0.8018
248,-0.3428
249,1.496
250,-0.2611
251,0.2787
252,0.8201
253,1.163
254,0.2458
255,0.2949
256,0.7899
257,-2.253
258,0.1792
259,0.1452
260,0.5856
261,0.5515
262,2.153
263,1.02
264,0.5935
265,1.918
266,0.2943
267,-0.02199
268,0.521
269,1.588
270,0.5725
271,-1.753
272,0.7323
273,1.12
274,0.05858
275,-0.9247
276,-0.08931
277,1.385
278,-1.51
279,0.3069
280,0.7355
281,0.939
282,-0.2335
283,1.037
284,-0.09377
285,-0.3587
286,1.153
287,0.6213
288,1.823
289,0.9088
290,0.6802
291,-0.2002
292,-0.4998
293,0.2915
294,1.074
295,1.164
296,0.9731
297,2.572
298,0.1417
299,1.016
300,2.067
301,1.27
302,1.848
303,0.248
304,-1.005
305,1.218
306,-0.6525
307,0.3843
308,0.3057
309,0.7073
310,1.806
311,1.137
312,0.6385
313,-0.1575
314,2.208
315,-2.036
316,0.9028
317,-0.146
318,0.5268
319,-0.248
320,0.3646
321,-1.914
322,-0.04727
323,-1.219
324,0.78
325,0.4843
326,-1.981
327,0.2918
328,1.432
329,0.9846
330,-1.485
331,-0.3998
332,-1.09
333,2.269
334,-1.146
335,0.6764
336,1.886
337,1.482
338,0.5392
339,0.3556
340,-0.07238
341,-0.8287
342,-0.6268
343,-0.2372
344,-0.05827
345,-1.342
346,0.6004
347,0.005842
348,1.504
349,0.8864
350,-0.3323
351,2.112
352,1.455
353,0.3935
354,0.3532
355,1.418
356,1.663
357,0.4409
358,-0.558
359,1.825
360,0.2366
361,-0.2406
362,-0.803
363,1.096
364,-0.571
365,0.8477
366,0.4351
367,1.781
368,-1.903
369,-0.0531
370,0.6772
371,1.095
372,0.08719
373,-1.214
374,-0.4209
375,-1.198
376,2.103
377,1.451
378,-0.6637
379,1.793
380,1.023
381,1.122
382,0.9161
383,2.069
384,0.1783
385,0.3218
386,0.8876
387,1.754
388,-1.847
389,2.526
