t,cg_iters
1,32919
2,32691
3,33125
4,33386
5,32648
6,32644
7,32636
8,32392
9,32268
10,32487
11,16396
12,16503
13,16296
14,16341
15,16406
16,16563
17,16723
18,16538
19,16426
20,16582
21,11062
22,10995
23,10996
24,11081
25,11157
26,11042
27,11078
28,11175
29,11139
30,11127
31,8968
32,8910
33,8909
34,9063
35,8964
36,8910
37,8914
38,9050
39,8990
40,8922
41,8813
42,8780
43,8828
44,8854
45,8792
46,8835
47,8792
48,8853
49,8845
50,8955
51,8984
52,9065
53,9040
54,9050
55,8986
56,9075
57,9026
58,9249
59,8994
60,9084
61,8957
62,8834
63,9005
64,9057
65,9007
66,8900
67,8784
68,8827
69,8911
70,9025
71,8964
72,9123
73,9249
74,9034
75,8984
76,9084
77,9112
78,9001
79,9132
80,9205
81,9254
82,9037
83,9029
84,9105
85,9098
86,8983
87,9052
88,9025
89,8994
90,9259
91,8978
92,9172
93,9041
94,8887
95,8865
96,8850
97,8761
98,8799
99,8834
100,8923
101,8307
102,8512
103,8357
104,8527
105,8368
106,8531
107,8518
108,8646
109,8529
110,8383
111,8311
112,8220
113,8292
114,8292
115,8430
116,8393
117,8416
118,8363
119,8296
120,8379
121,8352
122,8406
123,8502
124,8388
125,8370
126,8443
127,8402
128,8495
129,8600
130,8544
131,8506
132,8404
133,8504
134,8470
135,8461
136,8344
137,8283
138,8345
139,8308
140,8431
141,8485
142,8391
143,8476
144,8404
145,8314
146,8278
147,8333
148,8371
149,8428
150,8497
151,8520
152,8385
153,8531
154,8537
155,8496
156,8389
157,8380
158,8394
159,8389
160,8462
161,8526
162,8615
163,8384
164,8290
165,8449
166,8366
167,8406
168,8329
169,8261
170,8312
171,8337
172,8367
173,8333
174,8318
175,8336
176,8326
177,8345
178,8372
179,8347
180,8251
181,8277
182,8315
183,8371
184,8481
185,8448
186,8458
187,8501
188,8477
189,8579
190,8516
191,8462
192,8555
193,8555
194,8619
195,8479
196,8520
197,8460
198,8415
199,8428
200,8397
201,7806
202,7862
203,7964
204,7851
205,7880
206,7920
207,7977
208,7857
209,7824
210,7950
211,7908
212,7838
213,7831
214,7956
215,7895
216,7896
217,7958
218,7930
219,8085
220,7995
221,7926
222,7818
223,7878
224,7869
225,7819
226,7857
227,7848
228,7871
229,7870
230,7997
231,7910
232,8031
233,7913
234,7952
235,7828
236,7973
237,7938
238,7944
239,7885
240,7822
241,7888
242,7839
243,7793
244,7850
245,7863
246,7885
247,7916
248,7849
249,7742
250,7919
251,8587
252,8499
253,8506
254,8470
255,8532
256,8544
257,8535
258,8536
259,8631
260,8541
261,8656
262,8662
263,8613
264,8487
265,8473
266,8578
267,8605
268,8472
269,8508
270,8595
271,8521
272,8484
273,8503
274,8375
275,8531
276,8517
277,8584
