t,|deltaS|
1,0.08258
2,0.03166
3,0.003875
4,0.06764
5,0.1007
6,0.03995
7,0.08317
8,0.1504
9,0.2081
10,0.02086
11,0.2667
12,0.1067
13,0.05824
14,0.01502
15,0.007621
16,0.08472
17,0.02686
18,0.04076
19,0.06318
20,0.2803
21,0.4337
22,0.6041
23,0.1346
24,0.4327
25,0.3672
26,0.3977
27,0.7033
28,0.4638
29,0.8908
30,0.9799
31,0.6273
32,0.9079
33,0.249
34,0.1643
35,0.4883
36,1.091
37,0.07518
38,0.06235
39,0.5576
40,0.03104
41,0.03215
42,0.6867
43,0.1366
44,0.3681
45,0.4773
46,0.6332
47,0.4026
48,0.5789
49,0.1607
50,0.2081
51,0.0981
52,0.8181
53,0.3197
54,0.9018
55,0.5783
56,0.08586
57,0.6732
58,0.03951
59,0.4374
60,0.1386
61,0.03156
62,0.5821
63,0.1001
64,0.0571
65,0.6323
66,0.1622
67,0.3107
68,0.6937
69,0.4761
70,0.07079
71,0.7987
72,0.0007572
73,0.467
74,0.08712
75,0.5119
76,0.252
77,0.4292
78,0.002005
79,0.2477
80,0.677
81,0.2032
82,0.05458
83,0.3638
84,1.247
85,0.5385
86,0.1286
87,0.5138
88,0.2801
89,1.064
90,0.07919
91,0.2335
92,0.1638
93,0.1722
94,0.1005
95,0.9645
96,0.3985
97,0.6033
98,0.00909
99,0.9641
100,0.003531
101,0.2036
102,0.7308
103,1.1
104,0.2258
105,0.687
106,0.0833
107,0.4898
108,0.9002
109,0.4432
110,0.8672
111,0.09679
112,0.04922
113,0.1652
114,0.3561
115,0.1101
116,0.6668
117,0.169
118,0.342
119,0.002479
120,1.063
121,0.2377
122,0.1729
123,1.282
124,0.3332
125,0.754
126,0.2247
127,0.1551
128,0.683
129,0.1059
130,0.6001
131,0.2643
132,0.2709
133,0.2029
134,0.7679
135,0.9044
136,0.2056
137,0.2433
138,0.3599
139,0.8087
140,0.3297
141,0.7225
142,0.1159
143,0.02931
144,0.1614
145,0.6211
146,0.5017
147,0.1758
148,0.2598
149,0.03204
150,0.5941
151,0.3615
