t,G,F1,F2,F3
1,0.002932,0.003149,null,null
2,0.002933,0.003151,null,null
3,0.002921,0.003051,null,null
4,0.002912,0.003046,null,null
5,0.002913,0.003043,null,null
6,0.002914,0.00305,null,null
7,0.002908,0.003054,null,null
8,0.002905,0.003055,null,null
9,0.002903,0.00306,null,null
10,0.002897,0.00306,null,null
11,0.002898,0.003062,null,null
12,0.002898,0.003066,null,null
13,0.002895,0.003068,null,null
14,0.002892,0.003068,null,null
15,0.002896,0.00307,null,null
16,0.002895,0.003067,null,null
17,0.002895,0.003071,null,null
18,0.002893,0.003071,null,null
19,0.00289,0.003075,null,null
20,0.002888,0.003078,null,null
21,0.005767,0.006163,null,null
22,0.005766,0.006174,null,null
23,0.005757,0.006177,null,null
24,0.005759,0.006171,null,null
25,0.005763,0.006169,null,null
26,0.005758,0.006176,null,null
27,0.005757,0.006177,null,null
28,0.005753,0.006176,null,null
29,0.005757,0.006177,null,null
30,0.005758,0.006183,null,null
31,0.00575,0.006179,null,null
32,0.005754,0.006181,null,null
33,0.005751,0.006177,null,null
34,0.005752,0.006174,null,null
35,0.005752,0.006177,null,null
36,0.005758,0.006191,null,null
37,0.00574,0.006197,null,null
38,0.005733,0.006196,null,null
39,0.005733,0.006202,null,null
40,0.005731,0.006197,null,null
41,0.01147,0.01239,null,null
42,0.01148,0.01241,null,null
43,0.01147,0.01239,null,null
44,0.01148,0.0124,null,null
45,0.01146,0.01241,null,null
46,0.01146,0.0124,null,null
47,0.01147,0.01242,null,null
48,0.01147,0.01241,null,null
49,0.01146,0.01241,null,null
50,0.01147,0.0124,null,null
51,0.01147,0.01241,null,null
52,0.01147,0.01241,null,null
53,0.01146,0.01241,null,null
54,0.01146,0.01241,null,null
55,0.01147,0.0124,null,null
56,0.01146,0.01241,null,null
57,0.01147,0.01241,null,null
58,0.01148,0.01242,null,null
59,0.01147,0.01241,null,null
60,0.01146,0.01243,null,null
61,0.01145,0.01241,null,null
62,0.01146,0.01242,null,null
63,0.01146,0.01241,null,null
64,0.01145,0.01243,null,null
65,0.01145,0.01241,null,null
66,0.01146,0.01242,null,null
67,0.01146,0.01243,null,null
68,0.01145,0.01244,null,null
69,0.01143,0.01246,null,null
70,0.01142,0.01247,null,null
71,0.01142,0.01246,null,null
72,0.01142,0.01246,null,null
73,0.01141,0.01247,null,null
74,0.01142,0.01247,null,null
75,0.01141,0.0125,null,null
76,0.01141,0.01249,null,null
77,0.01141,0.01249,null,null
78,0.01142,0.0125,null,null
79,0.01139,0.0125,null,null
80,0.01139,0.01249,null,null
81,0.01139,0.0125,null,null
82,0.01139,0.0125,null,null
83,0.01139,0.01252,null,null
84,0.01139,0.01251,null,null
85,0.01139,0.01251,null,null
86,0.01139,0.01251,null,null
87,0.01138,0.01251,null,null
88,0.01139,0.01251,null,null
89,0.01139,0.01252,null,null
90,0.01138,0.01252,null,null
91,0.01138,0.01253,null,null
92,0.01138,0.01251,null,null
93,0.01139,0.01252,null,null
94,0.01137,0.01253,null,null
95,0.01137,0.01252,null,null
96,0.01137,0.01252,null,null
97,0.01137,0.01252,null,null
98,0.01137,0.01252,null,null
99,0.01137,0.01252,null,null
100,0.01138,0.01252,null,null
101,0.01139,0.01252,null,null
102,0.01137,0.01253,null,null
103,0.01138,0.01251,null,null
104,0.01137,0.01252,null,null
105,0.01138,0.01252,null,null
106,0.01137,0.01252,null,null
107,0.01138,0.01251,null,null
108,0.01139,0.01252,null,null
109,0.01139,0.01252,null,null
