t,eps_f,eps_g
10,0.00833333,0.000833333
20,0.00833333,0.000833333
30,0.0166667,0.00166667
40,0.0166667,0.00166667
50,0.0333333,0.00333333
60,0.0333333,0.00333333
70,0.0333333,0.00333333
80,0.0333333,0.00333333
90,0.0333333,0.00333333
100,0.0333333,0.00333333
110,0.0333333,0.00333333
120,0.0333333,0.00333333
130,0.0333333,0.00333333
140,0.0333333,0.00333333
150,0.0333333,0.00333333
160,0.0333333,0.00333333
170,0.0333333,0.00333333
180,0.0333333,0.00333333
190,0.0333333,0.00333333
200,0.0333333,0.00333333
210,0.0333333,0.00333333
220,0.0333333,0.00333333
230,0.0333333,0.00333333
240,0.0333333,0.00333333
250,0.0333333,0.00333333
260,0.0333333,0.00333333
270,0.0333333,0.00333333
280,0.0333333,0.00333333
290,0.0333333,0.00333333
300,0.0333333,0.00333333
310,0.0333333,0.00333333
320,0.0333333,0.00333333
330,0.0333333,0.00333333
340,0.0333333,0.00333333
350,0.0333333,0.00333333
360,0.0333333,0.00333333
370,0.0333333,0.00333333
380,0.0333333,0.00333333
390,0.0333333,0.00333333
400,0.0333333,0.00333333
410,0.0333333,0.00333333
420,0.0333333,0.00333333
430,0.0333333,0.00333333
440,0.0333333,0.00333333
450,0.0333333,0.00333333
460,0.0333333,0.00333333
470,0.0333333,0.00333333
480,0.0333333,0.00333333
490,0.0333333,0.00333333
500,0.0333333,0.00333333
510,0.0333333,0.00333333
520,0.0333333,0.00333333
530,0.0333333,0.00333333
540,0.0333333,0.00333333
550,0.0333333,0.00333333
560,0.0333333,0.00333333
570,0.0333333,0.00333333
580,0.0333333,0.00333333
590,0.0333333,0.00333333
600,0.0333333,0.00333333
610,0.0333333,0.00333333
620,0.0333333,0.00333333
630,0.0333333,0.00333333
640,0.0333333,0.00333333
650,0.0333333,0.00333333
660,0.0333333,0.00333333
670,0.0333333,0.00333333
680,0.0333333,0.00333333
690,0.0333333,0.00333333
700,0.0333333,0.00333333
710,0.0333333,0.00333333
720,0.0333333,0.00333333
730,0.0333333,0.00333333
740,0.0333333,0.00333333
750,0.0333333,0.00333333
760,0.0333333,0.00333333
770,0.0333333,0.00333333
780,0.0333333,0.00333333
790,0.0333333,0.00333333
800,0.0333333,0.00333333
810,0.0333333,0.00333333
820,0.0333333,0.00333333
830,0.0333333,0.00333333
840,0.0333333,0.00333333
850,0.0333333,0.00333333
860,0.0333333,0.00333333
870,0.0333333,0.00333333
880,0.0333333,0.00333333
890,0.0333333,0.00333333
900,0.0333333,0.00333333
910,0.0333333,0.00333333
920,0.0333333,0.00333333
930,0.0333333,0.00333333
940,0.0333333,0.00333333
950,0.0333333,0.00333333
960,0.0333333,0.00333333
970,0.0333333,0.00333333
980,0.0333333,0.00333333
990,0.0333333,0.00333333
1000,0.0333333,0.00333333
1010,0.0333333,0.00333333
1020,0.0333333,0.00333333
1030,0.0333333,0.00333333
1040,0.0333333,0.00333333
1050,0.0333333,0.00333333
1060,0.0333333,0.00333333
1070,0.0333333,0.00333333
