t,N_f,N_g
10,120,1200
20,120,1200
30,60,600
40,60,600
50,30,300
60,30,300
70,30,300
80,30,300
90,30,300
100,30,300
110,30,300
120,30,300
130,30,300
140,30,300
150,30,300
160,30,300
170,30,300
180,30,300
190,30,300
200,30,300
210,30,300
220,30,300
230,30,300
240,30,300
250,30,300
260,30,300
270,30,300
280,30,300
290,30,300
300,30,300
310,30,300
320,30,300
330,30,300
340,30,300
350,30,300
360,30,300
370,30,300
380,30,300
390,30,300
400,30,300
410,30,300
420,30,300
430,30,300
440,30,300
450,30,300
460,30,300
470,30,300
480,30,300
490,30,300
500,30,300
510,30,300
520,30,300
530,30,300
540,30,300
550,30,300
560,30,300
570,30,300
580,30,300
590,30,300
600,30,300
610,30,300
620,30,300
630,30,300
640,30,300
650,30,300
660,30,300
670,30,300
680,30,300
690,30,300
700,30,300
710,30,300
720,30,300
730,30,300
740,30,300
750,30,300
760,30,300
770,30,300
780,30,300
790,30,300
800,30,300
810,30,300
820,30,300
830,30,300
840,30,300
850,30,300
860,30,300
870,30,300
880,30,300
890,30,300
900,30,300
910,30,300
920,30,300
930,30,300
940,30,300
950,30,300
960,30,300
970,30,300
980,30,300
990,30,300
1000,30,300
1010,30,300
1020,30,300
1030,30,300
1040,30,300
1050,30,300
1060,30,300
1070,30,300
1080,30,300
1090,30,300
1100,30,300
1110,30,300
1120,30,300
1130,30,300
1140,30,300
1150,30,300
1160,30,300
1170,30,300
1180,30,300
1190,30,300
1200,30,300
1210,30,300
1220,30,300
1230,30,300
1240,30,300
1250,30,300
1260,30,300
1270,30,300
1280,30,300
1290,30,300
1300,30,300
1310,30,300
1320,30,300
1330,30,300
1340,30,300
1350,30,300
1360,30,300
1370,30,300
1380,30,300
1390,30,300
1400,30,300
1410,30,300
1420,30,300
1430,30,300
1440,30,300
1450,30,300
1460,30,300
1470,30,300
1480,30,300
1490,30,300
1500,30,300
1510,30,300
1520,30,300
1530,30,300
1540,30,300
1550,30,300
1560,30,300
1570,30,300
1580,30,300
1590,30,300
1600,30,300
1610,30,300
1620,30,300
1630,30,300
1640,30,300
1650,30,300
1660,30,300
1670,30,300
1680,30,300
1690,30,300
1700,30,300
1710,30,300
1720,30,300
1730,30,300
1740,30,300
1750,30,300
1760,30,300
1770,30,300
1780,30,300
1790,30,300
1800,30,300
1810,30,300
1820,30,300
1830,30,300
1840,30,300
1850,30,300
1860,30,300
1870,30,300
1880,30,300
1890,30,300
1900,30,300
1910,30,300
1920,30,300
1930,30,300
1940,30,300
1950,30,300
1960,30,300
1970,30,300
1980,30,300
1990,30,300
2000,30,300
2010,30,300
2020,30,300
2030,30,300
2040,30,300
2050,30,300
2060,30,300
2070,30,300
2080,30,300
2090,30,300
2100,30,300
2110,30,300
2120,30,300
2130,30,300
2140,30,300
2150,30,300
2160,30,300
2170,30,300
2180,30,300
2190,30,300
2200,30,300
2210,30,300
2220,30,300
2230,30,300
2240,30,300
2250,30,300
2260,30,300
2270,30,300
2280,30,300
2290,30,300
2300,30,300
2310,30,300
2320,30,300
2330,30,300
2340,30,300
2350,30,300
2360,30,300
2370,30,300
2380,30,300
2390,30,300
2400,30,300
2410,30,300
2420,30,300
2430,30,300
2440,30,300
2450,30,300
2460,30,300
2470,30,300
2480,30,300
2490,30,300
2500,30,300
2510,30,300
2520,30,300
2530,30,300
2540,30,300
2550,30,300
2560,30,300
2570,30,300
2580,30,300
2590,30,300
2600,30,300
2610,30,300
2620,30,300
2630,30,300
2640,30,300
2650,30,300
2660,30,300
2670,30,300
2680,30,300
2690,30,300
2700,30,300
2710,30,300
2720,30,300
2730,30,300
2740,30,300
2750,30,300
2760,30,300
2770,30,300
2780,30,300
2790,30,300
2800,30,300
2810,30,300
2820,30,300
2830,30,300
2840,30,300
2850,30,300
2860,30,300
2870,30,300
2880,30,300
2890,30,300
2900,30,300
2910,30,300
2920,30,300
2930,30,300
2940,30,300
2950,30,300
2960,30,300
2970,30,300
2980,30,300
2990,30,300
3000,30,300
3010,30,300
3020,30,300
3030,30,300
3040,30,300
3050,30,300
3060,30,300
3070,30,300
3080,30,300
3090,30,300
3100,30,300
3110,30,300
3120,30,300
3130,30,300
3140,30,300
3150,30,300
3160,30,300
3170,30,300
