t,cost
10,11023.2
20,10699.2
30,3220.56
40,3129.12
50,3120.48
60,3036.96
70,3107.52
80,3108.24
90,3060.72
100,3024.72
110,2972.88
120,3055.68
130,2998.8
140,2956.32
150,2952
160,2994.48
170,2984.4
180,2936.88
190,2924.64
200,2784.24
210,2764.8
220,2801.52
230,3158.64
240,3107.52
250,3028.32
260,2981.52
270,2921.04
280,2906.64
290,2988.72
300,2987.28
310,2957.04
320,2977.2
330,2971.44
340,3006
350,2954.88
360,2977.92
370,2965.68
380,2961.36
390,2945.52
400,3524.4
410,3671.28
420,3070.8
430,2977.2
440,2908.08
450,2890.08
460,2899.44
470,2892.96
480,2898.72
490,2903.76
500,2904.48
510,2927.52
520,2892.96
530,2974.32
540,3007.44
550,2938.32
560,2867.04
570,2946.96
580,3065.76
590,3049.2
600,3137.76
610,3263.04
620,3143.52
630,3120.48
640,3156.48
650,3106.8
660,3131.28
670,3145.68
680,3193.92
690,3134.16
700,3156.48
710,3093.12
720,3149.28
730,3070.08
740,3181.68
750,3166.56
760,3169.44
770,3115.44
780,3138.48
790,3160.08
800,3969.36
810,4100.4
820,4121.28
830,4081.68
840,4045.68
850,4105.44
860,4023.36
870,4183.92
880,4164.48
890,4094.64
900,4192.56
910,4093.2
920,4102.56
930,4053.6
940,3975.84
950,4227.84
960,3121.2
970,3273.84
980,3156.48
990,3185.28
1000,3165.84
1010,3155.04
1020,3111.84
1030,3108.96
1040,3096.72
1050,3074.4
1060,3122.64
1070,3145.68
1080,3119.76
1090,3082.32
1100,3065.04
1110,3059.28
1120,3050.64
1130,3090.24
1140,3026.16
1150,3006.72
1160,3090.96
1170,3144.96
1180,3151.44
1190,3088.8
1200,3051.36
1210,3028.32
1220,3057.12
1230,3039.84
1240,3029.76
1250,3013.92
1260,3059.28
1270,3069.36
1280,3064.32
1290,3053.52
1300,3085.92
1310,3016.8
1320,2995.2
1330,3002.4
1340,2965.68
1350,2968.56
1360,2975.04
1370,2958.48
1380,2972.16
1390,2957.04
1400,2970.72
1410,2967.12
1420,2981.52
1430,2959.2
1440,2946.24
1450,2971.44
1460,2951.28
1470,2975.76
1480,3049.2
1490,3525.84
1500,3447.36
1510,3409.92
1520,3211.2
1530,3290.4
1540,3205.44
1550,3165.12
1560,3141.36
1570,3062.88
1580,2989.44
1590,3042.72
1600,3057.12
1610,3213.36
1620,4512.24
1630,4065.84
1640,4674.96
1650,3765.6
1660,4580.64
1670,4127.04
1680,4511.52
1690,3858.48
1700,5359.68
1710,5014.08
1720,4215.6
1730,2779.2
1740,2836.08
1750,2835.36
1760,2804.4
1770,2809.44
1780,2806.56
1790,2836.08
1800,2969.28
1810,3718.08
1820,5216.4
1830,4204.8
1840,4429.44
1850,6491.52
1860,2676.96
1870,2669.04
1880,2638.8
1890,2657.52
1900,2640.96
1910,2613.6
1920,2683.44
1930,2676.96
1940,2724.48
1950,2694.96
1960,2701.44
1970,2653.92
1980,2673.36
1990,2633.04
2000,2651.76
2010,2668.32
2020,2609.28
2030,2608.56
2040,2655.36
2050,2631.6
2060,2834.64
2070,2808.72
2080,2808.72
2090,2821.68
2100,2830.32
2110,2817.36
2120,2839.68
2130,2818.8
2140,2838.24
2150,2811.6
2160,2818.8
2170,2809.44
2180,2802.96
2190,2818.8
2200,2824.56
2210,2821.68
2220,2824.56
2230,2800.08
2240,2818.08
2250,2843.28
2260,2863.44
2270,2872.08
2280,2863.44
2290,2873.52
2300,2906.64
2310,2851.92
2320,2823.12
2330,2831.04
2340,2856.96
2350,2903.04
2360,2932.56
2370,2952.72
2380,3192.48
2390,3028.32
2400,3018.24
2410,3144.96
2420,3075.12
2430,3059.28
2440,3121.92
2450,3049.2
2460,2946.24
2470,2912.4
2480,2936.16
2490,2897.28
2500,2898
2510,2914.56
2520,2907.36
2530,2990.88
2540,2948.4
2550,2942.64
2560,2919.6
2570,3079.44
2580,2924.64
2590,2898.72
2600,2916.72
2610,2900.88
2620,2908.8
2630,2944.8
2640,2928.96
2650,2920.32
2660,2957.76
2670,2934.72
2680,2922.48
2690,2886.48
2700,2915.28
2710,2908.8
2720,2874.24
2730,2899.44
2740,2902.32
2750,2910.24
2760,2881.44
2770,2864.16
2780,2939.04
2790,2936.88
2800,2942.64
2810,2941.2
2820,2911.68
2830,2904.48
2840,2892.96
2850,2892.96
2860,2780.64
2870,2807.28
2880,2813.04
2890,2785.68
2900,2787.12
2910,2790.72
2920,2784.96
2930,2766.24
2940,2769.84
2950,2779.2
2960,2810.16
2970,2816.64
2980,2797.2
2990,2789.28
3000,2794.32
3010,2759.76
3020,2776.32
3030,2790
3040,2813.76
3050,2825.28
3060,2827.44
3070,2841.84
3080,2800.8
3090,2797.92
3100,2759.76
3110,2773.44
3120,2777.76
3130,2774.88
3140,2787.84
3150,2795.76
3160,2782.8
3170,2782.08
3180,2766.24
3190,2754.72
3200,2779.92
3210,2790
3220,2769.84
3230,2774.16
3240,2769.84
3250,2803.68
3260,2779.2
3270,2728.8
3280,2769.12
3290,2741.04
3300,2736
3310,2751.84
3320,2754
3330,2752.56
3340,2769.12
3350,2748.24
3360,2734.56
3370,2760.48
3380,2728.08
3390,2698.56
3400,2699.28
3410,2723.76
3420,2761.92
3430,2764.08
3440,2772
3450,2769.84
3460,2764.08
3470,2746.08
3480,2704.32
3490,2734.56
3500,2712.96
3510,2707.2
3520,2715.12
3530,2700
3540,2629.44
3550,2629.44
3560,2632.32
3570,2609.28
3580,2637.36
3590,2656.8
3600,2653.2
3610,2658.96
3620,2632.32
3630,2630.16
3640,2615.76
3650,2640.96
3660,2633.04
3670,2617.2
3680,2624.4
3690,2702.16
3700,2728.8
3710,2763.36
3720,2754
3730,2759.04
3740,2747.52
3750,2741.76
3760,2754
3770,2669.04
3780,2749.68
3790,2730.96
3800,2726.64
3810,2699.28
3820,2694.96
3830,2693.52
3840,2660.4
3850,2702.16
3860,2750.4
3870,2769.84
3880,2762.64
3890,2755.44
3900,2795.04
3910,2781.36
3920,2766.24
3930,2756.16
3940,2770.56
3950,2765.52
3960,2734.56
3970,2713.68
3980,2694.96
3990,2645.28
4000,2641.68
4010,2653.2
4020,2650.32
4030,2636.64
4040,2620.08
4050,2622.24
4060,2650.32
4070,2633.76
4080,2636.64
4090,2631.6
4100,2636.64
4110,2621.52
4120,2652.48
4130,2640.96
4140,2607.12
4150,2637.36
4160,2615.04
4170,2619.36
4180,2611.44
4190,2620.8
4200,2646.72
4210,2637.36
4220,2625.84
4230,2625.84
4240,2622.96
4250,2612.16
