t,G,F1,F2,F3
1,0.001415,0.001658,null,null
2,0.001415,0.001658,null,null
3,0.001414,0.001657,null,null
4,0.001405,0.001586,null,null
5,0.0014,0.001583,null,null
6,0.001401,0.00158,null,null
7,0.001398,0.001581,null,null
8,0.001399,0.001582,null,null
9,0.001397,0.001581,null,null
10,0.001399,0.001582,null,null
11,0.001399,0.001583,null,null
12,0.001397,0.001582,null,null
13,0.001396,0.001583,null,null
14,0.001396,0.001586,null,null
15,0.001395,0.001584,null,null
16,0.001395,0.001585,null,null
17,0.001395,0.001587,null,null
18,0.001393,0.001587,null,null
19,0.001393,0.001588,null,null
20,0.001393,0.00159,null,null
21,0.005563,0.006359,null,null
22,0.00556,0.006358,null,null
23,0.005566,0.006362,null,null
24,0.005564,0.006361,null,null
25,0.005565,0.00636,null,null
26,0.005564,0.006364,null,null
27,0.005562,0.006368,null,null
28,0.005557,0.006368,null,null
29,0.005559,0.006373,null,null
30,0.005555,0.006377,null,null
31,0.00555,0.006378,null,null
32,0.005552,0.006384,null,null
33,0.005545,0.006383,null,null
34,0.005546,0.006382,null,null
35,0.005547,0.00639,null,null
36,0.005539,0.00639,null,null
37,0.005536,0.006397,null,null
38,0.005532,0.0064,null,null
39,0.005531,0.006399,null,null
40,0.005531,0.006401,null,null
41,0.00553,0.006403,null,null
42,0.005529,0.006404,null,null
43,0.005525,0.006407,null,null
44,0.005524,0.00641,null,null
45,0.005519,0.006412,null,null
46,0.005522,0.006417,null,null
47,0.005518,0.006414,null,null
48,0.005515,0.006421,null,null
49,0.005515,0.006418,null,null
50,0.005516,0.006427,null,null
51,0.005508,0.006428,null,null
52,0.00551,0.006436,null,null
53,0.005505,0.006435,null,null
54,0.005502,0.006436,null,null
55,0.005501,0.006435,null,null
56,0.005506,0.006442,null,null
57,0.005501,0.00644,null,null
58,0.005496,0.006443,null,null
59,0.005493,0.006447,null,null
60,0.005492,0.006449,null,null
61,0.005492,0.006456,null,null
62,0.005484,0.006454,null,null
63,0.005484,0.006453,null,null
64,0.005483,0.006457,null,null
65,0.005484,0.006459,null,null
66,0.005483,0.006457,null,null
67,0.005486,0.006454,null,null
68,0.005485,0.006455,null,null
69,0.005484,0.006458,null,null
70,0.005483,0.006459,null,null
71,0.005486,0.006455,null,null
72,0.005483,0.006458,null,null
73,0.005487,0.006458,null,null
74,0.005482,0.006462,null,null
75,0.00548,0.006468,null,null
76,0.005482,0.00647,null,null
77,0.005475,0.00647,null,null
78,0.005472,0.006468,null,null
79,0.005475,0.006472,null,null
80,0.005475,0.006472,null,null
81,0.00547,0.006474,null,null
82,0.005469,0.006472,null,null
83,0.005469,0.006477,null,null
84,0.005468,0.006479,null,null
85,0.005469,0.00648,null,null
86,0.005465,0.006481,null,null
87,0.005466,0.00649,null,null
88,0.005463,0.006488,null,null
89,0.005461,0.006485,null,null
90,0.00546,0.006484,null,null
91,0.005461,0.006484,null,null
92,0.005461,0.006491,null,null
93,0.005459,0.006489,null,null
94,0.005455,0.006493,null,null
95,0.005463,0.006492,null,null
96,0.005456,0.006494,null,null
97,0.005454,0.006494,null,null
98,0.005453,0.006493,null,null
99,0.005452,0.006492,null,null
100,0.005456,0.006497,null,null
101,0.005451,0.0065,null,null
102,0.005451,0.006496,null,null
103,0.005454,0.006499,null,null
104,0.005454,0.006493,null,null
105,0.005455,0.006493,null,null
106,0.005454,0.006498,null,null
107,0.005454,0.006495,null,null
108,0.005462,0.006496,null,null
109,0.005453,0.006495,null,null
110,0.00545,0.006498,null,null
111,0.00545,0.006499,null,null
112,0.005448,0.0065,null,null
113,0.005452,0.006499,null,null
114,0.005452,0.006499,null,null
115,0.005449,0.006501,null,null
116,0.005451,0.0065,null,null
117,0.00545,0.006496,null,null
118,0.005447,0.0065,null,null
119,0.005447,0.006504,null,null
120,0.005447,0.006502,null,null
121,0.005445,0.006502,null,null
122,0.005452,0.006506,null,null
123,0.005452,0.0065,null,null
124,0.005447,0.006504,null,null
125,0.005445,0.006508,null,null
126,0.005447,0.006508,null,null
127,0.005445,0.00651,null,null
128,0.005441,0.006514,null,null
129,0.005439,0.006513,null,null
130,0.005439,0.006512,null,null
131,0.005442,0.006512,null,null
132,0.005441,0.006516,null,null
133,0.005441,0.006513,null,null
134,0.005445,0.006508,null,null
135,0.005441,0.006508,null,null
136,0.005442,0.006509,null,null
137,0.005444,0.006516,null,null
138,0.005441,0.006515,null,null
139,0.005441,0.006514,null,null
140,0.005438,0.006515,null,null
141,0.005439,0.006514,null,null
142,0.005438,0.006519,null,null
143,0.005437,0.00652,null,null
144,0.005436,0.006523,null,null
145,0.005436,0.006518,null,null
146,0.005437,0.006522,null,null
147,0.005432,0.006522,null,null
148,0.005432,0.006523,null,null
149,0.005432,0.006519,null,null
150,0.005437,0.006526,null,null
151,0.005434,0.00652,null,null
152,0.005434,0.006522,null,null
153,0.005438,0.00652,null,null
154,0.005437,0.006521,null,null
155,0.005437,0.006524,null,null
156,0.00543,0.006524,null,null
157,0.005429,0.006533,null,null
158,0.005429,0.006527,null,null
159,0.005429,0.006525,null,null
160,0.00543,0.006529,null,null
161,0.005425,0.006527,null,null
162,0.005427,0.006528,null,null
163,0.005426,0.006531,null,null
164,0.005428,0.006527,null,null
165,0.005428,0.006528,null,null
166,0.005428,0.006529,null,null
167,0.005428,0.006524,null,null
168,0.005431,0.006528,null,null
169,0.005432,0.006524,null,null
170,0.005434,0.006524,null,null
171,0.005431,0.006518,null,null
172,0.005432,0.006527,null,null
173,0.00543,0.006525,null,null
174,0.005431,0.006522,null,null
175,0.005431,0.006523,null,null
176,0.005431,0.006522,null,null
177,0.00543,0.00652,null,null
178,0.005431,0.006524,null,null
179,0.005436,0.006522,null,null
180,0.005432,0.006523,null,null
181,0.00543,0.006527,null,null
182,0.005431,0.006527,null,null
183,0.005433,0.006522,null,null
184,0.005433,0.006523,null,null
185,0.005429,0.006526,null,null
186,0.005429,0.006531,null,null
187,0.005423,0.006531,null,null
188,0.005423,0.006532,null,null
189,0.005422,0.006538,null,null
190,0.00542,0.006538,null,null
191,0.005421,0.006539,null,null
192,0.005422,0.006537,null,null
193,0.00542,0.006537,null,null
194,0.005418,0.006533,null,null
195,0.005417,0.006542,null,null
196,0.005415,0.006543,null,null
197,0.005418,0.006543,null,null
198,0.005415,0.006542,null,null
199,0.005418,0.006542,null,null
200,0.005413,0.006545,null,null
201,0.005417,0.006545,null,null
202,0.00542,0.006543,null,null
203,0.005417,0.006541,null,null
204,0.005417,0.006545,null,null
205,0.005414,0.006546,null,null
206,0.005415,0.006545,null,null
207,0.005412,0.006542,null,null
208,0.005415,0.006546,null,null
209,0.005411,0.006548,null,null
210,0.00541,0.006548,null,null
211,0.005411,0.006545,null,null
212,0.005413,0.006544,null,null
213,0.005412,0.006545,null,null
214,0.00541,0.006547,null,null
215,0.005415,0.006547,null,null
216,0.00541,0.006552,null,null
217,0.00541,0.006549,null,null
218,0.005412,0.00655,null,null
219,0.005416,0.00655,null,null
