ReTr(L),ImTr(L)
-0.35865,-0.830574
-0.35865,-0.830574
-0.34524,-0.846845
-0.332866,-0.854646
-0.296059,-0.863555
-0.324918,-0.85479
-0.316036,-0.85067
-0.316673,-0.852129
-0.316673,-0.852129
-0.355598,-0.835803
-0.361136,-0.83738
-0.387061,-0.822836
-0.396025,-0.817052
-0.392901,-0.82276
-0.399315,-0.814675
-0.428887,-0.80117
-0.43815,-0.793303
-0.440945,-0.793682
-0.436101,-0.79551
-0.44362,-0.794523
-0.42542,-0.803815
-0.415975,-0.806505
-0.432965,-0.799277
-0.435962,-0.794726
-0.468044,-0.780199
-0.460587,-0.78186
-0.444114,-0.78893
-0.459058,-0.787024
-0.433751,-0.802189
-0.428001,-0.802181
-0.414751,-0.810508
-0.399323,-0.811439
-0.403964,-0.810333
-0.406763,-0.812298
-0.396033,-0.814331
-0.42103,-0.79947
-0.413731,-0.803449
-0.405954,-0.80519
-0.405954,-0.80519
-0.414367,-0.796164
-0.401131,-0.80497
-0.410098,-0.804831
-0.379449,-0.824031
-0.374481,-0.826485
-0.39324,-0.813395
-0.389153,-0.816074
-0.396599,-0.814489
-0.396599,-0.814489
-0.421539,-0.800745
-0.440261,-0.789676
-0.440261,-0.789676
-0.458795,-0.781335
-0.442716,-0.787473
-0.42826,-0.799177
-0.427335,-0.80677
-0.417354,-0.8052
-0.417354,-0.8052
-0.426065,-0.79858
-0.387962,-0.813879
-0.396159,-0.814492
-0.391937,-0.815851
-0.386579,-0.81897
-0.386579,-0.81897
