MDTU,plaq,Re(det),Im(det),link
1,38.1145,5.0314e+08,6.21294e+07,1.06453
2,19.1843,5.54758e+06,850892,0.711419
3,16.6621,2.23923e+06,363101,0.654431
4,14.675,1.00401e+06,174625,0.606417
5,12.667,425687,78271.7,0.55278
6,10.844,180981,35421.9,0.49993
7,9.34156,79235.8,16308.1,0.454236
8,8.16089,38308.5,8295.3,0.416086
9,7.37911,21088.7,4756.19,0.391159
10,6.72205,12548.5,2922.49,0.368428
11,6.16153,7941.18,1899.88,0.348059
12,5.7319,5454.53,1338.67,0.331718
13,5.36026,3813.82,959.219,0.317741
14,5.03429,2637.02,675.904,0.305868
15,4.73215,1900.77,495.557,0.293933
16,4.43803,1397.85,374.159,0.281414
17,4.12916,1002.5,274.156,0.267891
18,3.85002,745.536,207.996,0.255023
19,3.55975,545.041,156.334,0.241301
20,3.38685,421.338,121.885,0.233839
21,3.26523,323.562,94.811,0.229384
22,3.1186,252.532,75.2383,0.222718
23,3.04342,212.893,63.8088,0.220246
24,2.87438,161.476,49.5296,0.211622
25,2.64729,128.736,40.3824,0.198533
26,2.54553,107.799,34.4463,0.193248
27,2.42776,89.2364,28.9344,0.186854
28,2.285,74.2702,24.3969,0.178779
29,2.19694,67.292,22.1208,0.173218
30,2.0612,54.5343,18.1849,0.165382
31,2.007,46.589,15.774,0.162693
32,1.90707,40.5448,14.0708,0.156393
33,1.84571,36.7945,12.8084,0.152527
34,1.76364,31.2628,11.0248,0.147534
35,1.70658,28.7738,10.3376,0.144098
36,1.57112,25.6432,9.47784,0.134562
37,1.54538,22.546,8.32406,0.133266
38,1.51263,21.2487,7.95431,0.130994
39,1.45305,18.4525,7.00256,0.127485
40,1.3695,16.7892,6.39275,0.121646
41,1.35148,15.6105,5.92693,0.120663
42,1.35722,14.0803,5.40104,0.122037
43,1.35406,12.4327,4.76656,0.122607
44,1.35362,11.3796,4.38242,0.123291
45,1.31827,10.5741,4.12756,0.120824
46,1.26416,9.62948,3.79231,0.116869
47,1.21103,8.54264,3.45306,0.113259
48,1.17622,7.83744,3.19729,0.110768
49,1.13977,6.97079,2.87392,0.108428
50,1.10144,6.47402,2.70558,0.105419
51,1.10428,5.98341,2.47516,0.106292
52,1.0711,5.55632,2.32912,0.103797
53,1.05579,5.08779,2.12571,0.103364
54,0.997895,4.50888,1.91868,0.0988574
55,0.988156,4.27818,1.83152,0.0984235
56,0.942571,4.00075,1.7305,0.0949118
57,0.939994,3.7925,1.65946,0.0949314
58,0.867998,3.39816,1.52375,0.0886781
59,0.845791,3.1349,1.43851,0.0870389
60,0.827151,2.94908,1.36105,0.0858614
61,0.823307,2.81056,1.27484,0.08576
62,0.785593,2.63773,1.22631,0.082634
63,0.75454,2.4566,1.15403,0.0799703
64,0.774508,2.48045,1.14122,0.0817998
65,0.730243,2.2979,1.0913,0.0776197
66,0.722176,2.09233,1.0114,0.0776027
67,0.698165,1.94453,0.944434,0.0752492
68,0.727305,1.89903,0.910459,0.0784054
69,0.70348,1.75525,0.856428,0.0765577
70,0.730081,1.76166,0.834776,0.0791778
71,0.726115,1.69431,0.803817,0.0788755
72,0.708994,1.5811,0.764176,0.0776697
73,0.726004,1.58667,0.767879,0.0792767
74,0.742654,1.54369,0.736945,0.0809199
75,0.747146,1.52886,0.723074,0.0816372
76,0.727255,1.45947,0.69755,0.0796578
77,0.690347,1.3676,0.662433,0.0762304
78,0.664277,1.29232,0.648411,0.0741363
79,0.602908,1.19677,0.619846,0.0681245
80,0.602908,1.19677,0.619846,0.0681245
81,0.598371,1.20679,0.62442,0.0671131
82,0.602794,1.23376,0.632495,0.0676431
83,0.608419,1.23336,0.625216,0.068091
84,0.609944,1.16164,0.585636,0.068858
85,0.581259,1.05002,0.543609,0.0660226
86,0.585372,1.05419,0.547566,0.0663476
87,0.568479,0.996938,0.525704,0.0641308
88,0.584059,0.986421,0.505265,0.0660924
89,0.539877,0.881085,0.475779,0.0616021
90,0.554375,0.880212,0.469669,0.0635544
91,0.545896,0.832126,0.443726,0.0629553
92,0.554505,0.811508,0.431407,0.064048
93,0.539342,0.765471,0.415027,0.062938
94,0.539959,0.759829,0.415802,0.0629195
95,0.558027,0.746274,0.400208,0.0651315
96,0.572324,0.743093,0.398385,0.0665265
97,0.578822,0.720673,0.384351,0.0676573
98,0.558974,0.711157,0.385614,0.0653637
99,0.535689,0.681903,0.377739,0.0630695
100,0.558139,0.67896,0.368382,0.0653981
101,0.591975,0.696982,0.367998,0.0693729
102,0.591436,0.707346,0.3692,0.0690506
103,0.588189,0.71685,0.371734,0.068501
104,0.577971,0.677434,0.359332,0.0674559
105,0.534604,0.667044,0.362163,0.0626619
106,0.511651,0.635477,0.360689,0.06037
107,0.510432,0.627592,0.353851,0.0600544
108,0.482436,0.590532,0.346773,0.0570696
109,0.48588,0.586461,0.343021,0.0573904
110,0.48588,0.586461,0.343021,0.0573904
111,0.500418,0.612707,0.349162,0.0586719
112,0.510647,0.609249,0.344979,0.0602925
113,0.473186,0.569797,0.338561,0.0560341
114,0.472367,0.562616,0.333947,0.0560295
115,0.486705,0.580635,0.333636,0.0568928
116,0.477475,0.565756,0.330089,0.0564459
117,0.459188,0.537038,0.320439,0.0537662
118,0.446646,0.518973,0.320091,0.0516858
119,0.466706,0.526425,0.311914,0.0539633
120,0.46718,0.530571,0.313648,0.0535505
121,0.46718,0.530571,0.313648,0.0535505
122,0.470057,0.532142,0.316616,0.0544249
123,0.455351,0.513168,0.31061,0.052731
124,0.461027,0.499782,0.301074,0.0534572
125,0.477565,0.511289,0.298584,0.0554895
126,0.464568,0.492861,0.29517,0.0540533
127,0.464568,0.492861,0.29517,0.0540533
128,0.481729,0.511701,0.293332,0.0564194
129,0.469202,0.4798,0.278884,0.0546136
130,0.45681,0.465842,0.279942,0.0530157
131,0.490614,0.478675,0.276113,0.0563446
132,0.465101,0.468665,0.278013,0.0543272
133,0.465093,0.451417,0.267297,0.0545712
134,0.450084,0.42718,0.2572,0.0528829
135,0.450084,0.42718,0.2572,0.0528829
136,0.470165,0.451449,0.265716,0.0545863
137,0.466696,0.443361,0.262338,0.0542222
138,0.47605,0.439257,0.252943,0.0558024
139,0.486822,0.446499,0.25163,0.0565022
140,0.508124,0.469045,0.256874,0.0599693
141,0.483804,0.430459,0.246002,0.0571884
142,0.471226,0.403022,0.23283,0.0558442
143,0.468158,0.399776,0.231624,0.0557118
144,0.465036,0.376599,0.219624,0.055649
145,0.465036,0.376599,0.219624,0.055649
146,0.462183,0.375995,0.220711,0.0548757
147,0.465355,0.36987,0.216495,0.0558911
148,0.463197,0.380439,0.223657,0.0557381
149,0.435681,0.350532,0.21456,0.0521714
150,0.447645,0.351011,0.21198,0.0537365
151,0.441495,0.342103,0.208164,0.0521845
152,0.441495,0.342103,0.208164,0.0521845
153,0.449632,0.356809,0.212674,0.0531887
154,0.449632,0.356809,0.212674,0.0531887
155,0.433598,0.337815,0.205682,0.0518227
156,0.433598,0.337815,0.205682,0.0518227
157,0.438833,0.345444,0.209194,0.0512137
