t,N_f,N_g
10,90,1440
20,90,1440
30,90,1260
40,80,960
50,70,700
60,60,600
70,50,400
80,40,400
90,34,340
100,34,340
110,34,340
120,34,340
130,34,340
140,34,340
150,34,340
160,34,340
170,34,340
180,34,340
190,34,340
200,34,340
210,32,256
220,30,240
230,24,192
240,26,208
250,26,208
260,26,208
270,26,208
280,26,208
290,26,208
300,26,208
310,26,208
320,26,208
330,26,208
340,26,208
350,26,208
360,26,208
370,26,208
380,26,208
390,26,208
400,26,208
410,26,208
420,26,208
430,26,208
440,26,208
450,26,208
460,26,208
470,26,208
480,26,208
490,26,208
500,26,208
510,28,224
520,28,224
530,28,224
540,28,224
550,28,224
560,28,224
570,28,224
580,28,224
590,28,224
600,28,224
610,28,224
620,28,224
630,28,224
640,28,224
650,28,224
660,28,224
670,28,224
680,28,224
690,28,224
700,28,224
710,28,224
720,28,224
730,28,224
740,28,224
750,28,224
760,28,224
770,28,224
780,28,224
790,28,224
800,28,224
810,28,224
820,28,224
830,28,224
840,28,224
850,28,224
860,28,224
870,28,224
880,28,224
890,28,224
900,28,224
910,28,224
920,28,224
930,28,224
940,28,224
950,28,224
960,28,224
970,28,224
980,28,224
990,28,224
1000,28,224
1010,28,224
1020,28,224
1030,28,224
1040,28,224
1050,28,224
1060,28,224
1070,28,224
1080,28,224
1090,28,224
1100,28,224
1110,28,224
1120,28,224
1130,28,224
1140,28,224
1150,28,224
1160,28,224
1170,28,224
1180,28,224
1190,28,224
1200,28,224
1210,28,224
1220,28,224
1230,28,224
1240,28,224
1250,28,224
1260,28,224
1270,28,224
1280,28,224
1290,28,224
1300,28,224
1310,28,224
1320,28,224
1330,28,224
1340,28,224
1350,28,224
1360,28,224
1370,28,224
1380,28,224
1390,28,224
1400,28,224
1410,28,224
1420,28,224
1430,28,224
1440,28,224
1450,28,224
1460,28,224
1470,28,224
1480,28,224
1490,28,224
1500,28,224
1510,28,224
1520,28,224
1530,28,224
1540,28,224
1550,28,224
1560,28,224
1570,28,224
1580,28,224
1590,28,224
1600,28,224
1610,28,224
1620,28,224
1630,28,224
1640,28,224
1650,28,224
1660,28,224
1670,28,224
1680,28,224
1690,28,224
1700,28,224
1710,28,224
1720,28,224
1730,28,224
1740,28,224
1750,28,224
1760,28,224
1770,28,224
1780,28,224
1790,28,224
1800,28,224
1810,28,224
1820,28,224
1830,28,224
1840,28,224
1850,28,224
1860,28,224
1870,28,224
1880,28,224
1890,28,224
1900,28,224
1910,28,224
1920,28,224
1930,28,224
1940,28,224
1950,28,224
1960,28,224
1970,28,224
1980,28,224
1990,28,224
2000,28,224
2010,28,224
2020,28,224
2030,28,224
2040,28,224
2050,28,224
2060,28,224
2070,28,224
2080,28,224
2090,28,224
2100,28,224
2110,28,224
2120,28,224
2130,28,224
2140,28,224
2150,28,224
2160,28,224
2170,28,224
2180,28,224
2190,28,224
2200,28,224
2210,28,224
2220,28,224
2230,28,224
2240,28,224
2250,28,224
2260,28,224
2270,28,224
2280,28,224
2290,28,224
2300,28,224
2310,28,224
2320,28,224
2330,28,224
2340,28,224
2350,28,224
2360,28,224
2370,28,224
2380,28,224
2390,28,224
2400,28,224
2410,28,224
2420,28,224
2430,28,224
2440,28,224
2450,28,224
2460,28,224
2470,28,224
2480,28,224
2490,28,224
2500,28,224
2510,28,224
2520,28,224
2530,28,224
2540,28,224
2550,28,224
2560,28,224
2570,28,224
2580,28,224
2590,28,224
2600,28,224
2610,28,224
2620,28,224
2630,28,224
2640,28,224
2650,28,224
2660,28,224
2670,28,224
2680,28,224
2690,28,224
2700,28,224
2710,28,224
2720,28,224
2730,28,224
2740,28,224
2750,28,224
2760,28,224
2770,28,224
2780,28,224
2790,28,224
2800,28,224
2810,28,224
2820,28,224
2830,28,224
2840,28,224
2850,28,224
2860,28,224
2870,28,224
2880,28,224
2890,28,224
2900,28,224
2910,28,224
2920,28,224
2930,28,224
2940,28,224
2950,28,224
2960,28,224
2970,28,224
2980,28,224
2990,28,224
3000,28,224
3010,28,224
3020,28,224
3030,28,224
3040,28,224
3050,28,224
3060,28,224
3070,28,224
3080,28,224
3090,28,224
3100,28,224
3110,28,224
3120,28,224
3130,28,224
3140,28,224
3150,28,224
3160,28,224
3170,28,224
3180,28,224
3190,28,224
3200,28,224
3210,28,224
3220,28,224
3230,28,224
3240,28,224
3250,28,224
3260,28,224
3270,28,224
3280,28,224
3290,28,224
3300,28,224
3310,28,224
3320,28,224
3330,28,224
3340,28,224
3350,28,224
3360,28,224
3370,28,224
3380,28,224
3390,28,224
3400,28,224
3410,28,224
3420,28,224
3430,28,224
3440,28,224
3450,28,224
3460,28,224
3470,28,224
3480,28,224
3490,28,224
3500,28,224
3510,28,224
3520,28,224
3530,28,224
3540,28,224
3550,28,224
3560,28,224
3570,28,224
3580,28,224
3590,28,224
3600,28,224
3610,28,224
3620,28,224
3630,28,224
3640,28,224
3650,28,224
3660,28,224
3670,28,224
3680,28,224
3690,28,224
3700,28,224
3710,28,224
3720,28,224
3730,28,224
3740,28,224
3750,28,224
3760,28,224
3770,28,224
3780,28,224
3790,28,224
3800,28,224
3810,28,224
3820,28,224
3830,28,224
3840,28,224
3850,28,224
3860,28,224
3870,28,224
3880,28,224
3890,28,224
3900,28,224
3910,28,224
3920,28,224
3930,28,224
3940,28,224
3950,28,224
3960,28,224
3970,28,224
3980,28,224
3990,28,224
4000,28,224
4010,28,224
4020,28,224
4030,28,224
4040,28,224
4050,28,224
4060,28,224
4070,28,224
4080,28,224
4090,28,224
4100,28,224
4110,28,224
4120,28,224
4130,28,224
4140,28,224
4150,28,224
4160,28,224
4170,28,224
4180,28,224
4190,28,224
4200,28,224
4210,28,224
4220,28,224
4230,28,224
4240,28,224
4250,28,224
4260,28,224
4270,28,224
4280,28,224
4290,28,224
4300,28,224
4310,28,224
4320,28,224
4330,28,224
4340,28,224
4350,28,224
4360,28,224
4370,28,224
4380,28,224
4390,28,224
4400,28,224
4410,28,224
4420,28,224
4430,28,224
4440,28,224
4450,28,224
4460,28,224
4470,28,224
4480,28,224
4490,28,224
4500,28,224
4510,28,224
4520,28,224
4530,28,224
4540,28,224
4550,28,224
4560,28,224
4570,28,224
4580,28,224
4590,28,224
4600,28,224
4610,28,224
4620,28,224
4630,28,224
4640,28,224
4650,28,224
4660,28,224
4670,28,224
4680,28,224
4690,28,224
4700,28,224
4710,28,224
4720,28,224
4730,28,224
4740,28,224
4750,28,224
4760,28,224
4770,28,224
4780,28,224
4790,28,224
4800,28,224
4810,28,224
4820,28,224
4830,28,224
4840,28,224
4850,28,224
4860,28,224
4870,28,224
4880,28,224
4890,28,224
4900,28,224
4910,28,224
4920,28,224
4930,28,224
4940,28,224
4950,28,224
4960,28,224
4970,28,224
4980,28,224
4990,28,224
5000,28,224
5010,28,224
5020,28,224
5030,28,224
5040,28,224
5050,28,224
5060,28,224
5070,28,224
5080,28,224
5090,28,224
5100,28,224
5110,28,224
5120,28,224
5130,28,224
5140,28,224
5150,28,224
5160,28,224
5170,28,224
5180,28,224
5190,28,224
5200,28,224
5210,28,224
5220,28,224
5230,28,224
5240,28,224
5250,28,224
5260,28,224
5270,28,224
5280,28,224
5290,28,224
5300,28,224
5310,28,224
5320,28,224
5330,28,224
5340,28,224
5350,28,224
5360,28,224
5370,28,224
5380,28,224
5390,28,224
5400,28,224
5410,28,224
5420,28,224
5430,28,224
5440,28,224
5450,28,224
5460,28,224
5470,28,224
5480,28,224
5490,28,224
5500,28,224
5510,28,224
5520,28,224
5530,28,224
5540,28,224
5550,28,224
5560,28,224
5570,28,224
5580,28,224
5590,28,224
5600,28,224
5610,28,224
5620,28,224
5630,28,224
5640,28,224
5650,28,224
5660,28,224
5670,28,224
5680,28,224
5690,28,224
5700,28,224
5710,28,224
5720,28,224
5730,28,224
5740,28,224
5750,28,224
5760,28,224
5770,28,224
5780,28,224
5790,28,224
5800,28,224
5810,28,224
5820,28,224
5830,28,224
5840,28,224
5850,28,224
5860,28,224
5870,28,224
5880,28,224
5890,28,224
5900,28,224
5910,28,224
5920,28,224
5930,28,224
5940,28,224
5950,28,224
5960,28,224
5970,28,224
5980,28,224
5990,28,224
6000,28,224
6010,28,224
6020,28,224
6030,28,224
6040,28,224
6050,28,224
6060,28,224
6070,28,224
6080,28,224
6090,28,224
6100,28,224
6110,28,224
6120,28,224
6130,28,224
6140,28,224
6150,28,224
6160,28,224
6170,28,224
6180,28,224
6190,28,224
6200,28,224
6210,28,224
6220,28,224
6230,28,224
6240,28,224
6250,28,224
6260,28,224
6270,28,224
6280,28,224
6290,28,224
6300,28,224
6310,28,224
6320,28,224
6330,28,224
6340,28,224
6350,28,224
6360,28,224
6370,28,224
6380,28,224
6390,28,224
6400,28,224
6410,28,224
6420,28,224
6430,28,224
6440,28,224
6450,28,224
6460,28,224
6470,28,224
6480,28,224
6490,28,224
6500,28,224
6510,28,224
6520,28,224
6530,28,224
6540,28,224
6550,28,224
6560,28,224
6570,28,224
6580,28,224
6590,28,224
6600,28,224
6610,28,224
6620,28,224
6630,28,224
6640,28,224
6650,28,224
6660,28,224
6670,28,224
6680,28,224
6690,28,224
6700,28,224
6710,28,224
6720,28,224
6730,28,224
6740,28,224
6750,28,224
6760,28,224
6770,28,224
6780,28,224
6790,28,224
6800,28,224
6810,28,224
6820,28,224
6830,28,224
6840,28,224
6850,28,224
6860,28,224
6870,28,224
6880,28,224
6890,28,224
6900,28,224
6910,28,224
6920,28,224
6930,28,224
6940,28,224
6950,28,224
6960,28,224
6970,28,224
6980,28,224
6990,28,224
7000,28,224
7010,28,224
7020,28,224
7030,28,224
7040,28,224
7050,28,224
7060,28,224
7070,28,224
7080,28,224
7090,28,224
7100,28,224
7110,28,224
7120,28,224
7130,28,224
7140,28,224
7150,28,224
7160,28,224
7170,28,224
7180,28,224
7190,28,224
7200,28,224
7210,28,224
7220,28,224
7230,28,224
7240,28,224
7250,28,224
7260,28,224
7270,28,224
7280,28,224
7290,28,224
7300,28,224
7310,28,224
7320,28,224
7330,28,224
7340,28,224
7350,28,224
7360,28,224
7370,28,224
7380,28,224
7390,28,224
7400,28,224
7410,28,224
7420,28,224
7430,28,224
7440,28,224
7450,28,224
7460,28,224
7470,28,224
7480,28,224
7490,28,224
7500,28,224
7510,28,224
7520,28,224
7530,28,224
7540,28,224
7550,28,224
7560,28,224
7570,28,224
7580,28,224
7590,28,224
7600,28,224
7610,28,224
7620,28,224
7630,28,224
7640,28,224
7650,28,224
7660,28,224
7670,28,224
7680,28,224
7690,28,224
7700,28,224
7710,28,224
7720,28,224
7730,28,224
7740,28,224
7750,28,224
7760,28,224
7770,28,224
7780,28,224
7790,28,224
7800,28,224
7810,28,224
7820,28,224
7830,28,224
7840,28,224
7850,28,224
7860,28,224
7870,28,224
7880,28,224
7890,28,224
7900,28,224
7910,28,224
7920,28,224
7930,28,224
7940,28,224
7950,28,224
7960,28,224
7970,28,224
7980,28,224
7990,28,224
8000,28,224
8010,28,224
8020,28,224
8030,28,224
8040,28,224
8050,28,224
8060,28,224
8070,28,224
8080,28,224
8090,28,224
8100,28,224
8110,28,224
8120,28,224
8130,28,224
8140,28,224
8150,28,224
8160,28,224
8170,28,224
8180,28,224
8190,28,224
8200,28,224
8210,28,224
8220,28,224
8230,28,224
8240,28,224
8250,28,224
8260,28,224
8270,28,224
8280,28,224
8290,28,224
8300,28,224
8310,28,224
8320,28,224
8330,28,224
8340,28,224
8350,28,224
8360,28,224
8370,28,224
8380,28,224
8390,28,224
8400,28,224
8410,28,224
8420,28,224
8430,28,224
8440,28,224
8450,28,224
8460,28,224
8470,28,224
8480,28,224
8490,28,224
8500,28,224
8510,28,224
8520,28,224
8530,28,224
8540,28,224
8550,28,224
8560,28,224
8570,28,224
8580,28,224
8590,28,224
8600,28,224
8610,28,224
8620,28,224
8630,28,224
8640,28,224
8650,28,224
8660,28,224
8670,28,224
8680,28,224
8690,28,224
8700,28,224
8710,28,224
8720,28,224
8730,28,224
8740,28,224
8750,28,224
8760,28,224
8770,28,224
8780,28,224
8790,28,224
8800,28,224
8810,28,224
8820,28,224
8830,28,224
8840,28,224
8850,28,224
8860,28,224
8870,28,224
8880,28,224
8890,28,224
8900,28,224
8910,28,224
8920,28,224
8930,28,224
8940,28,224
8950,28,224
8960,28,224
8970,28,224
8980,28,224
8990,28,224
9000,28,224
