MDTU,min_width,max_width
1,0.288828,0.235618
2,0.235612,0.183268
3,0.22577,0.174452
4,0.218045,0.165283
5,0.206197,0.154111
6,0.193576,0.141237
7,0.182008,0.131937
8,0.172291,0.123286
9,0.167111,0.118613
10,0.160474,0.114212
11,0.155417,0.109042
12,0.15025,0.105476
13,0.146621,0.10219
14,0.143829,0.100018
15,0.140837,0.0973345
16,0.136531,0.0939489
17,0.13243,0.090169
18,0.128433,0.0861503
19,0.123071,0.0823445
20,0.121105,0.0805253
21,0.121491,0.0800045
22,0.118936,0.0788646
23,0.118867,0.0788396
24,0.11608,0.0764701
25,0.109636,0.0717537
26,0.107746,0.0702952
27,0.105528,0.0684328
28,0.102295,0.0658364
29,0.100156,0.0637361
30,0.0958793,0.0615571
31,0.0961124,0.060673
32,0.0928809,0.0586683
33,0.0907821,0.0578482
34,0.0887191,0.0562109
35,0.0866672,0.0554355
36,0.0812546,0.0517174
37,0.0818941,0.0517808
38,0.0805398,0.05087
39,0.0796528,0.0498421
40,0.0774454,0.0475353
41,0.0778005,0.0470834
42,0.0794517,0.0479889
43,0.0794521,0.0489712
44,0.0814728,0.0495367
45,0.0794762,0.0488463
46,0.0778397,0.04764
47,0.0752011,0.0466801
48,0.0753698,0.0455957
49,0.0742758,0.0452481
50,0.073099,0.0441925
51,0.0733864,0.0446668
52,0.0721364,0.0440733
53,0.0735547,0.0439653
54,0.0707429,0.0425596
55,0.0710635,0.0423644
56,0.0698165,0.0410822
57,0.0699837,0.0414676
58,0.0662675,0.0394004
59,0.0660779,0.0390173
60,0.0656466,0.0384836
61,0.0654165,0.03881
62,0.0640256,0.0377209
63,0.0628517,0.0366895
64,0.0638213,0.0376828
65,0.062089,0.0362479
66,0.0623329,0.0365456
67,0.0615503,0.0353927
68,0.0637996,0.0368376
69,0.0630172,0.0361216
70,0.0654715,0.0368836
71,0.0655547,0.0367293
72,0.0650062,0.0367693
73,0.0653081,0.0375298
74,0.0662222,0.0378848
75,0.0668948,0.0382867
76,0.0659375,0.0379161
77,0.0643003,0.0366992
78,0.0634027,0.0361892
79,0.0602196,0.0343001
80,0.0602196,0.0343001
81,0.0603923,0.0335743
82,0.0598995,0.033899
83,0.0597458,0.0341803
84,0.0609753,0.0344811
85,0.060035,0.0337287
86,0.0604272,0.0337607
87,0.0594347,0.0334015
88,0.0604121,0.0337966
89,0.0587493,0.0326681
90,0.0599563,0.0329785
91,0.0599861,0.0331041
92,0.0604362,0.0335217
93,0.060243,0.0333055
94,0.0597623,0.0332398
95,0.0615054,0.0339124
96,0.0623867,0.0343295
97,0.0630347,0.0350237
98,0.0619527,0.0340422
99,0.0603534,0.0336256
100,0.0618331,0.0341137
101,0.0638865,0.0358125
102,0.0637395,0.0356326
103,0.0633392,0.0353053
104,0.0629633,0.0349608
105,0.0609354,0.0332794
106,0.0597077,0.032789
107,0.0596609,0.0326224
108,0.0583046,0.0317485
109,0.0584999,0.031901
110,0.0584999,0.031901
111,0.0595164,0.0322095
112,0.0604175,0.0325324
113,0.0582008,0.0315262
114,0.0582678,0.0314653
115,0.0583394,0.0318818
116,0.0580741,0.0318651
117,0.0567338,0.031205
118,0.0562263,0.0307212
119,0.0571897,0.0310428
120,0.0575969,0.0310297
121,0.0575969,0.0310297
122,0.0576811,0.0313146
123,0.0568545,0.030953
124,0.0581074,0.0311564
125,0.0590505,0.0315702
126,0.0578805,0.0312831
127,0.0578805,0.0312831
128,0.0588029,0.0320038
129,0.058057,0.031346
130,0.0576276,0.0312123
131,0.0589691,0.0322536
132,0.0580479,0.0315147
133,0.0589152,0.03152
134,0.0580861,0.0310631
135,0.0580861,0.0310631
136,0.0586918,0.03151
137,0.0584152,0.0316215
138,0.0590387,0.0317598
139,0.0602422,0.0321376
140,0.0613169,0.0326563
141,0.0604664,0.0322253
142,0.0599496,0.0319574
143,0.059624,0.0321129
144,0.0600334,0.0322438
145,0.0600334,0.0322438
146,0.0593213,0.0322486
147,0.0600599,0.0323291
148,0.0602651,0.0320471
149,0.0590395,0.0313721
150,0.0590674,0.0316369
151,0.0587807,0.031356
152,0.0587807,0.031356
153,0.0593749,0.0315849
154,0.0593749,0.0315849
155,0.0588162,0.0312868
156,0.0588162,0.0312868
157,0.0585373,0.0308228
158,0.0585373,0.0308228
159,0.0585306,0.0311759
160,0.0585306,0.0311759
161,0.0597483,0.0318522
162,0.0602727,0.0320949
163,0.0590336,0.0317362
164,0.0587975,0.0309686
165,0.0587975,0.0309686
166,0.0590161,0.0312114
167,0.0585995,0.0312145
168,0.0585995,0.0312145
169,0.0586358,0.0312713
170,0.0582385,0.0309877
171,0.0585271,0.0311209
172,0.0579964,0.0307138
173,0.0585405,0.0310925
174,0.0589185,0.0313411
175,0.0595469,0.0316242
176,0.0603005,0.0320245
177,0.0603005,0.0320245
178,0.0595618,0.0322149
179,0.0605513,0.0325459
180,0.0605513,0.0325459
181,0.0602398,0.0319122
182,0.0606656,0.0322885
183,0.0600778,0.0320559
184,0.0598802,0.0320881
185,0.0604054,0.0325536
186,0.06024,0.0322105
187,0.0598161,0.0321524
188,0.060425,0.0317186
189,0.060425,0.0317186
190,0.060425,0.0317186
191,0.060425,0.0317186
192,0.0607328,0.0321769
193,0.060242,0.0316397
194,0.0595787,0.0319414
195,0.0601344,0.0320219
196,0.0608075,0.0317937
197,0.0593765,0.0312428
198,0.0593459,0.0313861
199,0.0597264,0.0317944
200,0.0595369,0.0310435
201,0.0597334,0.0316951
202,0.0592508,0.0313179
203,0.0600117,0.0313958
204,0.0594843,0.0312561
205,0.0590971,0.0310123
206,0.0600883,0.0318058
207,0.0600092,0.0316162
208,0.0600092,0.0316162
209,0.0600092,0.0316162
210,0.0597614,0.0319005
211,0.0606915,0.0322925
212,0.0608993,0.0322826
213,0.0611433,0.0321262
214,0.0609543,0.0322538
215,0.0595365,0.0314803
216,0.0595365,0.0314803
217,0.0595764,0.0316917
218,0.0595764,0.0316917
219,0.0604172,0.0315126
220,0.0604172,0.0315126
221,0.0609004,0.0320187
222,0.0609004,0.0320187
223,0.0614864,0.0321111
224,0.0614864,0.0321111
225,0.0606067,0.0316627
226,0.0606067,0.0316627
227,0.0601902,0.0316737
228,0.0603689,0.0319347
229,0.0603689,0.0319347
230,0.0606331,0.0323122
231,0.0592092,0.0316293
232,0.0592092,0.0316293
233,0.0592092,0.0316293
234,0.0592092,0.0316293
235,0.0592092,0.0316293
236,0.0592092,0.0316293
237,0.0591439,0.0314285
238,0.0594284,0.031783
239,0.0582785,0.0308751
240,0.0577899,0.0305364
241,0.0577899,0.0305364
242,0.057651,0.0301943
243,0.0588409,0.0306984
244,0.0588409,0.0306984
245,0.0588409,0.0306984
246,0.0588409,0.0306984
247,0.0588409,0.0306984
248,0.0579445,0.03026
249,0.0579445,0.03026
250,0.0579445,0.03026
251,0.0579445,0.03026
252,0.0577814,0.0302461
253,0.0581229,0.0305569
254,0.0576598,0.0305583
255,0.0589473,0.030847
256,0.059679,0.0315683
257,0.0605498,0.0320015
258,0.0609324,0.0319272
259,0.0609324,0.0319272
260,0.0601237,0.0315025
261,0.0586514,0.0308974
262,0.0586514,0.0308974
263,0.0591407,0.0314068
264,0.0608572,0.0319164
265,0.0608572,0.0319164
266,0.0608572,0.0319164
267,0.0624855,0.0330037
