t,eps_f,eps_g
10,0.0111111,0.000694444
20,0.0111111,0.000694444
30,0.0111111,0.000793651
40,0.0125,0.00104167
50,0.0142857,0.00142857
60,0.0166667,0.00166667
70,0.02,0.0025
80,0.025,0.0025
90,0.0294118,0.00294118
100,0.0294118,0.00294118
110,0.0294118,0.00294118
120,0.0294118,0.00294118
130,0.0294118,0.00294118
140,0.0294118,0.00294118
150,0.0294118,0.00294118
160,0.0294118,0.00294118
170,0.0294118,0.00294118
180,0.0294118,0.00294118
190,0.0294118,0.00294118
200,0.0294118,0.00294118
210,0.03125,0.00390625
220,0.0333333,0.00416667
230,0.0416667,0.00520833
240,0.0384615,0.00480769
250,0.0384615,0.00480769
260,0.0384615,0.00480769
270,0.0384615,0.00480769
280,0.0384615,0.00480769
290,0.0384615,0.00480769
300,0.0384615,0.00480769
310,0.0384615,0.00480769
320,0.0384615,0.00480769
330,0.0384615,0.00480769
340,0.0384615,0.00480769
350,0.0384615,0.00480769
360,0.0384615,0.00480769
370,0.0384615,0.00480769
380,0.0384615,0.00480769
390,0.0384615,0.00480769
400,0.0384615,0.00480769
410,0.0384615,0.00480769
420,0.0384615,0.00480769
430,0.0384615,0.00480769
440,0.0384615,0.00480769
450,0.0384615,0.00480769
460,0.0384615,0.00480769
470,0.0384615,0.00480769
480,0.0384615,0.00480769
490,0.0384615,0.00480769
500,0.0384615,0.00480769
510,0.0357143,0.00446429
520,0.0357143,0.00446429
530,0.0357143,0.00446429
540,0.0357143,0.00446429
550,0.0357143,0.00446429
560,0.0357143,0.00446429
570,0.0357143,0.00446429
580,0.0357143,0.00446429
590,0.0357143,0.00446429
600,0.0357143,0.00446429
610,0.0357143,0.00446429
620,0.0357143,0.00446429
630,0.0357143,0.00446429
640,0.0357143,0.00446429
650,0.0357143,0.00446429
660,0.0357143,0.00446429
670,0.0357143,0.00446429
680,0.0357143,0.00446429
690,0.0357143,0.00446429
700,0.0357143,0.00446429
710,0.0357143,0.00446429
720,0.0357143,0.00446429
730,0.0357143,0.00446429
740,0.0357143,0.00446429
750,0.0357143,0.00446429
760,0.0357143,0.00446429
770,0.0357143,0.00446429
780,0.0357143,0.00446429
790,0.0357143,0.00446429
800,0.0357143,0.00446429
810,0.0357143,0.00446429
820,0.0357143,0.00446429
830,0.0357143,0.00446429
840,0.0357143,0.00446429
850,0.0357143,0.00446429
860,0.0357143,0.00446429
870,0.0357143,0.00446429
880,0.0357143,0.00446429
890,0.0357143,0.00446429
900,0.0357143,0.00446429
910,0.0357143,0.00446429
920,0.0357143,0.00446429
930,0.0357143,0.00446429
940,0.0357143,0.00446429
950,0.0357143,0.00446429
960,0.0357143,0.00446429
970,0.0357143,0.00446429
980,0.0357143,0.00446429
990,0.0357143,0.00446429
1000,0.0357143,0.00446429
1010,0.0357143,0.00446429
1020,0.0357143,0.00446429
1030,0.0357143,0.00446429
1040,0.0357143,0.00446429
1050,0.0357143,0.00446429
1060,0.0357143,0.00446429
1070,0.0357143,0.00446429
1080,0.0357143,0.00446429
1090,0.0357143,0.00446429
1100,0.0357143,0.00446429
1110,0.0357143,0.00446429
1120,0.0357143,0.00446429
1130,0.0357143,0.00446429
1140,0.0357143,0.00446429
1150,0.0357143,0.00446429
1160,0.0357143,0.00446429
1170,0.0357143,0.00446429
1180,0.0357143,0.00446429
1190,0.0357143,0.00446429
1200,0.0357143,0.00446429
1210,0.0357143,0.00446429
1220,0.0357143,0.00446429
1230,0.0357143,0.00446429
1240,0.0357143,0.00446429
1250,0.0357143,0.00446429
1260,0.0357143,0.00446429
1270,0.0357143,0.00446429
1280,0.0357143,0.00446429
1290,0.0357143,0.00446429
1300,0.0357143,0.00446429
1310,0.0357143,0.00446429
1320,0.0357143,0.00446429
1330,0.0357143,0.00446429
1340,0.0357143,0.00446429
1350,0.0357143,0.00446429
1360,0.0357143,0.00446429
1370,0.0357143,0.00446429
1380,0.0357143,0.00446429
1390,0.0357143,0.00446429
1400,0.0357143,0.00446429
1410,0.0357143,0.00446429
1420,0.0357143,0.00446429
1430,0.0357143,0.00446429
1440,0.0357143,0.00446429
1450,0.0357143,0.00446429
1460,0.0357143,0.00446429
1470,0.0357143,0.00446429
1480,0.0357143,0.00446429
1490,0.0357143,0.00446429
1500,0.0357143,0.00446429
1510,0.0357143,0.00446429
1520,0.0357143,0.00446429
1530,0.0357143,0.00446429
1540,0.0357143,0.00446429
1550,0.0357143,0.00446429
1560,0.0357143,0.00446429
1570,0.0357143,0.00446429
1580,0.0357143,0.00446429
1590,0.0357143,0.00446429
1600,0.0357143,0.00446429
1610,0.0357143,0.00446429
1620,0.0357143,0.00446429
1630,0.0357143,0.00446429
1640,0.0357143,0.00446429
1650,0.0357143,0.00446429
1660,0.0357143,0.00446429
1670,0.0357143,0.00446429
1680,0.0357143,0.00446429
1690,0.0357143,0.00446429
1700,0.0357143,0.00446429
1710,0.0357143,0.00446429
1720,0.0357143,0.00446429
1730,0.0357143,0.00446429
1740,0.0357143,0.00446429
1750,0.0357143,0.00446429
1760,0.0357143,0.00446429
1770,0.0357143,0.00446429
1780,0.0357143,0.00446429
1790,0.0357143,0.00446429
1800,0.0357143,0.00446429
1810,0.0357143,0.00446429
1820,0.0357143,0.00446429
1830,0.0357143,0.00446429
1840,0.0357143,0.00446429
1850,0.0357143,0.00446429
1860,0.0357143,0.00446429
1870,0.0357143,0.00446429
1880,0.0357143,0.00446429
1890,0.0357143,0.00446429
1900,0.0357143,0.00446429
1910,0.0357143,0.00446429
1920,0.0357143,0.00446429
1930,0.0357143,0.00446429
1940,0.0357143,0.00446429
1950,0.0357143,0.00446429
1960,0.0357143,0.00446429
1970,0.0357143,0.00446429
1980,0.0357143,0.00446429
1990,0.0357143,0.00446429
2000,0.0357143,0.00446429
2010,0.0357143,0.00446429
2020,0.0357143,0.00446429
2030,0.0357143,0.00446429
2040,0.0357143,0.00446429
2050,0.0357143,0.00446429
2060,0.0357143,0.00446429
2070,0.0357143,0.00446429
2080,0.0357143,0.00446429
2090,0.0357143,0.00446429
2100,0.0357143,0.00446429
2110,0.0357143,0.00446429
2120,0.0357143,0.00446429
2130,0.0357143,0.00446429
2140,0.0357143,0.00446429
2150,0.0357143,0.00446429
